ï»¿Organisme,Categorie_de_specialite,Domaine,Secteur,Specialite,Interne,Poste_vacant,Externe
TAT,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
TAT,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
TAT,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
TAT,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
TAT,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
Tourisme,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
Tourisme,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
Tourisme,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
Tourisme,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
Tourisme,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
Tourisme,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
