ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,AVK Model 27-80,Rouge,2019-12-13,-73.4706537138503,45.72814441090401,2023-10-17,50
,60013,McAvity M67,Rouge,2018-04-13,-73.47176742713577,45.72697785602723,2023-10-17,56
,60013,Concord D67M,Rouge,2018-04-13,-73.47335668861454,45.72559518824899,2023-10-17,48
,60013,Concord D67M,Rouge,2019-04-26,-73.47180443085746,45.726053856714266,2023-10-17,48
,60013,McAvity M67,Rouge,2018-04-13,-73.47279901916214,45.72513517404515,2023-10-17,48
,60013,McAvity M67,Rouge,2019-12-09,-73.47413602617382,45.724374449012245,2023-10-17,40
,60013,McAvity M59M,Noire,2021-02-04,-73.47463440213436,45.72556436370723,2023-10-17,26
,60013,McAvity M67 Brigadier,Rouge,2018-04-13,-73.47377139431664,45.72631788382493,2023-10-17,30
,60013,McAvity M59M,Rouge,2019-09-16,-73.47332729822669,45.72742816453217,2023-10-17,45
,60013,McAvity M59M,Rouge,2018-04-13,-73.47640300016988,45.724392364939554,2023-10-17,35
,60013,McAvity M59M,Rouge,2019-12-09,-73.47572275721221,45.72369326478994,2023-10-17,38
,60013,McAvity M67,Rouge,2019-12-09,-73.47466697635953,45.723615248284446,2023-10-17,52
,60013,McAvity M67,Rouge,2019-09-10,-73.48061395383031,45.72562783183843,2023-10-17,55
,60013,McAvity M67,Rouge,2019-09-23,-73.47722291594845,45.72522133521043,2023-10-17,50
,60013,McAvity M67,Rouge,2018-04-13,-73.47803843146686,45.72433688491224,2023-10-17,48
,60013,McAvity M67,Rouge,2019-09-23,-73.47865497188691,45.72539878254389,2023-10-17,52
,60013,McAvity M67,Rouge,2018-04-13,-73.48050483512111,45.72481260195671,2023-10-17,55
,60013,McAvity M67,Rouge,2018-04-13,-73.47998511921142,45.723480634219705,2023-10-17,57
,60013,McAvity M67,Rouge,2018-04-13,-73.4789141167903,45.723765653764026,2023-10-17,60
,60013,McAvity M67 Brigadier,Rouge,2019-09-20,-73.48082024612056,45.72634387945388,2023-10-17,42
,60013,McAvity M67,Rouge,2018-04-13,-73.47923745925435,45.72615838321774,2023-10-17,7
,60013,McAvity M67,Rouge,2019-09-20,-73.47759829079921,45.72597258069106,2023-10-17,7
,60013,McAvity M67,Rouge,2019-09-20,-73.47875125968223,45.72679972758123,2023-10-17,40
,60013,McAvity M67,Rouge,2018-04-13,-73.4797628438465,45.72757312802578,2023-10-17,42
,60013,McAvity M67,Rouge,2018-04-13,-73.48048007672239,45.72843340573776,2023-10-17,42
,60013,McAvity M59M,Rouge,2019-09-18,-73.47937325990623,45.729263051141736,2023-10-17,42
,60013,McAvity M67,Rouge,2018-04-13,-73.47868230977365,45.72794983388349,2023-10-17,40
,60013,McAvity M67,Rouge,2018-04-13,-73.47766930985773,45.728050292844515,2023-10-17,40
,60013,McAvity M67,Rouge,2018-04-13,-73.47678206963326,45.727603028654165,2023-10-17,45
,60013,McAvity M67,Rouge,2018-04-13,-73.4763061761195,45.728911430871655,2023-10-17,40
,60013,McAvity M59M,Rouge,2018-04-13,-73.48135053668042,45.72742819627607,2023-10-17,45
,60013,McAvity M67,Rouge,2018-04-13,-73.48154489684087,45.72848066961722,2023-10-17,42
,60013,McAvity M59M,Rouge,2018-04-13,-73.48190709364245,45.72967215335202,2023-10-17,42
,60013,McAvity M67,Rouge,2018-04-13,-73.48100171740886,45.73043534875741,2023-10-17,32
,60013,McAvity M59M,Rouge,2018-04-13,-73.47899277665185,45.73072720038031,2023-10-17,25
,60013,McAvity M59M,Rouge,2018-04-13,-73.47810389920998,45.730026947603115,2023-10-17,25
,60013,McAvity M59M,Rouge,2019-09-18,-73.47701761707037,45.73051803004839,2023-10-17,12
,60013,McAvity M67,Rouge,2018-04-13,-73.47625315159006,45.729792367127835,2023-10-17,25
,60013,McAvity M59M,Rouge,2018-04-13,-73.48056659495069,45.73161865669747,2023-10-17,42
,60013,McAvity M59M,Rouge,2019-09-09,-73.48019623103288,45.733021773574535,2023-10-17,42
,60013,McAvity M67,Rouge,2019-09-18,-73.47944024514251,45.73365433521927,2023-10-17,50
,60013,McAvity M67,Rouge,2018-04-13,-73.47855932594284,45.733838309711786,2023-10-17,45
,60013,McAvity M67,Rouge,2018-04-13,-73.47711577063882,45.73350094417138,2023-10-17,45
,60013,McAvity M67,Rouge,2019-01-23,-73.47739199922374,45.73238884713583,2023-10-17,45
,60013,McAvity M59M,Rouge,2018-04-13,-73.47917633971997,45.73242858881636,2023-10-17,45
,60013,McAvity M59M,Noire,2019-01-23,-73.47845985285664,45.73165247159952,2023-10-17,45
,60013,McAvity M67,Rouge,2019-09-18,-73.4773524113869,45.73124589385737,2023-10-17,45
,60013,McAvity M59M,Rouge,2019-09-17,-73.47616975939414,45.73312200350789,2023-10-17,45
,60013,McAvity M59M,Rouge,2019-09-18,-73.47579020153981,45.73475783896174,2023-10-17,45
,60013,McAvity M59M,Rouge,2018-04-13,-73.47486127345319,45.73504097499716,2023-10-17,45
,60013,McAvity M59M,Rouge,2019-09-17,-73.47288143223385,45.73518058788002,2023-10-17,45
,60013,Daigle D67,Rouge,2019-09-17,-73.47031976633133,45.73511533785231,2023-10-17,45
,60013,McAvity M59M,Rouge,2019-09-17,-73.47136929961557,45.73437874951146,2023-10-17,42
