,,"Chalut, Stéphanie","J'ai cherché dans les flots du temps, les lignes de vent",,
,,"Claus, Hannah","For Those Who Didn't Make It Home/Pour celles qui ne sont jamais revenues",,
,,"Déry, Cara","Motif urbain 3",,
,,"Gauthier-Mitchell, Lisette","Pierres de rêve",,
,,"Giboulo, Karine","Berthe-Aline",,
,,"Girard, Pierre-Yves","Candlegoat",,
,,"Hamel, Normand","Cabines",,
,,"Hayeur, Caroline et Emmanuel Galland","Jeu de cache cache, II (La Voie des cahiers)",,
,,"Hayeur, Caroline et Emmanuel Galland","Jeu de cache cache, III (La Voie des cahiers)",,
,,"Hayeur, Caroline et Émmanuel Galland","Jeu de cache cache, I (La Voie des cahiers)",,
,,"Hellman, Michel","Les cahiers de l'ours",,
,,"La Perrière M., Véronique","Le jardin des temps",,
,,"Laverdière, Isabelle","Ne pourra pas mieux faire",,
,,"Lévesque, Mathieu","Parallèles 2e",,
,,"Martel, Marie-Ève","Transport hermétique",,
,,"Merril, Michael","Viaduc#2",,
,,"Myre, Nadia","Sans titre",,
,,"Pelletier, Luce","Hosta anatomie",,
,,"Pierre & Marie","Dissiper la magie IV",,
,,"Pierre & Marie","Dissiper la magie V",,
,,"St-Aubin, Samuel","Thé",,
,,"Talbot, Debby","Caravane",,
,,"Tétreault, Annie","Courtepointe de papier bleu",,
,,"Tétreault, Annie","Courtepointe de papier rose",,
,,"Torres, José Luis"," Découpons I",,
,,"Torres, José Luis"," Découpons II",,
,,"Tremblay, Ève K.","Baiser solitaire",,
,,"Veilleux, Steve","Saint-Antoine-sur-Richelieu 1",,
,,"Veilleux, Steve","Saint-Louis",,
,,"Veilleux, Steve","Varennes",,
,,"Bernatchez, Patrick (Prix Louis-Comtois)","Sans titre (Protagoniste no 3)",,
,,"Favreau, Julie (Prix Pierre-Ayot)","An Entire Day An Entire Month",,
,,"Ouellette, Gabrielle (Prix François-Houdé)","Valses, toujours",,
,,"Sous-total volet 2 ",,,115 813 $
"Aide financière aux OBNL locataires dans des immeubles non résidentiels imposables - volet art et culture ",,"Nom de l'organisme",,"Arrondissement","Montant octroyé"
,,"Alchimies, Créations et Cultures",,"Ahuntsic-Cartierville",392 $
,,"Association des médias écrits communautaires du Québec",,"Ahuntsic-Cartierville",959 $
,,"Communication-Jeunesse",,"Ahuntsic-Cartierville",1 515 $
,,"La troupe de théâtre de Shakespeare de Montréal",,"Ahuntsic-Cartierville",1 239 $
,,,"Sous-total Ahuntsic-Cartierville",,4 105 $
,,"Les Grands Ballets Canadiens",,"Anjou",1 995 $
,,,"Sous-total Anjou",,1 995 $
,,"Ballet Ouest inc./Ballet West Inc.",,"Côte-des-Neiges--Notre-Dame-de-Grâce",599 $
,,,"Sous-total Côte-des-Neiges–Notre-Dame-de-Grâce",,599 $
,,"Centre du Théâtre d'Aujourd'hui",,"LaSalle",669 $
,,,"Sous-total LaSalle",,669 $
,,"Alliance des chorales du Québec Inc.",,"Mercier-Hochelaga-Maisonneuve",511 $
,,"Association des cinémas paralleles du Québec",,"Mercier-Hochelaga-Maisonneuve",570 $
,,"Centre du Théâtre d'Aujourd'hui",,"Mercier-Hochelaga-Maisonneuve",463 $
,,"Coup de cœur francophone",,"Mercier-Hochelaga-Maisonneuve",1 473 $
,,"Espace Go inc.",,"Mercier-Hochelaga-Maisonneuve",645 $
,,"Fédération des harmonies et des orchestres symphoniques du Québec",,"Mercier-Hochelaga-Maisonneuve",270 $
,,"Fédération des sociétés d'histoire du Québec",,"Mercier-Hochelaga-Maisonneuve",332 $
,,"Fédération des sociétés d'horticulture et d'écologie du Québec",,"Mercier-Hochelaga-Maisonneuve",144 $
,,"Fédération québécoise des jeux récréatifs",,"Mercier-Hochelaga-Maisonneuve",402 $
,,"Fédération québécoise du loisir littéraire",,"Mercier-Hochelaga-Maisonneuve",206 $
,,"Kéroul",,"Mercier-Hochelaga-Maisonneuve",1 199 $
,,"La compagnie Jean Duceppe",,"Mercier-Hochelaga-Maisonneuve",4 054 $
,,"La fédération des associations musicales du Québec",,"Mercier-Hochelaga-Maisonneuve",272 $
,,"Le théâtre petit à petit",,"Mercier-Hochelaga-Maisonneuve",1 066 $
,,"Les Grands Ballets Canadiens",,"Mercier-Hochelaga-Maisonneuve",3 050 $
,,"Radio amateur DU-OF Québec, inc.",,"Mercier-Hochelaga-Maisonneuve",270 $
,,"Regroupement Québecoiseaux",,"Mercier-Hochelaga-Maisonneuve",757 $
,,"Société des fêtes et festivals du Québec - Festivals et événements Québec",,"Mercier-Hochelaga-Maisonneuve",3 912 $
,,"Théâtre bouches décousues",,"Mercier-Hochelaga-Maisonneuve",764 $
,,"Théatre du rideau vert",,"Mercier-Hochelaga-Maisonneuve",1 004 $
