"Soutien aux festivals et aux événements culturels -
Volet 1 : Festivals et événements artistiques
(budget de plus de 500 000 $)",,"Alchimies, Créations et Cultures","13e Festival du Monde Arabe, édition 2012.","20 000,00 $",,,,,,,,,,,
,,"Association pour la création et la recherche électro-acoustiques du Québec (ACREQ)","1ère Biennale internationale d'art numérique (BIAN).","15 000,00 $",,,,,,,,,,,
,,"Association pour la création et la recherche électro-acoustiques du Québec (ACREQ)","13e Festival Elektra","25 000,00 $",,,,,,,,,,,
,,"Coup de coeur francophone","26e Coup de cœur francophone","35 000,00 $",,,,,,,,,,,
,,"Créations Etc…","17e Festival Vue sur la relève","15 000,00 $",,,,,,,,,,,
,,"Festi Blues","15e FestiBlues International de Montréal","10 000,00 $",,,,,,,,,,,
,,"Festival de musique de chambre de Montréal","17eFestival de musique de chambre de Montréal","20 000,00 $",,,,,,,,,,,
,,"Festival du nouveau cinéma de Montréal","41e Festival du nouveau cinéma","80 000,00 $",,,,,,,,,,,
,,"Festival Fantasia","16e Festival international de films Fantasia","15 000,00 $",,,,,,,,,,,
,,"Festival international de la Littérature (FIL)","18e Festival international de littérature (FIL)","20 000,00 $",,,,,,,,,,,
,,"Festival International de Musique Pop Montréal","11e Festival international de Musique Pop Montréal","25 000,00 $",,,,,,,,,,,
,,"Festival international de théâtre Jeune public (1992) inc.","Les Coups de Théâtre - 12e édition.","25 000,00 $",,,,,,,,,,,
,,"Festival International du Film sur l'Art (FIFA)","30e Festival international du film sur l'art","50 000,00 $",,,,,,,,,,,
,,"Fondation Metropolis bleu","14e Festival littéraire international de Montréal Métropolis Bleu","25 000,00 $",,,,,,,,,,,
,,"Fondation Québec Cinéma","Les rendez-vous du cinéma québécois - 30e édition ","20 000,00 $",,,,,,,,,,,
,,"Fondation Québec Cinéma","Les rendez-vous du cinéma québécois - 31e édition (2013)","50 000,00 $",,,,,,,,,,,
,,"Le MEG Montréal, Le Montréal Électronique Groove Inc.","14e Festival Meg Montréal","15 000,00 $",,,,,,,,,,,
,,"MUTEK","Mutek - 13e édition.","35 000,00 $",,,,,,,,,,,
