,,"Théâtre Lyrichorégra 20","Rencontres lyriques internationales de Montréal -5e édition","3 000,00 $",,,,,,,,,,,
,,"Vision Diversité","Diversité en fête!","3 000,00 $",,,,,,,,,,,
,,"39 organismes","Sous-total","184 500,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Forum des équipements culturels - Soutien aux collectes de fonds","*","Artexte (et Vox)","Appui à la recherche de financement privé pour la construction du Centre de l'image contemporaine à Montréal ","25 000,00 $",,,,,,,,,,,
,"*","Les Ateliers de danse moderne de Montréal inc. (LADMMI)","Recherche de financement privé pour de nouveaux espaces au Wilder","25 000,00 $",,,,,,,,,,,
,"*","Société des arts technologiques (SAT)","Recherche de financement privé pour agrandissement","25 000,00 $",,,,,,,,,,,
,"*","Tangente inc.","Recherche de financement privé pour de nouveaux espaces au Wilder","25 000,00 $",,,,,,,,,,,
,,"4 organismes","Sous-total","100 000,00 $",,,,,,,,,,,
"Forum des équipements culturels - Soutien aux études préalables ","*","Sybillines","Élaboration d'un programme fonctionnel et technique","11 200,00 $",,,,,,,,,,,
,"*","ATSA","Élaboration d'une étude de besoins en vue d'une relocalisation ","24 000,00 $",,,,,,,,,,,
,"*","Centre du cinéma Parallèle inc.  (Axe 2)","Étude de faisabilité pour la construction de 2 salles additionnelles à l'Excentris ","25 000,00 $",,,,,,,,,,,
,"*","École de joaillerie de Montréal","Élaboration d'une étude d'opportunité en vue d'un regroupement ","8 700,00 $",,,,,,,,,,,
,"*","Productions Réalisations Indépendantes de Montréal (PRIM)","Réalisation d'un programme fonctionnel et technique pour un agrandissement","10 000,00 $",,,,,,,,,,,
,,"5 organismes","Sous-total","78 900,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Adresse (arrondissement)","Valeur estimé du loyer sur le marché ",,,,,,,,,,,
"Mesure de soutien   Accès au domaine immobilier municipal ",,"Centre de céramique Bonsecours","444, rue Saint-Gabriel (Ville-Marie) ","49 981,00 $",,,,,,,,,,,
,,"Centre des arts contemporains du Québec à Montréal","4247, rue Saint-Dominique (Le Plateau Mont-Royal)  ","40 000,00 $",,,,,,,,,,,
,,"Centre des métiers du verre (Espace VERRE)","1200, rue Mill (Ville-Marie)  ","35 323,00 $",,,,,,,,,,,
,,"Centre Ressources Transitions pour Danseurs","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","3 745,00 $",,,,,,,,,,,
,,"Culture montréal","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","28 480,00 $",,,,,,,,,,,
,,"Danse Cité","3680, rue Jeanne-Mance - Centre Strathearn (Le Plateau Mont-Royal)","4 578,00 $",,,,,,,,,,,
,,"Département design et arts électroniques - Concordia","5300, rue Saint-Dominique - Bain Saint-Michel (Le Plateau Mont-Royal)","1 970,00 $",,,,,,,,,,,
