NOM_CLIENT_PARTENAIRE,NOM_CORPORATION_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE ET RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,URL_WEB,LONGITUDE,LATITUDE
Forge-menuiserie Cauchon,Corporation de la Vieille Forge Cauchon,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","323, chemin de la Vallée",La Malbaie ,3,Québec,Québec,Canada,G5A 1B8, www.forgecauchon.com  ,-70.163451312809585,47.672886528160262
Fort Ingall,Société d'histoire et d'archéologie du Témiscouata inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","81, rue Caldwell",Témiscouata-sur-le-Lac (secteur Cabano) ,1,Bas Saint-Laurent,Québec,Canada,GOL 1E0, http://fortingall.ca ,-68.900233227961522,47.690935518000494
"Fossilarium, Centre thématique fossilifère",Regroupement des loisirs culturels et scientifiques du Témiscamingue,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","5, rue Principale (C.P. 296)",Notre-Dame-du-Nord,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3B0,http://www.fossiles.qc.ca/,-79.484569006970503,47.592845170495167
Galerie d'art Desjardins du Centre culturel de Drummondville,Corporation de la Maison des arts Desjardins-Drummondville inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","175, rue Ringuet",Drummondville,17,Centre-du-Québec,Québec,Canada,J2C 2P7,www.centre-culturel.qc.ca,-72.50043059588009,45.877319477349701
Galerie d'art du Centre culturel de l'Université de Sherbrooke,Université de Sherbrooke,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2500, boulevard Université",Sherbrooke ,5,Estrie,Québec,Canada,J1K 2R1, http://www.centrecultureludes.ca/framgale.html ,-71.924622027616934,45.375827963004951
Galerie d'art du Parc,Galerie d'art du Parc inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","864, rue des Ursulines",Trois-Rivières ,4,Mauricie,Québec,Canada,G9A 5C1, http://www.galeriedartduparc.qc.ca ,-72.538631973280133,46.342991761561827
Galerie d'art Foreman de l'Université Bishop's,Université Bishop's,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2600,rue Collège, Campus de l'Université Bishop",Sherbrooke ,5,Estrie,Québec,Canada,J1M 1Z7,www.ubishops.ca/foreman ,-71.8452252,45.3616182
Galerie de l'UQAM,Université du Québec à Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1400, rue Berri, Pavillon Judith-Jasmin, Local J-R120",Montréal ,6,Montréal,Québec,Canada,H2L 4E3,http://www.galerie.uqam.ca/,-73.5608884,45.5145309
Galerie du Rift / Salle Augustin-Chénier,Corporation Augustin-Chénier inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","42, rue Sainte-Anne",Ville-Marie,8,Abitibi-Témiscamingue,Québec,Canada,J9V 2B7,http://www.lerift.ca/,-79.438468136770453,47.331035163872315
Galerie Montcalm,Ville de Gatineau,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","25, rue Laurier",Gatineau,7,Outaouais,Québec,Canada,J8X 3Y9,http://www.ville.gatineau.qc.ca/galerie-montcalm.htm,-75.7130504,45.4278142
Insectarium de Montréal,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","4581, rue Sherbrooke Est",Montréal ,6,Montréal,Québec,Canada,H1X 2B2,http://espacepourlavie.ca/insectarium,-73.556530373594484,45.561689536988055
Jardin Botanique de Montréal,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","4101, rue Sherbrooke Est",Montréal ,6,Montréal,Québec,Canada,H1X 2B2,http://espacepourlavie.ca/jardin-botanique?lang=fr,-73.556530373594484,45.561689536988055
Jardin zoologique de Saint-Félicien,Centre de conservation de la biodiversité boréale inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2230, boulevard du Jardin",Saint-Félicien ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G8K 2P8,www.zoosauvage.org,-72.515150664061238,48.687669742001027
Jardins de Métis,Les jardins de Métis inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","200, route 132",Grand-Métis ,1,Bas Saint-Laurent,Québec,Canada,G0J 1Z0,http://www.jardinsmetis.com/,-68.126821164488447,48.629113771202036
L'École du Rang II d'Authier,Comité du patrimoine de l'École du rang II d'Authier,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","269, Rang II",Authier,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 1C0,http://www.tourisme-abitibi-temiscamingue.org/activite-attrait/ecole-du-rang-ii/49/,-78.874657667089593,48.749538759192056
