"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","Tl ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-M104N-1",2014-05-12 11:00,106,"11,8",233,"8,0","10,1","=",900,-2,,,,,,,,,,,,,,,,,,20,,20,,,,,,,,,
"EMIS-M104N-1",2014-05-14 11:03,102,"11,4",250,"8,0","10,3","=",23000,1,,,,,,,,,,,,,,,,,,24,,17,,,,,,,,,
"EMIS-M104N-1",2014-05-21 11:03,105,"11,1",235,"7,9","12,7","=",1400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M104N-2",2014-05-12 10:54,107,"12,1",239,"8,0","10,0","=",900,-2,,,,,,,,,,,,,,,,,,20,,18,,,,,,,,,
"EMIS-M104N-2",2014-05-14 10:57,102,"11,4",248,"8,0","10,3","=",3600,1,,,,,,,,,,,,,,,,,,20,,17,,,,,,,,,
"EMIS-M104N-2",2014-05-21 10:59,105,"11,2",234,"7,9","12,6","=",360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M130",2014-05-12 10:01,106,"12,1",246,"8,0","9,8","=",270,-2,,,,,,,,,,,,,,,,,,20,,18,,,,,,,,,
"EMIS-M130",2014-05-14 10:10,102,"11,5",253,"8,1","10,1","<",100,1,,,,,,,,,,,,,,,,,,20,,15,,,,,,,,,
"EMIS-M130",2014-05-21 10:13,103,"11,0",237,"8,0","12,5","<",100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M52",2014-05-12 14:48,104,"11,8",250,"8,0","10,2","<",100,-2,,,,,,,,,,,,,,,,,,20,,17,,,,,,,,,
"EMIS-M52",2014-05-14 14:16,102,"10,4",258,"8,1","10,4","=",12000,1,,,,,,,,,,,,,,,,,,20,,15,,,,,,,,,
"EMIS-M52",2014-05-21 14:17,106,"11,2",240,"8,0","12,8","=",450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M52-1",2014-05-12 14:58,107,"11,8",236,"7,9","11,0","=",1700,-2,,,,,,,,,,,,,,,,,,26,,19,,,,,,,,,
"EMIS-M52-1",2014-05-14 14:26,102,"10,3",242,"8,1","10,8","=",22000,1,,,,,,,,,,,,,,,,,,30,,19,,,,,,,,,
"EMIS-M52-1",2014-05-21 14:26,104,"10,9",229,"7,9","13,0","=",4000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M52-3",2014-05-12 14:54,105,"11,7",238,"7,9","10,5","=",720,-2,,,,,,,,,,,,,,,,,,20,,17,,,,,,,,,
"EMIS-M52-3",2014-05-14 14:22,102,"10,3",247,"8,0","10,6","=",29000,1,,,,,,,,,,,,,,,,,,20,,19,,,,,,,,,
"EMIS-M52-3",2014-05-21 14:24,104,"10,9",231,"7,9","13,1","=",1400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M52-6",2014-05-12 14:51,105,"11,8",246,"8,0","10,3","=",630,-2,,,,,,,,,,,,,,,,,,20,,17,,,,,,,,,
"EMIS-M52-6",2014-05-14 14:20,101,"10,3",254,"8,1","10,5","=",25000,1,,,,,,,,,,,,,,,,,,20,,16,,,,,,,,,
"EMIS-M52-6",2014-05-21 14:21,105,"11,1",235,"8,0","13,0","=",1100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M52-9",2014-05-12 14:45,108,"12,1",261,"8,1","10,0","=",180,-2,,,,,,,,,,,,,,,,,,20,,16,,,,,,,,,
"EMIS-M52-9",2014-05-14 14:14,102,"11,3",266,"8,1","10,5","=",1300,1,,,,,,,,,,,,,,,,,,20,,14,,,,,,,,,
"EMIS-M52-9",2014-05-21 14:13,104,"11,1",251,"8,0","12,6","<",100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-M78P1",2014-05-12 12:51,104,"11,7",242,"8,0","10,3","=",450,-2,,,,,,,,,,,,,,,,,,20,,17,,,,,,,,,
"EMIS-M78P1",2014-05-14 12:35,102,"11,4",247,"8,0","10,4","=",39000,1,,,,,,,,,,,,,,,,,,20,,18,,,,,,,,,
"EMIS-M78P1",2014-05-21 12:27,104,"11,0",231,"8,0","13,0","=",1200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-MA7",2014-05-12 11:28,108,"12,0",231,"8,0","10,5","=",3100,-2,,,,,,,,,,,,,,,,,,48,,19,,,,,,,,,
"EMIS-MA7",2014-05-14 11:41,101,"11,2",237,"8,0","10,7","=",240000,1,,,,,,,,,,,,,,,,,,55,,18,,,,,,,,,
"EMIS-MA7",2014-05-21 11:34,104,"10,9",223,"7,9","13,2","=",4900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-MS69",2014-05-12 10:22,105,"11,9",232,"7,8","10,0","=",4300,-2,,,,,,,,,,,,,,,,,,100,,26,,,,,,,,,
"EMIS-MS69",2014-05-14 10:29,102,"11,4",242,"7,9","10,4","=",130000,1,,,,,,,,,,,,,,,,,,68,,20,,,,,,,,,
"EMIS-MS69",2014-05-21 10:32,103,"10,9",228,"7,8","12,8","=",5800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-MS69-1",2014-05-12 10:18,106,"11,9",225,"7,8","10,4","=",4600,-2,,,,,,,,,,,,,,,,,,96,,24,,,,,,,,,
"EMIS-MS69-1",2014-05-14 10:25,100,"11,2",232,"7,9","10,6","=",28000,1,,,,,,,,,,,,,,,,,,121,,26,,,,,,,,,
"EMIS-MS69-1",2014-05-21 10:31,102,"10,8",215,"7,8","13,0","=",8200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-MS69-12",2014-05-12 10:36,107,"12,1",238,"7,9","9,9","<",100,-2,,,,,,,,,,,,,,,,,,20,,20,,,,,,,,,
"EMIS-MS69-12",2014-05-14 10:40,101,"11,3",146,"8,0","10,3","=",8200,1,,,,,,,,,,,,,,,,,,20,,17,,,,,,,,,
"EMIS-MS69-12",2014-05-21 10:47,103,"11,0",231,"7,9","12,7","=",1700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-MS69-3",2014-05-12 10:25,106,"11,9",233,"7,8","10,2","=",5600,-2,,,,,,,,,,,,,,,,,,103,,27,,,,,,,,,
"EMIS-MS69-3",2014-05-14 10:31,101,"11,3",241,"7,9","10,4","=",90000,1,,,,,,,,,,,,,,,,,,69,,21,,,,,,,,,
"EMIS-MS69-3",2014-05-21 10:35,105,"11,1",227,"7,8","12,7","=",2100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
