ID_BASSIN,NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN
409,182,"Ville-Marie","Saint-Jacques","CENTRE COMMUNAUTAIRE DE LOISIRS SAINTE-CATHERINE D'ALEXANDRIE-Salle Catherine d'Alexandrie"
410,182,"Ville-Marie","Saint-Jacques","HABITAT 67-Hall d'entrée 1"
413,182,"Ville-Marie","Saint-Jacques","ACCUEIL BONNEAU-Salle  Le Carrefour"
414,182,"Ville-Marie","Saint-Jacques","ÉDIFICE LOUIS-CHARLAND-Salle des écluses - 1103"
415,182,"Ville-Marie","Saint-Jacques","MARCHÉ BONSECOURS-Salle Ville-Marie"
416,182,"Ville-Marie","Saint-Jacques","HOLIDAY INN MONTREAL CENTRE-VILLE-Salle Orchidée A et B"
417,183,"Ville-Marie","Sainte-Marie","TOURS FRONTENAC-Salon vert"
418,183,"Ville-Marie","Sainte-Marie","ÉCOLE GARNEAU-Grande salle"
305,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE MARGUERITE-DE LAJEMMERAIS-Salle de sport"
307,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE ALPHONSE-DESJARDINS-Gymnase"
308,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE MARGUERITE-DE LAJEMMERAIS-Cafétéria-froide"
309,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE NOTRE-DAME-DU-FOYER-Gymnase Bellechasse"
319,141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE SAINT-LAURENT - ÉDIFICE SAINT-GERMAIN-Gymnase"
310,134,"Rosemont-La Petite-Patrie","Marie-Victorin","COLLÈGE VINCENT MASSEY-Nouveau gymnase"
311,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE DES MONARQUES / ÉTABLISSEMENT MARIE-ROLLET-Gymnase"
312,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE SAINTE-BERNADETTE-SOUBIROUS-Gymnase"
401,181,"Ville-Marie","Peter-McGill","COLLÈGE LASALLE-Salle Jean-Paul-Morin"
313,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE DES MONARQUES - ÉDIFICE SAINT-JEAN-VIANNEY-Gymnase"
314,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE SAINTE-BERNADETTE-SOUBIROUS-Annexe"
315,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE NOTRE-DAME-DU-FOYER-Gymnase Rosemont"
316,141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL JUNIOR CAMPUS-Agora"
318,141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE ENFANTS-DU-MONDE-Gymnase 2"
321,141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL JUNIOR CAMPUS-Gymnase"
322,141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL SENIOR-Cafétéria"
323,141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE GARDENVIEW-Gymnase"
326,142,"Saint-Laurent","Norman-McLaren","ÉCOLE JEAN-GROU-Gymnase"
327,142,"Saint-Laurent","Norman-McLaren","ÉCOLE BOIS-FRANC-AQUARELLE, ÉDIFICE AQUARELLE-Gymnase"
328,142,"Saint-Laurent","Norman-McLaren","ÉCOLE HENRI-BEAULIEU-Gymnase"
330,142,"Saint-Laurent","Norman-McLaren","ÉCOLE HENRI-BEAULIEU-Salle de repas"
331,142,"Saint-Laurent","Norman-McLaren","ÉCOLE PARKDALE-Gymnase"
332,142,"Saint-Laurent","Norman-McLaren","ÉCOLE ENFANT-SOLEIL-Gymnase"
333,142,"Saint-Laurent","Norman-McLaren","ÉCOLE ÉDOUARD-LAURIN-Gymnase"
334,142,"Saint-Laurent","Norman-McLaren","CENTRE DES LOISIRS DE SAINT-LAURENT-Salle A136"
335,142,"Saint-Laurent","Norman-McLaren","CENTRE CULTUREL ARMÉNIEN TÉKÉYAN-Salle de récréation"
336,142,"Saint-Laurent","Norman-McLaren","CENTRE DES LOISIRS DE SAINT-LAURENT-Salle A138"
338,151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE LAMBERT-CLOSSE-Gymnase 2"
339,151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE GABRIELLE-ROY-Gymnase"
340,151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE HONORÉ-MERCIER-Gymnase"
342,151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE FERLAND-Ancien gymnase"
343,151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE LAMBERT-CLOSSE-Gymnase 1"
344,151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE FERLAND-Nouveau gymnase"
345,152,"Saint-Léonard","Saint-Léonard-Ouest","ÉCOLE ALPHONSE-PESANT-Gymnase"
349,152,"Saint-Léonard","Saint-Léonard-Ouest","ÉCOLE VICTOR-LAVIGNE-Grand gymnase"
