NAC,Nom_collection,AR,TI,DFP,MED,MA,SUP,TF,Tirage,Hauteur,Hauteur_exterieur,Largeur,Largeur_exterieur,Profondeur,Profondeur_exterieur,Diametre_exterieur
"2009.002","Collection permanente","Tremblay, Michel-Thomas","Les loups-garous","1998","huile","","toile","","","198","","290","","","",""
"cdi.2009.001","Collection didactique","Lee, Susan","Question # 2","","crayon de couleur; fil","","papier fait main","dessiné; cousu","","29","","23","","","",""
"2009.004","Collection permanente","Desjardins, Christiane","Salle des pas perdus # 1","1994","émulsion","","plexiglas","","","89","","127","","10","",""
"2009.005","Collection permanente","Desjardins, Christiane","Cathédrale","1997","épreuve argentique","","papier","","","202","","364","","","",""
"2009.006","Collection permanente","Desjardins, Christiane","Élévation d'après nature","1996","épreuve argentique","","masonite","","","200","","200","","","",""
"2009.007","Collection permanente","Boisvert, Gilles","Une étoile de bonne conduite","1974","crayon de plomb","","papier","","","76","","56","","","",""
"2009.008","Collection permanente","Boisvert, Gilles","Un coeur noir comme un gouvernement","1974","crayon de plomb","","papier","","","76","","56","","","",""
"2009.009","Collection permanente","Boisvert, Gilles","Les deux côtés de la médaille","1974","crayon de plomb","","papier","","","76","","56","","","",""
"2009.012","Collection permanente","Leblanc, Pierre","Mémoire de 1955 ou 2026 Roberval","1996","","carton mousse; métal, acier; bois, balsa; plâtre","","","","38.1","","71.1","","35.6","",""
"2009.010","Collection permanente","Boisvert, Gilles","Éclat #8","1991","acrylique","","toile","","","135","","168","","","",""
"2009.011","Collection permanente","Boisvert, Gilles","Geste couleur #15","1993","acrylique","","toile","","","135","","168","","","",""
"cdo.2009.001","Collection documentaire","Fraysse, Thérèse","Dans la campagne environnante de Mont-Laurier","2006","encre","","papier","","","","51.3","","66","","",""
"cdo.2009.002","Collection documentaire","Fraysse, Thérèse","Les ponts de ferme rouge","2006","encre","","papier","","","","51.3","","66","","",""
"2009.013","Collection permanente","Connolly, Reynald","Non titré","","acrylique","","toile","","","116.5","","34","","","",""
"2010.001","Collection permanente","Gagnon, Johanne","Planche à dessin # 4","1991","acrylique; crayon de plomb","","contre-plaqué","","","61","","121.5","","2","",""
"p.2010.016","Collection de prêt","Tremblay, Michel-Thomas","Zéphir","1993","huile","","toile","","","91.5","96.5","122.5","126.5","","6",""
"cdo.2007.002.5","Collection documentaire","Ferland L, Suzanne","Rivière: figure absente","2008","encre","","papier","","","102.5","","72.7","","","",""
"cdo.2007.002.4","Collection documentaire","Koivukangas, Ingrid","Arborglyphs: message trees","2008","encre","","papier","","","72.7","","102.5","","","",""
"cdo.2007.002.3","Collection documentaire","Siegel, Steven","This one is flat","2008","encre","","papier","","","72.7","","102.5","","","",""
"cdo.2007.002.2","Collection documentaire","Vincent, Nicole","Aller-retour","2008","encre","","papier","","","102.5","","72.7","","","",""
"cdo.2007.002.1","Collection documentaire","Ferland L, Suzanne","Semper","2007","encre","","papier","","","72.7","","102.5","","","",""
"2009.020","Collection permanente","Hurtubise, Jacques","R.I.P","1972","acrylique","","toile","","","122","","122","","","",""
"2009.021","Collection permanente","Garneau, Marc ","Saint-Étienne II","1995","émail","","contre-plaqué","brûlé; gravé","","122","","91.5","","","",""
"2009.022","Collection permanente","Garneau, Marc ","Lance-flammes II","1999","suie de chandelle","","papier brûlé","brûlé","","102","","76","","","",""
"2009.023","Collection permanente","Garneau, Marc","Lance-flammes IX","1999","charbon; acrylique; poudre de bronze; vernis coroplast; suie","","papier brûlé","brûlé","","102","","76","","","",""
"2009.024","Collection permanente","Garneau, Marc","Burn-Out V","2001","charbon; gomme laque","","papier brûlé; contre-plaqué","marouflé; gravé; brûlé","verso, h.g. : Burn-Out V","71","","61","","","",""
"2009.025","Collection permanente","Riopelle, Jean-Paul ","Prise de becs","1983","acrylique","","papier; toile","marouflé","","56","","76","","","",""
"2009.026.1-3","Collection permanente","Leblanc, Pierre","Le calme trompeur des grandes villes, Place Saint-Michel","1990","","bois, ?; plâtre; carton; photographie; pistolet","masonite","collé; moulé; laminé","","156","","180","","","",""
"2010.002","Collection permanente","Gagnon, Johanne","Planche à dessin # 7","1991","crayon de plomb; carton; acrylique; contre-plaqué","","contre-plaqué","","","121.7","","244","","2","",""
"cdi.2010.008","Collection didactique","Séguin, Jean-Pierre","M.C (portrait de Melvin Charney)","2002","bouton; acrylique","","toile","peint; cousu","","130","","168","","","",""
"cdi.2010.009","Collection didactique","Séguin, Jean-Pierre","Portrait de Nabis de M.G.","2001","pièce de casse-tête","","bois, contre-plaqué","","","115","100","79.5","66","5.5","2",""
"p.2010.011","Collection de prêt","Bougie, Louis-Pierre","L'adoration","1986","acrylique","","papier fait main","","","","","","","","",""
"p.2010.014","Collection de prêt","Derouin, René","Hommage à Picasso «Voir Dieu le Père»","1985","encre","","papier","gravure sur bois; gaufré","1/10","76","","56.5","","","",""
"cdi.2010.006","Collection didactique","Garneau, Marc ","Apocalypse I","1995","acrylique; émail; gomme laque","","contre-plaqué","brûlé; gravé","","","","","","1.5","",""
"p.2010.015","Collection de prêt","Garneau, Marc ","Post Espagne 85","1985","acrylique; pastel; papier sablé; carton","","papier","peint; collé","","76.5","","56","","","",""
"cdi.2010.005","Collection didactique","Cozic","Cerf-volant","1980","","","papier","collé","","48","52","64","67.5","","3.5",""
"cdi.2010.003","Collection didactique","Ayot, Pierre","Mini Mousse 2 ","1976","encre; cadran","","papier","sérigraphie","13/75","68","69","40","41","","2",""
"cdi.2010.004","Collection didactique","Ayot, Pierre","Museum circus","1993","","bois; papier","","laminé","22/75","45","","47","","4","",""
"2010.012","Collection permanente","Beaulieu, Paul-Vanier","Personnages","","encre","","papier","eau-forte","","","33.5","","37.5","","",""
"2010.013","Collection permanente","Beaulieu, Paul-Vanier","Head of a Man with Leaves","","encre","","papier","eau-forte","","40.5","","44.5","","2.5","",""
"p.2010.001","Collection de prêt","Derouin, René","Cambrien III","2002","encre","","papier","gravure sur bois","12/15","65","79","57","69","","3",""
"p.2010.002","Collection de prêt","Lavoie, Françoise","Zeitgeist Hotel, 120 rue de la gare","1989","encre","","papier","linogravure","4/10","121","125","81","85","","4.5",""
"p.2010.003","Collection de prêt","Hurtubise, Jacques","Eulalie","1966","encre","","papier","sérigraphie","13/100","59","77","49","66","","4",""
"p.2010.004","Collection de prêt","Bruneau, Kittie","Wish you Where Here","2001","encre","","papier","","37/50","31","62","31","58","","3.2",""
"p.2010.005","Collection de prêt","Louis, Pelletier","Lieu III","1986","encre","","papier","manière noire","2/25","28.5","33.6","19","24.7","","2.7",""
"p.2010.006.1-2","Collection de prêt","Nadeau, Marc-Antoine","La solitude du longue distance skieur de fond","1977","encre","","papier","pointe-sèche","50/60","","76","","162","","3.5",""
"p.2010.012","Collection de prêt","Bonet, Jordi","L'homme soleil","1972","","métal, bronze","","","édition de 8","256","","138","","","",""
"2010.015","Collection permanente","Connolly, Reynald","Le clochard céleste","1976","","fibre, coton","","tissé","","185.5","","279.5","","","",""
"p.2010.013","","Connolly, Reynald","Rue Laurier","","acrylique","","toile","","","120.5","","162.5","","3","",""
"2010.017","Collection permanente","Connolly, Reynald","Soir de pleine lune à la moutarde forte","1985","acrylique","","toile","","","256","","209.5","","","",""
"2010.018","Collection permanente","Connolly, Reynald","L'Hôtel blanc","1986","acrylique","","toile","","","205","","152","","","",""
"p.2010.008","Collection de prêt","Delisle, Michèle","Villa Bianco, Marseille","1992","huile","","toile","","","46","","38","","","",""
"2010.022","Collection permanente","Fournelle, André","Lettres d'amour","1998","","pigment pur rouge carmin; dactylo; verre; bois, mélamine","","","","32","","47.2","","","",""
"2010.023","Collection permanente","Roussil, Robert","Non titré","1979","","bois, ?; peinture","","peint","","86","","43","","","",""
"2010.024","Collection permanente","Simonin, Francine","Non titré","1976","craie; acrylique","","papier","","","50","","62.5","","","",""
"p.2010.007","Collection de prêt","Delisle, Michèle","Marseille, la marche du soir 5","2008","huile","","toile","","","195","","114","","","",""
"p.2011.001","Collection de prêt","Derouin, René","Les jardins du précambrien I","2003","encre","","papier","gravure sur bois","14/15","","","","","","",""
"p.2011.002","Collection de prêt","Derouin, René","Les jardins du précambrien II","2003","encre","","papier","gravure sur bois","7/15","","","","","","",""
"p.2011.003","Collection de prêt","Derouin, René","Les jardins du précambrien III","2003","encre","","papier","gravure sur bois","8/15","","","","","","",""
"p.2011.004","Collection de prêt","Derouin, René","Les jardins du précambrien IV","2003","encre","","papier","gravure sur bois","","","","","","","",""
"2011.007.1-2","Collection permanente","Payette, Jacques","La fraîcheur à mes pieds","1990","huile","","toile","","","165","","147.5","","7.6","",""
"2013.013","Collection permanente","Gnass, Peter","Progression P2PT 17","1975","acrylique","","lin","","","190","","99","","3.18","",""
"2012.003","Collection permanente","Barbeau, Marcel","L'aube et le soir","1991","acrylique","","toile","","","61","","76.2","","1.8","",""
"2012.002","Collection permanente","Barbeau, Marcel","Fête foraine","1976","acrylique","","toile","","","51.3","","61.5","","3.5","",""
"2012.001","Collection permanente","Barbeau, Marcel","Le parfum du printemps","1986","acrylique","","toile","","","91.5","","76.2","","2","",""
"2013.011","Collection permanente","Fournelle, André","Suspendu par les racines","1966","","métal, bronze; métal, acier","","","","43","","30","","17","",""
"2011.008","Collection permanente","Leblanc, Pierre","Emprisonnement #10","1979","","métal, bronze","","","","26","","25","","45.2","",""
"cdi.2011.001.1-27","Collection didactique","Connolly, Reynald","Alice aux pays des merveilles","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.13","Collection didactique","Connolly, Reynald","Le terrier du lapin","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.3","Collection didactique","Connolly, Reynald","La mare au larme","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.12","Collection didactique","Connolly, Reynald","Une course à la clique","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.2","Collection didactique","Connolly, Reynald","La déposition d'Alice","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.10","Collection didactique","Connolly, Reynald","Les conseils d'une chenille bleu","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.9","Collection didactique","Connolly, Reynald","Cochon et poivre","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.8","Collection didactique","Connolly, Reynald","Un thé de fou","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.7","Collection didactique","Connolly, Reynald","Un croquet de la reine","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.6","Collection didactique","Connolly, Reynald","L'histoire de la tortue Ersatz","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"cdi.2011.001.5","Collection didactique","Connolly, Reynald","Le quadrille des homards","1976","encre","","vélin","sérigraphie","b.g. : 20/75","51","","40.5","","","",""
"p.2011.006.1-23","Collection de prêt","Beaudouin, Aline; Beauvais, Francine; Benoit, Jocelyne; Boucher, Yves; D. Brunet, Nicole; Chapman, Deborah; Dussault, Monique; Foisy, Serge; Joyal, Diane; Hébert, Louis; Lafontaine, Yvan; Lemay, Claire; Laberge, Marie-Aline; Pelletier, Rolande; Letellier, Henriette; Morin, Louise; Reid, Suzanne; Sasseville, Stella; Simonin, Francine; Zazalie Z.","Miron le magnifique","2000","","bois; métal","","","","92","","62","","12","",""
"p.2011.006.2","Collection de prêt","Malenfant, Paul Chanel","En une seule phrase nombreuse","1999","encre","","vélin","","","76","","56.6","","","",""
"p.2011.006.3","Collection de prêt","Hould, Claudette","Les poètes de ce temps montent la garde du monde","1999","encre","","vélin","","","76","","56.5","","","",""
"p.2011.006.4","Collection de prêt","Beaudoin, Aline","Petite suite en lest","1955","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56.5","","","",""
"p.2011.006.5","Collection de prêt","Benoît, Jocelyne","En archambault","1999","encre","","vélin","sérigraphie","b.g. : 2/34","76","","57","","","",""
"p.2011.006.6","Collection de prêt","Dussault, Monique","Poème de l'amour en sursis","2000","encre","","vélin","sérigraphie","b.g. : 2/34","76","","57","","","",""
"p.2011.006.7","Collection de prêt","Foisy, Serge","L'homme rapaillé","","encre","","vélin","sérigraphie","","76","","56","","","",""
"p.2011.006.8","Collection de prêt","Pelletier, Rollande","Pour mon rapatriement","","encre","","vélin","sérigraphie","b.g. : 2/34","56","","76","","","",""
"p.2011.006.9","Collection de prêt","Sasseville, Stella","Non titré","2000","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.10","Collection de prêt","Simonin, Francine","L'amnésie de naissance","1999","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.11","Collection de prêt","Zazalie Z.","Soir tourmenté","2000","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.12","Collection de prêt","Chapman, Deborah","Monologue de l'aliénation délivrante","","encre","","vélin","sérigraphie","b.g. : 2/34","56","","76","","","",""
"p.2011.006.13","Collection de prêt","Beauvais, Francine","Monologue de l'aliénation délivrante","","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.14","Collection de prêt","Laplante, Yvan","Le salut d'entre les jours","2000","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.15","Collection de prêt","Lemay, Claire","Le salut d'entre les jours","","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.16","Collection de prêt","Joyal, Diane","Seul et seule","","encre","","vélin","sérigraphie","2/34","76","","56","","","",""
"p.2011.006.17","Collection de prêt","Reid, Suzanne","La marche à l'amour","","encre","","vélin","sérigraphie","b.g. : 2/34","56","","76","","","",""
"p.2011.006.18","Collection de prêt","Morin, Louise","La marche à l'amour","","encre","","vélin","sérigraphie; embossé","b.g. : 2/34","76","","56","","","",""
"p.2011.006.19","Collection de prêt","Brunet, Nicole","La marche de l'amour","","encre","","vélin","sérigraphie","b.g. : 2/34","56","","76","","","",""
"p.2011.006.20","Collection de prêt","Lemay, Claire","En archambault","","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.21","Collection de prêt","Laberge, Marie-Aline","En archambault","","encre","","vélin","sérigraphie","b.g. : 2/34 ","76","","56","","","",""
"p.2011.006.22","Collection de prêt","Letellier, Henriette","En archambault","","encre","","vélin","sérigraphie","b.g. : 2/34","76","","56","","","",""
"p.2011.006.23","Collection de prêt","Boucher, Yves","Monologue de l'aliénation délivrante","","encre","","vélin","sérigraphie","b.g. : 2/34","56","","76","","","",""
"2011.001","Collection permanente","Connolly, Reynald","L'odeur d'un meurtrier est plus sexuelle que celle d'un athlète","1989","oxydation","","acier","","","152.4","","91.4","","","",""
"2011.002","Collection permanente","Connolly, Reynald","L'esprit meut la masse","2000","huile; acrylique; goudron ","","toile","","","88.3","","215.3","","","",""
"2011.003","Collection permanente","Connolly, Reynald","Une huître dans la tête","2002","acrylique","","toile","","","113.8","","170","","","",""
"2011.005","Collection permanente","Connolly, Reynald ","What a wonderful world ","2004","acrylique","","toile","","","152.5","","152.5","","","",""
"2011.006","Collection permanente","Connolly, Reynald","L'oeuvre ultime","2004","acrylique","","toile","","","190.5","","190.5","","","",""
"2011.004","Collection permanente","Connolly, Reynald","L'oeuvre primitive","2004","acrylique","","toile","","","114.5","","114.2","","","",""
"2011.010","Collection permanente","Dumontier, Jean-Marcel","Non titré","1995","latex","","carton","","","47.6","","34.9","","3.8","",""
"2011.011","Collection permanente","Hurtubise, Jacques","Agatha","1973","encre","","papier","","22/30","","65.5","","101","","",""
"2011.012","Collection permanente","Goodwin, Betty","Note with Blue Stamp","1973","encre","","papier","","","43","","31.5","","","",""
"2011.013","Collection permanente","Derouin, René","Échographie de la mémoire génétique","1986","","plastique, polyester; bois; eau; céramique","","","","296","","396","","296","",""
"2011.014","Collection permanente","Derouin, René","Mémoire et cri génétique","1986","encre","","papier","","2/3","45","","45","","3.5","",""
"2011.015","Collection permanente","Roussil, Robert","Non titré","1965","","métal, fonte","","","","36","","28","","","",""
"2011.016.1","Collection permanente","Hannah, Adad ","Room 112 #1","2004","encre","","papier","","1/7","","51","","69","","",""
"2011.016.2","Collection permanente","Hannah, Adad","Room 112 #2","2004","encre","","papier","","1/7","","51","","69","","",""
"2011.016.3","Collection permanente","Hannah, Adad","Room 112 #3","2004","encre","","papier","","1/7","","69","","51","","",""
"2011.016.4","Collection permanente","Hannah, Adad","Room 112 # 4","2004","encre","","papier","","1/7","","","","","","",""
"2011.016.5","Collection permanente","Hannah, Adad ","Room 112 # 5","2004","encre","","papier","","","","69","","51","","",""
"2011.016.6","Collection permanente","Hannah, Adad","Room 112 # 6","2004","encre","","papier","","1/7","","51","","69","","",""
"2011.016.7","Collection permanente","Hannah, Adad","Room 112","2004","vidéo","","","","1/3","","","","","","",""
"2011.017","Collection permanente","Boissonnet, Philippe","Au regard d'un corps # 12","1983","graphite","","carton Hi-Art","transfert de xérographie","","110","","71","","","",""
"2011.018","Collection permanente","Boissonnet, Philippe","Au regard d'un corps # 15","1983","graphite","","carton Hi-Art","transfert de xérographie","","110","","71","","","",""
"2011.019","Collection permanente","Dumontier, Jean-Marcel ","Non titré","1998","acrylique industrielle","","papier","","","126","142.5","97","112.7","","6.3",""
"2011.020","Collection permanente","Dumontier, Jean-Marcel","Non titré","1998","acrylique industrielle","","papier","","","126","142.5","97","112.7","","6.3",""
"cdi.2010.001","Collection didactique","Roux, Suzanne","Rapprochement","1992","acrylique","","bois","","","","","","","","",""
"cdi.2010.002","Collection didactique","Bougie, Louis-Pierre","La puce à l'oreille","1986","pierre noire; pastel; acrylique","","papier fait main","","","58","","58","","","",""
"cdi.2010.007","Collection didactique","Bruneau, Kittie","La nuit de liguane","1987","acrylique; pastel; plume","","papier fait main","","","","","","","","",""
"2011.021","Collection permanente","Baxter, Bonnie","Under a red Mountain","2005","encre","","toile","impression numérique","","152.4","","152.4","","","",""
"2013.016","Collection permanente","Saint-Pierre, Marcel ","Cercle ultraviolet","2009","acrylique","","toile","","","","","","","","",""
"2013.015","Collection permanente","Saint-Pierre, Marcel ","Cercle infrarouge","2009","acrylique","","toile","","","","","","","","",""
"2013.014.1","Collection permanente","Derouin, René","Espace et densité I","1993","encre","","papier","gravure sur bois","12/30","105.2","","75.2","","","",""
"2013.014.2","Collection permanente","Derouin, René","Espace et densité II","1993","encre","","papier","gravure sur bois","3/3","105.2","","75.2","","","",""
"2013.014.3","Collection permanente","Derouin, René","Espace et densité III","1993","encre","","papier","gravure sur bois","13/30","105.2","","75.2","","","",""
"2013.014.4","Collection permanente","Derouin, René","Espace et densité IV","1993","encre","","papier","gravure sur bois","17/30","105.2","","75.2","","","",""
"2013.014.5","Collection permanente","Derouin, René","Espace et densité V","1993","encre","","papier","gravure sur bois","22/30","105.2","","75.2","","","",""
"2013.014.6","Collection permanente","Derouin, René","Espace et densité VI","1993","encre","","papier","gravure sur bois","17/30","105.2","","75.2","","","",""
"2013.014.7","Collection permanente","Derouin, René","Espace et densité VII","1993","encre","","papier","gravure sur bois","17/30","105.2","","75.2","","","",""
"2013.014.8","Collection permanente","Derouin, René","Espace et densité VIII","1993","encre","","papier","gravure sur bois","17/30","105.2","","75.2","","","",""
"2013.014.9","Collection permanente","Derouin, René","Espace et densité IX","1993","encre","","papier","gravure sur bois","16/30","105.2","","75.2","","","",""
"cdo.2012.001","Collection documentaire","Nils-Udo","Pre-Cambrian Santuary: la ligne du Nord","2003","","","","","","","","","","","",""
"cdo.2012.002","Collection documentaire","Bruni, Gilles; Babarit, Marc","La carrière dans la forêt","2003","","","","","","","","","","","",""
"p.2012.001","Collection de prêt","Goulet, Marilyse","Non titré","2009","encre","","papier","gravure rehausée à la feuille d'or","","","","","","","",""
"p.2012.002","Collection de prêt","Goulet, Marilyse","Non titré","2009","encre","","papier","gravure rehaussée à la feuille d'or","","57","","18","","","",""
"p.2012.003","Collection de prêt","Goulet, Marilyse","Non titré","2009","encre","","papier","gravure rehaussée à la feuille d'or","","57","","13","","","",""
"p.2012.004","Collection de prêt","Goulet, Marilyse","Non titré","2009","encre","","papier","","","57","","18","","","",""
"p.2012.005","Collection de prêt","Goodwin, Betty ","Notebooks 1987-1999","1999","encre","","papier","","95/100","","","","","","",""
"p.2010.009","Collection de prêt","Delisle, Michèle","Villa Bianco, Marseille","1992","huile","","toile","","","38","","46","","","",""
"p.2010.010","Collection de prêt","Delisle, Michèle","Le café de la rue Paradis","1992","huile","","toile","","","65","","81","","","2",""
"2012.004","Collection permanente","Péloquin, Claude","Les mondes assujettis","1976","encre","","papier","","","34","","27","","3","",""
"2013.012","Collection permanente","Leblanc, Pierre","La roche aux fées","1983","encre; fusain","","papier ","frottis","","199.6","","286","","","",""
"2013.007","Collection permanente","Leblanc, Pierre","Sculpture (corde jaune)","1980","crayon de plomb; crayon de couleur","","papier","","","56","","76","","","",""
"2013.008","Collection permanente","Leblanc, Pierre","Sculpture (corde jaune chiffre 2)","1980","crayon de plomb; crayon de couleur","","papier","","","56","","76","","","",""
"2013.009","Collection permanente","Leblanc, Pierre","Parallèles doubles","1981","crayon de plomb; crayon de couleur","","papier","","","","","","","","",""
"2013.010","Collection permanente","Leblanc, Pierre","Arche Pression + tension","1981","crayon de plomb; crayon de couleur","","papier","","","56.6","","76.5","","","",""
"2013.001","Collection permanente","David-Chagnon, Madeleine","Plis et replis du quotidien","2004","","bois; métal, cuivre; émail; métal, laiton; métal, bronze; métal, argent","","","","","","","","","",""
"2013.002","Collection permanente","Pellan, Alfred","Femme au décolleté","1942","encre; fusain","","papier","","","64","84","48","73","","8",""
"2013.003","Collection permanente","Riopelle, Jean-Paul","Feuilles VII","1967","encre","","papier","lithographie","","75.5","101","120","137.5","","5",""
"2013.004","Collection permanente","Connolly, Reynald","# 12","1962","aquarelle","","papier","","","42.5","","35.5","","","",""
"2013.005","Collection permanente","Beaulieu, Paul-Vanier","Non titré","1960 c","huile","","toile","","","13.8","33.5","18","37","","4.5",""
"2013.006","Collection permanente","Derouin, René","sans titre","1993","huile","","papier","","","121","136","80","95","","4",""
"p.2013.001","Collection de prêt","Fournelle, André","Bâtissons une cathédrale","2013","","métal, acier; métal, bronze","","","","200","","200","","","",""
"p.2013.002","Collection de prêt","Goodwin, Betty","A Burst of Bloody Air ","2003","encre","","papier","lithographie","23/100","45","","30.5","","","",""
"p.2013.003","Collection de prêt","Séguin, Marc","Boy's Dream-Birkenaü","2004","encre","","papier","eau-forte; pointe-sèche; Chine-collé","8/50","61","","76","","","",""
"p.2013.004","Collection de prêt","Vermette, Claude ","Tuile aux cheveaux","","","céramique, grès; glaçure; émail Tenmoku","","","","14.7","","14.7","","","",""
"p.2013.005","Collection de prêt","Vermette, Claude","Assiette aux yeux bleus","","","céramique, grès","","","","","","","","","","14"
"p.2013.006","Collection de prêt","Pelletier, Louis","Lieu I","1986","encre","","papier","manière noire","10/28","28.5","","19","","","",""
"p.2013.007","Collection de prêt","Bruneau, Kittie","Printemps bleu","1998","encre","","papier","eau-forte","13/75","56","","76","","","",""
"p.2013.008","Collection de prêt","Bougie, Louis-Pierre","Déclaration d'amour au père Lachaise","1985","encre","","papier","","8/60","67","","20","","","",""
"p.2013.009","Collection de prêt","Hurtubise, Jacques","Mabou","1993","encre","","papier","sérigraphie","hc","46.5","","76","","","",""
"p.2013.010","Collection de prêt","Beaulieu, Paul-Vanier","En Provence","1961","huile","","toile","","","22","43.5","35","56.5","","4",""
"p.2013.011","Collection de prêt","Beaulieu, Paul-Vanier","L'Estérel","1963","huile","","toile","","","21","44.5","34","57.5","","3.5",""
"p.2013.012","Collection de prêt","Beaulieu, Paul-Vanier","Tel fut le marquis","","aquarelle","","papier","","","48.5","66","31","49","","2.5",""
"p.2013.013","Collection de prêt","Derouin, René","Fleuve-mémoire Fljôt","1999","encre","","papier","gravure sur bois","7/25","","","","","","",""
"p.2013.014","Collection de prêt","Simonin, Francine","Les chaises-contrepoint","1984","acrylique","","papier","","","79","","118","","","",""
"cdi.2013.001","Collection didactique","David-Chagnon, Madeleine","Lundi matin","1985","","métal, bronze; métal, cuivre; émail; métal, inoxydable; poudre ","","","","15","","20","","","",""
"cdi.2013.002","Collection didactique","David-Chagnon, Madeleine","H2O","1988","","métal, bronze; métal, cuivre; émail; métal, inoxydable; poudre","","","","28","","28","","","",""
"cdi.2013.003","Collection didactique","David-Chagnon, Madeleine","Bric-à-brac","1989","","métal, cuivre; métal, nickel; objet récupéré; émail","","","","7.5","","25","","","",""
"cdi.2013.004","Collection didactique","Séguin, Marc","Chronique d'automne 2 ","1999","encre","","papier","","1/10","","","","","","",""
"cdi.2013.005","Collection didactique","Derouin, René","Triptyque Mexico VII","1989","encre; pastel","","papier","","EA","76","","56","","","",""
"cdi.2013.006","Collection didactique","Pelletier, Louis","Quatrième lieu","1986","encre","","papier","manière noire; embossé","13/20","56.7","","65","","","",""
"cdi.2013.007","Collection didactique","Pelletier, Louis","Quatrième lieu","1986","","métal, cuivre; plastique, plexiglas","","","","58","","62","","","",""
"cdi.2013.008","Collection didactique","Pelletier, Louis","Lieu III","","","métal, cuivre","","","","","43","","43","","",""
"cdi.2013.009","Collection didactique","Leblanc, Pierre","Sainte-Catherine-de-Scienne","2011","","plâtre; métal, acier","","","","60","","40","","","",""
"cdo.2013.001","Collection documentaire","Riopelle, Jean-Paul","Le cirque","","encre","","papier","","","","","","","","",""
"cdo.2007.002.6","Collection documentaire","Doyen, Nathalie","Préméditation","2009","encre","","papier","","","72.7","","102.5","","","",""
"cdo.2007.002.7","Collection documentaire","Torres, Jose Luis","Lieux de passages","2009","encre","","papier","","","102.5","","72.7","","","",""
"cdo.2007.002.8","Collection documentaire","Myre, Nadia","Je l'ai laissé en forêt","2009","encre","","papier","","","102.5","","72.7","","","",""
"cdo.2007.002.9","Collection documentaire","Meusnier, Édith","Artéfact","2009","encre","","papier","","","102.5","","72.7","","","",""
"cdo.2007.002.10","Collection documentaire","Moore, David","Le coucou de Bethoven","2010","encre","","papier","","","72.2","","102.5","","","",""
"cdo.2007.002.11","Collection documentaire","Carbonne, Florence","Sans titre ","2010","encre","","papier","","","102.5","","72.7","","","",""
"cdo.2007.002.12","Collection documentaire","Fabb, Jeane","La glaneuse","2011","encre","","papier","","","72.7","","102.5","","","",""
"cdo.2007.002.14","Collection documentaire","Jacob, Joachim","Rocaille sauvage (sans-soucis)","2012","encre","","papier","","","72.7","","102.5","","","",""
"cdo.2007.002.15","Collection documentaire","Pien, Ed","Configuration","2012","encre","","papier","","","72.7","","102.5","","","",""
"cdo.2007.002.16","Collection documentaire","Saia, Frédéric","Charpente végétale","2012","encre","","papier","","","102.5","","72.7","","","",""
"2003.020.1-29","Collection permanente","Vermette, Claude","Série d'estampe","","","","","","","","","","","","",""
"2003.021.1-66","Collection permanente","Vermette, Claude","Série de peinture","","","","","","","","","","","","",""
"2003.026.1-5","Collection permanente","Derouin, René","Série Nouveau-Québec","","","","","","","","","","","","",""
"2011.016.1-7","Collection permanente","Hannah, Adad ","Série Room 112","","","","","","","","","","","","",""
"2003.024.1-5","Collection permanente","Bruneau, Kittie","Série Cree-Lac-Lubicon","","","","","","","","","","","","",""
"2005.036.1-6","Collection permanente","Riopelle, Jean-Paul","Les saisons de Saint-Cyr en Artie","","","","","","","","","","","","",""
"2006.010.1-6","Collection permanente","Gnass, Peter","160 Nicolas, Ottawa Coin 1 / 1979","","","","","","","","","","","","",""
"2013.014.1-9","Collection permanente","Derouin, René","Série d'estampe Espace et densité","","","","","","","","","","","","",""
