Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_independants_04,Autres_independants_05,Autres_independants_06,Autres_independants_07,Autres_nouveau_parti_democratique,Autres_parti_de_la_loi_naturelle,Autres_equality_party,Autres_parti_de_la_souverainete_du_quebec,Autres_parti_vert,Autres_parti_citron,Autres_canada,Autres_parti_pour_la_republique_du_canada,Autres_developpement_quebec,Autres_parti_economique,Autres_parti_innovateur,Autres_parti_marxiste-leniniste,Autres_parti_communiste
Îles-de-la-Madeleine,819,13146,25,719,12976,35,10682,9230,136,9094,1452,5455,3639,,,,,,,,,,,,,,,,,,,,,
Jacques-Cartier,38757,16828,8915,36084,17621,11200,44842,39517,260,39257,5325,32839,3441,,,,,,,,,,206,2415,,,,186,,,94,,,76
Jeanne-Mance,3674,29026,26365,4083,23357,29745,36038,29377,687,28690,6661,21294,6534,,,,,,,,,,322,,,,,,,,,540,,
Jean-Talon,2263,45052,1625,2121,42699,1795,31938,28408,551,27857,3530,12229,12204,2082,816,,,,,,,313,130,,,,,,,83,,,,
Johnson,1663,46177,300,1895,47580,285,33877,27483,873,26610,6394,12001,13247,,,,,,,,,,630,732,,,,,,,,,,
Joliette,422,55433,420,387,56123,515,41557,34842,995,33847,6715,8712,21903,2651,,,,,,,,,581,,,,,,,,,,,
Jonquière,584,58476,240,552,56798,235,41921,33551,1002,32549,8370,8703,22598,,,,,,,,,,1248,,,,,,,,,,,
Kamouraska-Témiscouata,191,46859,55,95,45800,25,33639,24656,356,24300,8983,10373,9987,3223,,,,,,,,717,,,,,,,,,,,,
La Peltrie,1109,67071,730,1431,71869,775,49607,42417,857,41560,7190,11906,20475,6003,1418,742,541,,,,,,475,,,,,,,,,,,
Labelle,988,45082,310,1313,47907,330,34980,27380,566,26814,7600,8494,17638,,,,,,,,,,340,,,,342,,,,,,,
Lac-Saint-Jean,281,53404,100,196,53004,115,37557,29511,568,28943,8046,7269,20743,,,,,,,,,,931,,,,,,,,,,,
Lafontaine,3573,45462,20535,4203,45592,23570,45521,37723,542,37181,7798,20698,12862,2971,,,,,,,,,316,,,,,,,,,334,,
Lapinière,9970,40195,14635,9751,37289,18615,42307,36315,814,35501,5992,22252,12195,,,,,,,,,,597,,457,,,,,,,,,
Laporte,14116,43689,5090,12260,43105,5365,44101,37559,941,36618,6542,21162,14068,,,,,,,,,,382,,182,583,,,241,,,,,
Laprairie,4125,58790,2695,4166,69094,3305,50133,42721,870,41851,7412,14720,23164,3103,,,,,,,,,371,,238,,,,,,255,,,
L'Assomption,818,61297,920,984,65851,1090,46334,39661,744,38917,6673,10817,21809,5925,,,,,,,,,366,,,,,,,,,,,
Laurier-Dorion,6033,35177,36005,5356,31699,39270,41718,34064,712,33352,7654,18522,11592,1723,,,,,,,,409,274,,,,,,329,172,,,125,206
Laval-des-Rapides,2350,55995,8005,2050,48000,8020,37451,30964,700,30264,6487,12446,14179,2738,,,,,,,,669,232,,,,,,,,,,,
Laviolette,534,43631,2160,642,42258,2555,33886,26655,421,26234,7231,7458,16670,1880,,,,,,,,,226,,,,,,,,,,,
