Circonscriptions,Anglophones_1986,Francophones_1986,Allophones_1986,Anglophones_1991,Francophones_1991,Allophones_1991,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Equality_party,Unity_party,Autres_parti_quebecois,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_parti_vert,Autres_nouveau_parti_democratique,Autres_parti_citron,Autres_parti_des_travailleurs_du_quebec,Autres_parti_conservateur,Autres_parti_independantiste,Autres_parti_marxiste-leniniste,Autres_parti_51,Autres_credit_social_uni,Autres_mouvement_socialiste,Autres_republicain-commonwealth,Autres_parti_communiste_du_quebec,Autres_parti_libertarien
Bonaventure,5511,33230,675,5290,32300,830,27041,19993,249,19744,7048,11778,5392,,1266,,,,,1062,,246,,,,,,,,,,
Bourassa,2287,40992,10855,2145,37590,12330,34125,25080,759,24321,9045,13747,8868,,,,645,,,,,406,459,,,63,,,,133,,
Bourget,2500,49333,4110,2102,48163,5485,35208,27029,887,26142,8179,12417,12258,,,,428,,,,,,635,,273,,,,,,131,
Brome-Missisquoi,12793,33372,1225,13229,35646,1370,33584,25429,507,24922,8155,13502,6238,,2756,,1936,137,,,,,,,,,269,,,84,,
Chambly,6139,48095,1660,5939,55401,1690,40861,32830,1087,31743,8031,15435,12939,,,,,,,2797,,,,,572,,,,,,,
Champlain,525,55252,185,538,57852,255,41524,32335,929,31406,9189,14325,11035,,,6046,,,,,,,,,,,,,,,,
Chapleau,4135,59083,1235,4790,68800,2130,45441,28993,809,28184,16448,15569,12615,,,,,,,,,,,,,,,,,,,
Charlesbourg,604,58590,575,641,59164,630,44355,35580,742,34838,8775,20818,11119,,,,,,,,1140,1232,,529,,,,,,,,
Charlevoix,175,42155,65,165,41310,45,30647,22624,796,21828,8023,11816,10012,,,,,,,,,,,,,,,,,,,
Châteauguay,11550,37845,2415,12256,40234,2700,37311,29454,747,28707,7857,12528,10475,,5007,,,,,,,,,697,,,,,,,,
Chauveau,2350,65874,460,2380,74610,610,49195,36427,1046,35381,12768,19021,13399,,,,,,,2961,,,,,,,,,,,,
Chicoutimi,388,60301,395,432,61878,365,43478,32819,484,32335,10659,13114,18047,,,,,,,,914,,,,,,,,260,,,
Chomedey,11946,33955,15985,10413,34547,23270,44293,32141,499,31642,12152,16895,7783,5889,,,476,,,,501,,,,,,,98,,,,
Crémazie,2811,55809,13525,2696,50849,15985,38942,30788,710,30078,8154,15100,12736,,,,,,,1385,496,,115,,,103,,,,143,,
