"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg" 
70030,Saint-Étienne-de-Beauharnois,M,933,1.16,82933620.00,9038372.00,1132276.00,13021000.00,70671840.00,1892772.00,178689880.00,0.00,0.00,257288.00,0.00,0.00,0.00,699700.98,8868.20,0.00,179655737.18,01,1 @ 1 999,AR700,Beauharnois-Salaberry,,,16,Montérégie
70035,Saint-Louis-de-Gonzague,P,1602,1.06,118551036.00,18616886.00,2202256.00,14951088.00,106465128.00,4013584.00,264799978.00,0.00,0.00,0.00,2189642.00,0.00,0.00,1194411.71,3757.17,0.00,268187788.88,01,1 @ 1 999,AR700,Beauharnois-Salaberry,,,16,Montérégie
70040,Saint-Stanislas-de-Kostka,M,1717,1.05,151983720.00,9171855.00,20208615.00,9339540.00,69418335.00,9245565.00,269367630.00,0.00,0.00,0.00,725025.00,0.00,0.00,570810.45,510.83,0.00,270663976.28,01,1 @ 1 999,AR700,Beauharnois-Salaberry,,,16,Montérégie
70052,Salaberry-de-Valleyfield,V,41701,1.03,2060326819.00,877552893.00,120164229.00,831642291.00,118789076.00,135999552.00,4144474860.00,30591.00,0.00,25942713.00,8691655.00,69137869.35,34969506.83,17604040.03,35539017.52,0.00,4336390252.72,04,25 000 @ 99 999,AR700,Beauharnois-Salaberry,,,16,Montérégie
71005,Rivière-Beaudette,M,2246,1.05,227624145.00,15557010.00,10199700.00,18288690.00,15647730.00,11331180.00,298648455.00,3543540.00,0.00,0.00,3045.00,0.00,0.00,461639.85,19119.45,0.00,302675799.30,02,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,,,16,Montérégie
71015,Saint-Télesphore,M,771,1.01,46475150.00,2923647.00,1057975.00,15330184.00,131577548.00,1587417.00,198951921.00,0.00,0.00,0.00,0.00,0.00,0.00,518039.10,0.00,0.00,199469960.10,01,1 @ 1 999,AR710,Vaudreuil-Soulanges,,,16,Montérégie
71020,Saint-Polycarpe,M,2316,1.03,133929973.00,23067159.00,3682147.00,31622339.00,141277684.00,3485520.00,337064822.00,0.00,0.00,103.00,135239.00,1244118.98,0.00,840694.24,9004390.81,0.00,348289368.03,02,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,,,16,Montérégie
71025,Saint-Zotique,M,8623,1.04,734603584.00,113271288.00,14131832.00,38397424.00,34152456.00,49281960.00,983838544.00,0.00,0.00,0.00,300040.00,0.00,0.00,15120542.32,0.00,0.00,999259126.32,02,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,,,16,Montérégie
71033,Les Coteaux,M,5436,1.00,345373900.00,112325100.00,3116200.00,58879800.00,11420300.00,21160100.00,552275400.00,0.00,0.00,0.00,18000.00,1233045.00,0.00,2459883.00,0.00,0.00,555986328.00,02,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,,,16,Montérégie
71040,Coteau-du-Lac,V,7192,1.00,607417500.00,88426100.00,32769400.00,259342300.00,84817900.00,25164800.00,1097938000.00,0.00,0.00,594600.00,1771400.00,4729890.00,0.00,5590997.00,77075.50,0.00,1110701962.50,02,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,,,16,Montérégie
71045,Saint-Clet,M,1814,1.02,111429696.00,18465876.00,5495964.00,29854380.00,106234428.00,1269084.00,272749428.00,0.00,0.00,2359974.00,0.00,0.00,0.00,644460.99,0.00,0.00,275753862.99,01,1 @ 1 999,AR710,Vaudreuil-Soulanges,,,16,Montérégie
71050,Les Cèdres,M,7040,1.03,587615618.00,58880465.00,19835122.00,84098573.00,125068986.00,12240314.00,887739078.00,0.00,0.00,378216.00,0.00,0.00,0.00,2334959.53,3097482.95,0.00,893549736.48,02,2 000 @ 9 999,AR710,Vaudreuil-Soulanges,CM663,Communauté métropolitaine de Montréal,16,Montérégie
71055,Pointe-des-Cascades,VL,1694,1.05,141542205.00,28558845.00,1206765.00,4877250.00,0.00,4627560.00,180812625.00,0.00,0.00,375060.00,0.00,0.00,0.00,0.00,0.00,0.00,181187685.00,01,1 @ 1 999,AR710,Vaudreuil-Soulanges,CM663,Communauté métropolitaine de Montréal,16,Montérégie
