ï»¿ID,MUNICIPALITE,AVIS_NO,STATUT,DATEDEBUT,DATEFIN,TYPE,SERVICE
228,Repentigny,11,Inactif,2021-02-14 04:30:00,2021-02-17 15:00:00,Avis d'Ã©bullition,Travaux publics
229,Repentigny,12,Inactif,2021-02-15 13:30:00,2021-02-15 20:30:00,Avis d'Ã©bullition,Travaux publics
230,Repentigny,13,Inactif,2021-02-15 23:30:00,2021-02-17 20:45:00,Avis d'Ã©bullition,Travaux publics
231,Repentigny,14,Inactif,2021-02-16 04:20:00,2021-02-17 19:45:00,Avis d'Ã©bullition,Travaux publics
232,Repentigny,15,Inactif,2021-02-18 13:30:00,2021-02-19 18:00:00,Avis d'Ã©bullition,Travaux publics
233,Repentigny,16,Inactif,2021-02-20 17:10:00,2021-02-24 14:50:00,Avis d'Ã©bullition,Travaux publics
234,Repentigny,17,Inactif,2021-02-20 22:29:00,2021-02-24 16:05:00,Avis d'Ã©bullition,Travaux publics
235,Repentigny,18,Inactif,2021-02-21 09:00:00,2021-02-24 14:50:00,Avis d'Ã©bullition,Travaux publics
236,Repentigny,19,Inactif,2021-02-22 02:30:00,2021-02-24 15:45:00,Avis d'Ã©bullition,Travaux publics
237,Repentigny,20,Inactif,2021-02-22 17:20:00,2021-02-23 20:17:00,Avis d'Ã©bullition,Travaux publics
239,Repentigny,21,Inactif,2021-03-27 18:30:00,2021-04-01 14:00:00,Avis d'Ã©bullition,Travaux publics
240,Repentigny,22,Inactif,2021-04-01 21:30:00,2021-04-06 12:00:00,Avis d'Ã©bullition,Travaux publics
241,Repentigny,23,Inactif,2021-04-27 15:30:00,2021-05-30 20:45:00,Avis d'Ã©bullition,Travaux publics
242,Repentigny,1,Inactif,2021-05-06 12:00:00,2021-05-10 04:00:00,Avis d'Ã©bullition,Gestion des infrastructures
243,Repentigny,24,Inactif,2021-05-12 10:00:00,,Avis d'Ã©bullition,Travaux publics
244,Repentigny,25,Inactif,2021-05-17 18:50:00,,Avis d'Ã©bullition,Travaux publics
246,Repentigny,26,Inactif,2021-05-31 10:10:00,2021-06-02 13:35:00,Avis d'Ã©bullition,Travaux publics
247,Repentigny,,Inactif,2021-06-01 12:00:00,2021-06-01 21:00:00,Avis d'Ã©bullition,Gestion des infrastructures
248,Repentigny,27,Inactif,2021-06-01 18:35:00,2021-06-04 13:00:00,Avis d'Ã©bullition,Travaux publics
249,Repentigny,28,Inactif,2021-06-09 19:00:00,2021-06-14 11:20:00,Avis d'Ã©bullition,Travaux publics
250,Repentigny,29,Inactif,2021-06-13 20:45:00,2021-06-16 13:00:00,Avis d'Ã©bullition,Travaux publics
251,Repentigny,30,Inactif,2021-06-14 08:00:00,2021-06-16 18:20:00,Avis d'Ã©bullition,Travaux publics
252,Repentigny,5,Inactif,2021-06-16 12:00:00,2021-06-29 13:00:00,Avis d'Ã©bullition,Gestion des infrastructures
253,Repentigny,4,Inactif,2021-06-16 12:00:00,2021-06-29 13:00:00,Avis d'Ã©bullition,Gestion des infrastructures
254,Repentigny,6,Inactif,2021-06-16 12:00:00,2021-06-29 13:00:00,Avis d'Ã©bullition,Gestion des infrastructures
255,Repentigny,7,Inactif,2021-06-16 12:00:00,2021-06-29 13:00:00,Avis d'Ã©bullition,Gestion des infrastructures
256,Repentigny,31,Inactif,2021-06-30 08:40:00,2021-07-05 14:30:00,Avis d'Ã©bullition,Travaux publics
257,Repentigny,33,Inactif,2021-07-15 02:30:00,2021-07-19 12:00:00,Avis d'Ã©bullition,Travaux publics
259,Repentigny,34,Inactif,2021-07-20 19:30:00,2021-07-23 14:00:00,Avis d'Ã©bullition,Travaux publics
261,Repentigny,35,Inactif,2021-08-31 21:00:00,2021-08-03 19:30:00,Avis d'Ã©bullition,Travaux publics
262,Repentigny,36,Inactif,2021-08-02 22:30:00,2021-08-06 18:00:00,Avis d'Ã©bullition,Travaux publics
263,Repentigny,8,Inactif,2021-08-17 12:00:00,2021-08-20 16:00:00,Avis d'Ã©bullition,Gestion des infrastructures
265,Repentigny,37,Inactif,2021-08-17 13:45:00,2021-08-20 17:00:00,Avis d'Ã©bullition,Travaux publics
266,Repentigny,38,Inactif,2021-08-17 13:45:00,2021-08-20 02:00:00,Avis d'Ã©bullition,Travaux publics
267,Repentigny,40,Inactif,2021-08-24 03:30:00,2021-08-30 13:30:00,Avis d'Ã©bullition,Travaux publics
268,Repentigny,41,Inactif,2021-08-24 14:50:00,2021-08-26 19:00:00,Avis d'Ã©bullition,Travaux publics
