No structure,IDE_STRCT,Groupe,Statut,Type structure,Charg. conception,Affichage,Responsablilté de gestion,Centre de services,Role VM Inspection,Année de construction,Nom route,Nom obstacle,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,Longitude,Latitude,X,Y
81-05171B,6041754,"P.I. Clark / CP, Van Horne",Actif Ville de Montréal,"Port. béton armé, ss remblai",98-Autre,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1972,CP,Rue Clark,99.99,4,2018/07/30 00:00:00,866,,-73.6067855,45.528286,296458.8664,5043157.648
81-05172B,6041765,"P.I. Ch. Côte-des-Neiges / CP, au Sud de Jean-Talon OuestCh.",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1933,"CP, au Sud de Jean-Talon Ouest",Chemin de la Côte-des-Neiges Dir. Sud,98.73,4,2017/07/19 00:00:00,743,,-73.6402161554437,45.5044670982314,293842.9394,5040514.652
81-05173A,6009043,"P.I. Ch. Côte-St-Luc / CP, West Broadway",Actif Ville de Montréal,Pont à poutres en acier,13-H20-S16,Aucun affichage,Ville Montréal - Municipalité,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1969,Voie d'accès vers West Broadway,"Chemin de la Côte-Saint-Luc, direction Est",62.15,3,2018/09/04 00:00:00,556,,-73.6557805,45.462983,292617.7405,5035906.76
81-05175B,6041776,"P.I. De Lorimier / CP,  Nord de Masson",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1930,"CP, Nord de la rue Masson",Avenue De Lorimier Dir. Nord,67.91,3,2017/05/17 00:00:00,681,,-73.5833815,45.5403065,298288.3661,5044491.334
81-05176A,6088201,"T.V. St-Marc, du Fort / Aut. 720, CP et René-Lévesque Ouest",Actif Ville de Montréal,Tunnel,,,Ville de Montréal - MTQ,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1972,"Tunnel rue Saint-Marc, dir. Nord",Autoroute 720,100,4,2018/10/16 00:00:00,,,-73.5771305,45.490034,298771.169,5038904.027
81-05177A,6088202,"T.V. St-Marc, du Fort / Aut. 720, CP et René-Lévesque Ouest",Actif Ville de Montréal,Tunnel,,,Ville de Montréal - MTQ,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1972,"Rue du Fort, dir. Sud",Autoroute 720,99.61,4,2017/11/06 00:00:00,,,-73.57763021792,45.4895609687546,298732.0582,5038851.496
81-05178B,6009046,P.I. Ave Girouard / Boul. De Maisonneuve et CP,Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1931,Chemin de fer du CP P.M. 2.58 sub Westmount,Avenue Girouard,66.69,3,2018/05/29 00:00:00,703,,-73.6084872794744,45.470993205667,296317.3399,5036790.853
81-05178C,6009047,P.I. Ave Girouard / Boul. De Maisonneuve et CP,Actif Ville de Montréal,Pont à dalle pleine en béton armé,13-H20-S16,Aucun affichage,Ville de Montréal - MTQ,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1961,Boul. De Maisonneuve Ouest,Avenue Girouard,100,4,2018/05/29 00:00:00,287,,-73.6086979073179,45.4710872602538,296300.885,5036801.328
81-05183C,6029220,"P.I. Henri-Bourassa / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1961,Virage en Uà l'Ouest du CP,"Boulevard Henri-Bourassa Ouest, dir. Ouest",98.93,4,2016/05/10 00:00:00,313,,-73.677223,45.5401385,290959.8232,5044484.56
81-05183D,6029300,"P.I. Henri-Bourassa / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien Pacifique,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1961,Chemin de fer CP,Boulevard Henri-Bourassa Ouest Dir. Est,60.92,3,2016/05/10 00:00:00,784,,-73.677185,45.5402905,290962.8281,5044501.445
81-05183E,6029255,"P.I. Henri-Bourassa / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1961,"Virage en U, à l'Est du CP","Boulevard Henri-Bourassa Ouest, dir. Ouest",97.83,4,2016/05/10 00:00:00,335,,-73.6770495,45.540431,290973.4444,5044517.036
81-05186C,6029328,"P.I. Jarry / CP, à l'Est de Querbes",Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien Pacifique,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1956,Canadien Pacifique,Rue Jarry Ouest Dir. Est,100,4,2016/08/30 00:00:00,622,,-73.634592,45.533268,294287.7981,5043714.567
81-05187C,6041832,"P.I. Jean-Talon / CP, Est de du Parc",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1930,"CP, à l'Est de du Parc",Rue Jean-Talon Ouest Dir. Est,100,4,2017/08/08 00:00:00,627,,-73.621546,45.5311265,295306.3853,5043474.955
81-05189C,6036559,"P.I. Masson / CP, Est de De Lorimier",Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1959,"Rue Masson (Virage en U, à l'Ouest du CP)","Rue Masson, dir. Ouest",98.43,4,2018/10/09 00:00:00,514,,-73.5798312082914,45.5411654647085,298565.7192,5044586.51
81-05189D,6041852,"P.I. Masson / CP, Est de De Lorimier",Actif Ville de Montréal,"Port. béton armé, ss remblai",98-Autre,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1959,"CP, à l'Est de De Lorimier",Rue Masson Dir. Est,99.16,4,2018/10/09 00:00:00,1005,,-73.5798205,45.5413875,298566.58,5044611.184
81-05189E,6037568,"P.I. Masson / CP, Est de De Lorimier",Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1959,"Virage en U, à l'Est du CP","Rue Masson, dir. Ouest",99.18,4,2018/10/09 00:00:00,500,,-73.5796217842819,45.5416800366697,298582.1305,5044643.679
81-05193A,6036581,"P.I. Papineau / CP, des Carrières",Actif Ville de Montréal,Pont à poutres en béton armé,5-H15,Tonnage réduit,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1934,Rue des Carrières,Avenue Papineau Sud,51.93,3,2018/06/04 00:00:00,437,,-73.5881015,45.5391825,297919.6232,5044366.816
81-05194B,6041990,"P.I. Masson / CP, Est de De Lorimier",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1934,"CP, au Sud de la rue des Carrières",Avenue Papineau Dir. Nord,98.7,4,2018/06/05 00:00:00,595,,-73.5863035,45.538358,298059.9413,5044275.036
81-05195B,6036699,"P.I. Du Parc / CP, entre Beaubien et Van Horne",Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1914,"CP, entre Beaubien Ouest et Van Horne","Avenue du Parc, Dir. Nord",41.28,3,2018/07/25 00:00:00,756,,-73.611328,45.5262475,296103.7326,5042931.589
81-05196B,6041953,"P.I. Du Parc / CP, entre Beaubien et Beaumont",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1931,CP,Avenue du Parc Dir. Nord,100,4,2017/10/02 00:00:00,601,,-73.616938,45.528733,295665.9158,5043208.428
81-05198A,6009054,"P.I. St-Denis / CP, des Carrières",Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1970,Rue des Carrières,"Rue Saint-Denis, dir. Sud",66.55,3,2018/09/10 00:00:00,366,,-73.596557,45.5301635,297258.0768,5043365.284
81-05201B,6042055,"P.I. St-Hubert / CP, des Carrières",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1931,"CP, au Sud de des Carrières",Rue Saint-Hubert Dir. Sud,98.24,4,2018/09/11 00:00:00,604,,-73.593916,45.5318445,297464.5799,5043551.851
81-05202B,6019540,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien National,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1933,Chemin de fer CN,Boulevard Saint-Joseph Est Dir. Ouest,60.39,3,2018/05/23 00:00:00,834,,-73.573519,45.5413325,299058.6772,5044604.602
81-05204B,6009064,"P.I. St-Laurent / CP, Sud de Bellechasse",Actif Ville de Montréal,Pont à poutres en acier,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1910,Canadien Pacifique,Boulevard Saint-Laurent,100,4,2016/05/11 00:00:00,610,,-73.6043786204955,45.5283627765901,296646.8815,5043165.933
81-05208C,6042175,T.V. St-Rémi / Canal Lachine,Actif Ville de Montréal,Tunnel,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1951,Tunnel Saint-Rémi dir. Sud,Canal Lachine,,,,,,-73.5873195,45.4680005,297972.095,5036456.258
81-05209C,6009068,"P.I. De Salaberry / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Pont à poutres en acier enr. de béton,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1932,Canadien Pacifique,"Rue De Salaberry, dir. Ouest",60.63,3,2018/11/30 00:00:00,561,,-73.6938605,45.543425,289661.4048,5044852.796
81-05210C,6009073,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,Virage en U,"Rue Sauvé Ouest, dir. Ouest",70.32,3,2017/07/18 00:00:00,486,,-73.6649494038118,45.5380239366862,291917.8431,5044247.523
81-05210D,6010420,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,Canadien Pacifique,rue Sauvé Ouest Dir. Est,70.45,3,2017/07/18 00:00:00,295,,-73.665033,45.5381715,291911.3482,5044263.935
81-05210E,6009075,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien Pacifique,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,Chemin de fer CP,rue Sauvé Ouest Dir. Est,69.7,3,2017/07/18 00:00:00,384,,-73.665007,45.5382885,291913.4054,5044276.933
81-05210F,6009076,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,Canadien Pacifique,rue Sauvé Ouest Dir Est,70.93,3,2017/07/18 00:00:00,281,,-73.664979,45.5384005,291915.6177,5044289.376
81-05213B,6042077,"P.I. Victoria / CP, au Sud de Jean-Talon Ouest",Actif Ville de Montréal,Portique en béton armé,99-Inconnu,Aucun affichage,Ville Montréal - Canadien Pacifique,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1960,"CP, au Sud de la rue Jean-Talon Ouest",Avenue Victoria Dir. Sud,99.67,4,2017/05/09 00:00:00,712,,-73.6459175,45.498048,293396.1173,5039802.088
81-05214C,6008700,"P.I. Wellington / CN, à l'Est de la Congrégation",Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville Montréal - Canadien National,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1961,"CN, à l'Est de la Congrégation",rue Wellington Dir. Est,70.17,3,2018/03/27 00:00:00,1088,,-73.558265,45.4819565,300245.1216,5038005.13
81-05215A,6042179,T.V. Tunnel Wellington / Canal Lachine,Actif Ville de Montréal,Tunnel,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1932,Ancienne rue Wellington,Canal Lachine,95.73,4,2017/08/02 00:00:00,,,-73.557109252561,45.4903366114422,300336.1343,5038936.348
81-05216A,6013233,P.I. Armand-Chaput / CN et Maurice-Duplessis,Actif Ville de Montréal,Pont à dalle pleine en béton armé,16-MS250,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1982,"Boulevard Maurice-Duplessis, dir. Est","Avenue Armand-Chaput, dir. Sud",100,4,2018/05/10 00:00:00,345,,-73.5343745,45.6637725,302121.4234,5058209.603
81-05216B,6013960,P.I. Armand-Chaput / CN et Maurice-Duplessis,Actif Ville de Montréal,Pont à dalle pleine en béton armé,16-MS250,Aucun affichage,Ville de Montréal,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1982,"Boulevard Maurice-Duplessis, dir. Ouest","Avenue Armand-Chaput, dir. Sud",99.87,4,2018/05/10 00:00:00,447,,-73.534462,45.6638665,302114.6096,5058220.053
81-05217A,6015864,P.I. Armand-Chaput / CN et Maurice-Duplessis,Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien National,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1982,Canadien National,Avenue Armand-Chaput,99.93,4,2018/05/10 00:00:00,408,,-73.5342055,45.6635275,302134.5808,5058182.37
81-05217B,6015870,P.I. Armand-Chaput / CN et Maurice-Duplessis,Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien National,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,Inspections annuelle et générale par la Ville Montréal,1982,Canadien National,Avenue Armand-Chaput,99.93,4,2018/05/10 00:00:00,390,,-73.5343085,45.663655,302126.5607,5058196.543
81-05220C,6023401,"P.I. Ch. Côte-St-Luc / CP, West Broadway",Actif Ville de Montréal,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Ville Montréal - Municipalité - Canadien Pacifique,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1967,Chemin de fer CP,Chemin de la Côte-Saint-Luc Dir. Ouest,99.13,4,2018/09/04 00:00:00,898,,-73.6561005,45.4626565,292592.6456,5035870.525
81-05262B,6023436,"P.I. Henri-Bourassa / CN, à l'Est de Albert-Hudon",Actif Ville de Montréal,Portique en béton armé,98-Autre,Aucun affichage,Ville Montréal - Canadien National,16 - Arrondissement Montréal-Nord,Inspections annuelle et générale par la Ville Montréal,1997,Canadien Pacifique,Boulevard Henri-Bourassa Est Dir. Est,100,4,2018/10/31 00:00:00,2995,,-73.6037305829878,45.6125768645494,296709.6001,5052524.731
81-05290A,6057311,"Pont Bordeaux, Île Perry / Rivière des Prairies",Actif Ville de Montréal,Pont acier-bois,98-Autre,Aucun affichage,Ville Montréal - Municipalité,24 - Arrondissement Ahuntsic-Cartierville,Inspection annuelle par la Ville de Montréal,2004,"Piste cyclable, route verte no 1 (Accès Île Perry, côté O)",Rivière des Prairies,,,,97,,-73.6984988802239,45.5469874681328,289300.1721,5045249.583
81-05290B,6059210,"Pont Bordeaux, Île Perry / Rivière des Prairies",Actif Ville de Montréal,Pont acier-bois,99-Inconnu,Aucun affichage,Ville Montréal - Municipalité,24 - Arrondissement Ahuntsic-Cartierville,Inspection annuelle par la Ville de Montréal,2004,"Piste cyclable, route verte no 1",Rivière des Prairies,,,,441,,-73.699714,45.5482655,289205.6426,5045391.847
81-05302C,6017402,"P.I. Ch. Côte-St-Luc / CP, West Broadway",Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville Montréal - Municipalité,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1967,Prolongement avenue Adalbert,Chemin de la Côte-Saint-Luc Dir. Ouest,66.71,3,2018/09/04 00:00:00,81,,-73.6565405,45.4623845,292558.1779,5035840.365
81-05307A,6029078,Parc Angrignon,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1800,"Parc Angrignon, coin Nord-Est",À l'Ouest du Métro,100,4,2016/05/26 00:00:00,11,,-73.604998,45.4453405,296586.4444,5033939.716
81-05310A,6041969,Parc Angrignon,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1800,"Parc Angrignon, coin Nord-Ouest",Au Sud du stationnement,96.8,4,2016/05/26 00:00:00,18,,-73.60816,45.440354,296338.349,5033385.897
81-05310C,6041981,Parc Angrignon,Actif Ville de Montréal,Pont à dalle pleine en béton armé,99-Inconnu,Pont fermé,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1800,"Parc Angrignon, au Sud du parc",Au Sud du ch. du Parc-Angrignon,61.2,3,2018/05/02 00:00:00,10,,-73.598374,45.440027,297103.8899,5033348.575
81-05462A,6042139,M.S. Sud de la Commune / Esplanade Faubourg Québec,Actif Ville de Montréal,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Ville Montréal - Fédéral,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1995,Esplanade Faubourg Québec,"CFPM, Port de Montréal",100,4,2017/10/02 00:00:00,2474,,-73.548578389067,45.5131986714966,301004.4739,5041476.581
81-05490A,6035469,"Échangeur de la Pointe-Nord, Île-des-soeurs",Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,2008,Sortie aut.15 Sud vers chemin de la Pointe-Nord,Bretelle aut. 10 Est vers le pont Champlain,,,,621,,-73.5442785,45.4694885,301337.7557,5036618.864
81-05491B,6036861,"Échangeur de la Pointe-Nord, Île-des-soeurs",Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,2008,Entrée aut. 15 Nord et aut. 10 Ouest,autoroute 15-20 sortie Chemin de la Pointe-Nord,99.99,4,2018/05/17 00:00:00,692,,-73.541286,45.471029,301571.8345,5036789.935
81-05497B,5070483,P.S. Gouin / Aut. 19 - Prolongement de Papineau,Actif Ville de Montréal,Pont à poutres en acier,18-CL625,Aucun affichage,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2009,Boulevard Gouin Est,"Avenue Papineau, Aut. 19 Sud",100,4,2018/09/11 00:00:00,451,,-73.6602809948649,45.5709532993576,292289.7433,5047906.274
81-05503B,6036870,P.S. Hochelaga / Aut. 25,Actif Ville de Montréal,Pont à poutres en acier,98-Autre,Aucun affichage,Ville de Montréal,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,2010,Piste cyclable rue Hochelaga vers Souligny Est,Bretelle autoroute 25  Sud vers Souligny Ouest,100,4,2017/10/13 00:00:00,150,,-73.5258685454175,45.588147636645,302781.5237,5049804.944
81-05512A,6036913,P.I. Montée de Liesse / Aut. 520,Actif Ville de Montréal,Portique en béton armé,18-CL625,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2013,Chemin de la Côte-de-Liesse Dir. Est,Montée de Liesse,100,4,2017/10/17 00:00:00,226,,-73.702852114031,45.4770759576433,288940.6256,5037481.12
81-05512B,6036919,P.I. Montée de Liesse / Aut. 520,Actif Ville de Montréal,Portique en béton armé,18-CL625,Aucun affichage,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,2013,Chemin de la Côte-de-Liesse Dir. Ouest,Montée de Liesse,100,4,2017/10/17 00:00:00,226,,-73.7031801441305,45.4772777093668,288915.0362,5037503.606
81-03516,6007841,,Actif Ville de Montréal,Mur,,,Ville de Montréal,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1800,boulevard Saint-Joseph,,38.6,2,2018/05/24 00:00:00,,615,-73.6748492873658,45.431568238689,291118.942,5032418.724
81-05084F,6009835,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1957,boulevard Crémazie Ouest,,30.5,2,2017/10/19 00:00:00,,281,-73.645598,45.535929,293428.7195,5044011.787
81-05084G,6009838,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1957,"Boulevard Crémazie Ouest, dir. Est, côté Sud-Est",,43.29,3,2017/10/19 00:00:00,,345,-73.6450057222195,45.535848009579,293474.9605,5044002.703
81-05187A,6041810,"P.I. Jean-Talon / CP, Est de du Parc",Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1930,"Rue Jean-Talon Ouest, côté Sud",,37.12,2,2017/08/08 00:00:00,,236,-73.621756,45.530668,295289.9055,5043424.026
81-05187B,6041829,"P.I. Jean-Talon / CP, Est de du Parc",Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1930,"Rue Jean-Talon Ouest, côté Nord",,45.35,3,2017/08/08 00:00:00,,227,-73.6220305,45.530749,295268.4786,5043433.06
81-05187D,6041843,"P.I. Jean-Talon / CP, Est de du Parc",Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1930,"Rue Jean-Talon Ouest, côté Nord",,48.97,3,2017/08/08 00:00:00,,229,-73.621331,45.531554,295323.2502,5043522.438
81-05187E,6041848,"P.I. Jean-Talon / CP, Est de du Parc",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1930,"Rue Jean-Talon Ouest, côté Sud",,53.47,3,2017/08/08 00:00:00,,217,-73.6210625,45.531477,295344.2089,5043513.849
81-05195D,6030297,"P.I. Du Parc / CP, entre Beaubien et Van Horne",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1914,Avenue du Parc,,,,,,181,-73.611831,45.526579,296064.4926,5042968.484
81-05302A,6008683,"P.I. Ch. Côte-St-Luc / CP, West Broadway",Actif Ville de Montréal,Mur,,,Ville Montréal - Municipalité,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1967,Chemin de la Côte-Saint-Luc,,,,,,251,-73.6569275,45.462053,292527.8417,5035803.584
81-05314,6009272,,Actif Ville de Montréal,Mur,,,Ville de Montréal,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1992,Avenue Wilderton,,73.46,3,2015/08/05 00:00:00,,60,-73.6254635170914,45.5108125243889,294996.872,5041217.916
81-05317A,6061103,M.S. Canal Aqueduc / Entre LaSalle et Crawford,Actif Ville de Montréal,Mur,,,Ville de Montréal,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1915,"Canal de l'Aqueduc, côté Sud",,54.52,3,2016/09/27 00:00:00,,4158,-73.611159,45.4281955,296101.8615,5032035.053
81-05317B,6057314,M.S. Canal Aqueduc / Entre LaSalle et Crawford,Actif Ville de Montréal,Mur,,,Ville de Montréal,18 - Arrondissement LaSalle,Inspections annuelle et générale par la Ville Montréal,1915,"Canal de l'Aqueduc, côté Nord",,66.69,3,2016/07/25 00:00:00,,4944,-73.6119319802012,45.4283704017868,296041.4032,5032054.574
81-05380,6029548,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,47.97,3,2017/06/07 00:00:00,,145,-73.6277785,45.580368,294828.2952,5048947.993
81-05382,6029580,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,61.14,3,2017/06/08 00:00:00,,224,-73.6256295,45.579395,294995.8317,5048839.597
81-05384,6029612,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,57.62,3,2017/06/08 00:00:00,,206,-73.6233485,45.578344,295173.6621,5048722.521
