IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Type structure,Année de construction,Superficie du tablier,Superficie du mur,Charg conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp Générale Fermee,X,Y,latitude,longitude
6011754,81-03113A,Virage en U au Sud du CN,"Boul. Décarie, direction Nord",P.I. Décarie / CN,15 - Arrondissement Saint-Laurent,Pont à dalle pleine en béton armé,1962,255,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,17",4,2015-09-24,"291459,497792388","5040802,24315024","45,5070134405671","-73,6707244626609"
6011761,81-03115,Virage en U au Sud du CN,"Boul. Marcel Laurin, direction Nord",,15 - Arrondissement Saint-Laurent,Pont à dalle pleine en béton armé,1966,505,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"70,91",3,2015-10-26,"291379,541279516","5040377,58995084","45,5031907130831","-73,6717360786359"
6048970,81-03119,CN,Côte-Vertu,,15 - Arrondissement Saint-Laurent,Pont à dalle pleine en béton armé,1962,461,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien National,Inspections annuelle et générale par la Ville Montréal,"99,59",4,2015-09-25,"291399,020535717","5042759,04609258","45,5246203174585","-73,671551907799"
6030288,81-03120A,Boulevard Henri-Bourassa Ouest,,"P.I. Henri-Bourassa Ouest / CN, ouest de l'aut. 15",15 - Arrondissement Saint-Laurent,Mur,1977,,597,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-07-25,"290164,498011297","5043182,25162036","45,5284036401131","-73,6873681412376"
6029396,81-03120B,Henri-Bourassa Ouest,,,15 - Arrondissement Saint-Laurent,Mur,1977,,280,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,29",4,2016-07-27,"290124,946504459","5043206,9990189","45,5286254940073","-73,6878752302429"
6041613,81-03120C,"CN, Ouest de l'aut. 15",Henri-Bourassa Ouest dir Est,,15 - Arrondissement Saint-Laurent,Pont à dalle pleine en béton armé,1977,1125,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-07-27,"290218,264060361","5043222,26123829","45,5287647872776","-73,6866810065598"
6029398,81-03120D,"Henri-Bourassa Ouest,",,,15 - Arrondissement Saint-Laurent,Mur,1977,,610,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-07-27,"290270,067480143","5043264,30821258","45,5291442222145","-73,686019049876"
6029400,81-03120E,Henri-Bourassa Ouest,,,15 - Arrondissement Saint-Laurent,Mur,1977,,336,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016-07-28,"290305,731086329","5043245,63555152","45,5289769418187","-73,6855619174926"
6021260,81-03123,Virage en U au Nord du CN,"Boul. Marcel Laurin, direction Nord",,15 - Arrondissement Saint-Laurent,Pont à dalle pleine en béton armé,1966,363,,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"69,77",3,2015-10-26,"291341,504094871","5040376,29970225","45,5031783701092","-73,6722227871989"
6033743,81-03124,Chemin de fer de Canadien National,Boulevard Lebeau,,15 - Arrondissement Saint-Laurent,Pont à dalle pleine en béton armé,1971,508,,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien National,Inspections annuelle et générale par la Ville Montréal,,,,"291782,473855751","5043151,01852694","45,5281546910104","-73,6666535869001"
