SUB_ID,ORG_ID,ORG_NOM,ORG_TYPE,BEN_TYPE,BEN_NOM,BEN_ADRESSE,BEN_ADRESSE2,BEN_MUNICIPALITE,BEN_CODE_POSTAL,BEN_RADM,SUB_NOM,SUB_VOLET,SUB_SOUS-VOLET,SUB_DATE,SUB_TYPE,SUB_DESCRIPTION,SUB_DOMAINE,SUB_SOUS-DOMAINE,SUB_VALEUR
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,9401-1863 Québec inc. (Les films maintenant et plus tard),"6611, rue Saint-Denis",,Montréal,H2S2S1,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Commerce de l'Outer Space,Cinéma et production télévisuelle,Scénarisation,18 735
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Films Extérieur Jour inc.,"4112, rue Saint-Dominique",bureau 301,Montréal,H2W2A8,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,La promesse des terres brûlées,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Productions Club Vidéo inc.,"5000, rue d'Iberville",bureau 316,Montréal,H2H2S6,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Caller malade,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Colonelle Films inc.,"7255, rue Alexandra",bureau 203,Montréal,H2R2Y9,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,The Hive,Cinéma et production télévisuelle,Scénarisation,6 300
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Productions Romeo & Fils inc.,"160, rue Saint-Viateur Est",bureau 509,Montréal,H2T1A8,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Étrangers,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Atelier Pimiento Productions inc.,"90, rue Beaubien Ouest",local 501-A,Montréal,H2S1V6,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,La chèvre de monsieur Séguin,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,La 115e inc.,"5333, avenue Casgrain",bureau 906,Montréal,H2T1X3,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,La fille du manguier,Cinéma et production télévisuelle,Scénarisation,25 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Ema Films inc.,"8879, rue Verville",,Montréal,H2N1Y1,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Palace Playland,Cinéma et production télévisuelle,Scénarisation,14 700
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Les Films Cosmos inc.,"6465, rue Durocher",bureau 308,Montréal,H2V3Z1,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Love Letters,Cinéma et production télévisuelle,Scénarisation,15 000
SUB_SODEC_ACE,539.00,SODEC,Public,Entreprise,Vlimeuses Productions inc.,"7255, rue Alexandra",bureau 203,Montréal,H2R2Y9,Montréal,Aide à la création émergente 2023,Développement 2023,,2022-09-02,Subvention,Le goût de tes écailles,Cinéma et production télévisuelle,Scénarisation,6 300
