annee,reg_n,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,pression_moy,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2018,Bas-Saint-Laurent,11005,Saint-Clément,M,-69.0948270090422,47.9225243395,1.5,1.9,2.1,6.0,3,2,35,0,0.00,2.323
2018,Bas-Saint-Laurent,11010,Saint-Jean-de-Dieu,M,-69.0222371959349,47.9953347165,1.4,1.9,2.8,6.0,12,9,32,0,28.00,10.688
2018,Bas-Saint-Laurent,11015,Sainte-Rita,M,-68.8770192984167,47.948467865,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,11020,Saint-Guy,M,-68.759589765354,48.039768669,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,11025,Saint-Médard,M,-68.8685098923758,48.0749832735,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,11030,Sainte-Françoise,P,-69.0439332223529,48.0750518975,0.7,1.9,2.1,6.0,1,2,40,1,0.00,2.480
2018,Bas-Saint-Laurent,11035,Saint-Éloi,P,-69.2028627754527,48.0324274625,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,11040,Trois-Pistoles,V,-69.1713460459229,48.128581282,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,11045,Notre-Dame-des-Neiges,M,-69.1146803820148,48.111276015,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,11050,Saint-Mathieu-de-Rioux,P,-68.9637609153668,48.1686409405,1.9,1.9,2.1,6.0,5,3,33,0,0.00,3.990
2018,Bas-Saint-Laurent,11055,Saint-Simon,P,-69.0150806551298,48.211661492,1.0,1.9,2.1,6.0,3,3,46,2,0.00,3.642
2018,Bas-Saint-Laurent,12005,Saint-Cyprien,M,-68.9708688206999,47.8755122965,0.0,1.9,2.1,6.0,4,5,24,0,0.00,10.739
2018,Bas-Saint-Laurent,12010,Saint-Hubert-de-Rivière-du-Loup,M,-69.1651812838482,47.7826564905,2.3,1.9,2.1,6.0,23,10,42,4,192.00,10.500
2018,Bas-Saint-Laurent,12015,Saint-Antonin,M,-69.4275172052721,47.7353008355,1.4,1.9,2.8,6.0,45,32,53,3,51.00,20.904
2018,Bas-Saint-Laurent,12020,Saint-Modeste,M,-69.3794756402672,47.813896693,0.7,1.9,2.1,6.0,3,4,33,1,0.00,6.953
2018,Bas-Saint-Laurent,12025,Saint-François-Xavier-de-Viger,M,-69.2465604819307,47.833514908,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,12030,Saint-Épiphane,M,-69.3056473220456,47.8986483005,0.9,1.9,2.1,6.0,5,6,46,0,0.00,5.057
2018,Bas-Saint-Laurent,12035,Saint-Paul-de-la-Croix,P,-69.1947112812953,47.9469460065,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,12043,L'Isle-Verte,M,-69.3195696045295,48.0514592455,0.8,1.9,2.1,6.0,12,15,57,4,0.00,12.795
2018,Bas-Saint-Laurent,12045,Notre-Dame-des-Sept-Douleurs,P,-69.4695454124961,48.0460733915,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,12057,Cacouna,M,-69.5276547980902,47.9436816415,1.6,1.9,2.8,6.0,40,25,60,0,0.00,18.787
2018,Bas-Saint-Laurent,12065,Saint-Arsène,P,-69.4047660880454,47.911877438,2.5,1.9,2.1,6.0,15,6,40,0,0.00,7.730
2018,Bas-Saint-Laurent,12072,Rivière-du-Loup,V,-69.5370601521055,47.8423430355,1.0,1.9,3.5,6.0,170,169,49,10,56.00,133.510
2018,Bas-Saint-Laurent,12080,Notre-Dame-du-Portage,M,-69.6441552304303,47.779594488,0.4,1.9,2.1,6.0,2,5,63,0,100.00,3.715
2018,Bas-Saint-Laurent,13005,Dégelis,V,-68.5147818821977,47.6279551235,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,13010,Saint-Jean-de-la-Lande,M,-68.6724387577517,47.4313935985,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,13015,Packington,P,-68.8103545287611,47.4673042015,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,13020,Saint-Marc-du-Lac-Long,P,-68.8788941916713,47.4006740305,1.4,1.9,2.1,6.0,8,5,65,0,0.00,4.156
2018,Bas-Saint-Laurent,13025,Rivière-Bleue,M,-68.9896292069108,47.4128573245,1.4,1.9,2.1,6.0,13,9,46,3,5.00,11.972
2018,Bas-Saint-Laurent,13030,Saint-Eusèbe,P,-68.9095413408945,47.536348812,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,13040,Saint-Juste-du-Lac,M,-68.7378601707235,47.722362047,0.6,1.9,2.1,6.0,2,3,49,0,0.00,4.256
2018,Bas-Saint-Laurent,13045,Auclair,M,-68.663733394171,47.7435525565,2.9,1.9,2.1,6.0,8,3,45,11,0.00,2.735
2018,Bas-Saint-Laurent,13050,Lejeune,M,-68.5452540456987,47.7629167985,1.3,1.9,2.1,6.0,3,3,55,0,0.00,2.773
2018,Bas-Saint-Laurent,13055,Biencourt,M,-68.5697841024372,47.9293821015,1.6,1.9,2.1,6.0,5,3,38,0,0.00,5.505
2018,Bas-Saint-Laurent,13060,Lac-des-Aigles,M,-68.6798156675746,47.992717064,0.9,1.9,2.1,6.0,5,6,60,0,0.00,4.720
2018,Bas-Saint-Laurent,13065,Saint-Michel-du-Squatec,M,-68.7911765423518,47.8228945655,2.6,1.9,2.1,6.0,41,16,74,9,0.00,12.097
2018,Bas-Saint-Laurent,13073,Témiscouata-sur-le-Lac,V,-68.8778153666409,47.6729160935,5.2,1.9,2.8,6.0,340,65,60,4,100.00,46.807
2018,Bas-Saint-Laurent,13075,Saint-Pierre-de-Lamy,M,-68.9870056345583,47.7843129895,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,13080,Saint-Louis-du-Ha! Ha!,P,-69.0051398034962,47.663888349,,1.9,,6.0,,,,,,
2018,Bas-Saint-Laurent,13085,Saint-Elzéar-de-Témiscouata,M,-69.0637879409396,47.567338887,,1.9,,6.0,,,,,,
