Instance,Type_assemblee,Publique,Diffusion_web,Date,Heure,Endroit,Salle,Rue,No_civique
Commission sur les transports et les travaux publics,Consultation publique,Oui,Non,2014-11-05,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-06,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-06,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-11-06,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-07,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-07,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-11-11,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-11-12,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-11-12,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2014-11-13,9:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2014-11-14,1:30:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2014-11-18,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-11-19,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le schéma d’aménagement et de développement de Montréal,Consultation publique,Oui,Non,2014-11-20,7:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2014-11-24,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,Non,2014-11-26,7:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-11-26,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2014-11-26,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2014-11-27,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-11-27,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-28,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-28,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-28,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-11-28,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-01,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-01,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-01,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-02,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-02,8:30:00 AM,Édifice Lucien-Saulnier,Salle 202,Notre-Dame est,155
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-02,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-12-03,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-03,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission de la sécurité publique,Consultation publique,Oui,Non,2014-12-03,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-03,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur la sécurité publique,Consultation publique,Oui,Non,2014-12-03,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-04,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-04,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-04,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-05,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-05,8:30:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-08,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur la sécurité publique,Consultation publique,Oui,Non,2014-12-08,9:00:00 AM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur les finances et l'administration,Consultation publique,Oui,Non,2014-12-08,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-12-10,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2014-12-10,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2014-12-12,1:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Non,2014-12-15,2:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2014-12-17,8:30:00 AM,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2014-12-18,5:00:00 PM,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-01-07,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-01-14,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Extraordinaire,Oui,Non,2015-01-19,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil d'agglomération,Extraordinaire,Oui,Non,2015-01-19,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-01-20,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-01-21,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-01-21,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-01-22,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-01-26,14:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-01-28,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-01-29,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-02-04,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-02-11,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement social et la diversité montréalaise,Consultation publique,Oui,Non,2015-02-17,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-02-18,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-02-23,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-02-25,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-02-26,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-03-04,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-03-11,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Commission sur le développement économique et urbain et l'habitation,Consultation publique,Oui,Non,2015-03-12,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-03-18,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-03-23,08:00:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-03-23,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-03-25,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-03-26,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
"Commission sur l'eau, l'environnement, le développement durable et les grands parcs",Consultation publique,Oui,Non,2015-03-31,19:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-04-01,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-04-08,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-04-15,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-04-22,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Comité exécutif ,Extraordinaire,Non,,2015-04-23,11:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil municipal,Régulière,Oui,Oui,2015-04-27,13:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-04-29,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
Conseil d'agglomération,Régulière,Oui,Non,2015-04-30,17:00:00,Hôtel de ville ,Salle du conseil,Notre-Dame est,275
Comité exécutif ,Régulière,Non,Oui,2015-05-06,08:30:00,Hôtel de ville ,Salle Peter-McGill,Notre-Dame est,275
