quest,q2b,q2c,q33,q4,q4a,q4c,q4d,q4e,q4f,q4g,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q9h,q9i,q9j,q10,q11,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q13a,q13b,q13c,q13d,q14,q15,q16,q17b,q17a,q18,q19a,q19b,q19c,q19d,q19e,q19f,q20,q21_m1,q21_m2,q21_m3,q21_m4,q21_m5,q21_m6,q21_m7,q21_m8,q21_m9,q21_m10,q22,q24,q25_m1,q25_m2,q25_m3,q25_m4,q25_m5,q26,q27_m1,q27_m2,q27_m3,q28,q29a,q29b,q29c,q29d,q29e,q29f,q29g,q29h,q30,q31,q34,q35,q36,q36b,q36c,q37,pondm 
4592,H2E,"1,00","5,00","1,00","1,00","3,00","3,00","4,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","2,00","4,00","3,00","4,00","2,00","2,00","2,00","2,00","3,00","1,00","1,00","3,00","3,00","2,00","2,00","1,00","1,00","3,00","2,00","3,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","9,00","2,00","3,00","3,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","15,00","14,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","5,00",,,,,"5,00","3,00",,,"1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","2,00","1,00","3,00","1,00","4,00","1,00","1,00","2,00","1,07"
4594,H2S,"19,00","9,00","1,00","1,00","1,00","1,00","2,00","1,00","4,00","2,00","2,00","1,00","2,00","2,00","1,00","2,00","3,00","3,00","3,00","2,00","2,00","3,00","2,00","2,00","3,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","1,00","3,00","4,00","2,00","3,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","3,00","2,00","2,00","2,00","1,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","1,00",,,,,"1,00","1,00",,,"1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","2,00","3,00","8,00","2,00","1,20"
4596,H8S,"14,00","5,00","1,00","4,00","1,00","1,00","1,00","1,00","4,00","3,00","1,00","4,00","4,00","4,00","4,00","1,00","4,00","4,00","4,00","1,00","1,00","4,00","4,00","1,00","4,00","1,00","4,00","4,00","1,00","4,00","1,00","4,00","4,00","4,00","1,00","1,00","1,00","1,00","4,00","2,00","1,00","9,00","1,00","1,00","1,00","1,00","36,00","4,00","4,00","1,00","4,00","2,00","2,00","1,00","3,00","4,00","4,00","4,00","4,00","4,00","4,00","4,00","24,00","41,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","18,00",,,,,"18,00","2,00",,,"4,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","3,00","2,00","3,00","3,00","1,00","4,00","1,00","1,00","2,00","1,16"
4601,H2E,"4,00","5,00","1,00","2,00","3,00","2,00","2,00","2,00","3,00","4,00","4,00","4,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","3,00","2,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","99,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","4,00","10,00","1,00","1,00","2,00","3,00","3,00","2,00","2,00","2,00",,,,,,,,,,,,"1,00","4,00",,,,,"4,00","1,00",,,"1,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","3,00","2,00","2,00","0,37"
4606,H1C,"19,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","3,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","2,00","98,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","2,00","1,00","7,00","2,00","1,20"
4607,H4E,"13,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","99,00","6,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"99,00","1,00","9,00","1,00","99,00","1,00","1,30"
4608,H4E,"7,00","6,00","1,00","2,00","2,00","3,00","3,00","1,00","1,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","4,00","3,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","3,00","9,00","2,00","9,00","9,00","9,00","2,00","2,00","4,00","3,00","9,00","9,00","9,00","2,00","98,00","3,00","2,00","2,00","2,00","2,00","9,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","1,00","3,00","3,00","1,00","1,00","0,83"
4630,H8T,"5,00","6,00","1,00","1,00","1,00","4,00","1,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","3,00","1,00","1,00","2,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","4,00","9,00","9,00","1,00","1,00","1,00","1,00","1,00","9,00","9,00","2,00","98,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","2,00","1,00","1,00","9,00","2,00","2,00","2,00","24,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","1,00","3,00","1,00","2,00","0,50"
4645,A9A,"4,00","5,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","9,00","9,00","9,00","9,00","9,00","9,00","9,00","4,00","4,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","9,00","2,00","2,00","98,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","2,00","2,00","2,00","14,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","3,00","3,00","1,00","2,00","0,37"
4647,H1G,"16,00","6,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","1,00","2,00","2,00","1,00","9,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","9,00","1,00","1,00","9,00","9,00","1,00","9,00","1,00","1,00","3,00","1,00","1,00","9,00","1,00","1,00","9,00","9,00","1,00","9,00","1,00","2,00","98,00","1,00","9,00","9,00","9,00","2,00","9,00","1,00","1,00","1,00","2,00","1,00","9,00","1,00","1,00","2,00","34,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"3,00","2,00","1,00","3,00","1,00","2,00","0,43"
4653,H2M,"10,00","6,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","3,00","4,00","3,00","2,00","1,00","3,00","3,00","3,00","3,00","3,00","1,00","9,00","3,00","4,00","9,00","3,00","3,00","3,00","3,00","3,00","1,00","9,00","9,00","3,00","2,00","3,00","1,00","2,00","2,00","2,00","3,00","1,00","2,00","3,00","9,00","9,00","4,00","12,00","2,00","2,00","1,00","3,00","9,00","9,00","9,00","1,00","2,00","2,00","2,00","9,00","3,00","2,00","2,00","23,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","1,00","3,00","1,00","2,00","0,43"
4661,H3E,"1,00","6,00","1,00","3,00","1,00","1,00","1,00","4,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","4,00","4,00","2,00","2,00","3,00","2,00","3,00","1,00","1,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","24,00","3,00","4,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","3,00","13,00","6,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","3,00","1,00","1,00","2,00","0,96"
4662,H1G,"17,00","3,00","1,00","2,00","2,00","3,00","2,00","2,00","3,00","3,00","2,00","2,00","3,00","3,00","3,00","2,00","3,00","3,00","2,00","2,00","2,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","2,00","2,00","1,00","1,00","2,00","2,00","3,00","2,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","12,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","24,00","42,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","2,00",,,,,"2,00","1,00",,,"2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","4,00","7,00","2,00","2,00","1,52"
4669,H4G,"10,00","5,00","1,00","2,00","2,00","3,00","2,00","2,00","2,00","3,00","3,00","3,00","2,00","3,00","3,00","2,00","3,00","3,00","3,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","12,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","1,00","9,00","8,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","10,00","1,00","7,00",,,"10,00","1,00",,,"1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","1,00","4,00","2,00","1,00","2,00","0,64"
4670,H1T,"17,00","5,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","3,00","2,00","3,00","3,00","3,00","3,00","3,00","4,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","4,00","3,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","52,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","3,00","3,00","2,00","5,00","3,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","4,00","1,00","1,00","1,00","1,03"
4675,H1R,"14,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","3,00","4,00","1,00","3,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","9,00","2,00","2,00","2,00","2,00","9,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","3,00","23,00","64,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","2,00","4,00","1,00","1,00","1,00","1,64"
4681,H9C,"16,00","4,00","1,00","1,00","1,00","1,00","4,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","3,00","4,00","1,00","1,00","3,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","2,00","5,00","15,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","3,00","1,00","1,00","2,00","0,74"
4689,H9C,"8,00","5,00","1,00","1,00","2,00","2,00","3,00","3,00","2,00","3,00","4,00","4,00","2,00","3,00","3,00","2,00","2,00","3,00","2,00","3,00","3,00","3,00","2,00","2,00","1,00","1,00","2,00","3,00","1,00","1,00","1,00","2,00","2,00","3,00","4,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","9,00","1,00","2,00","2,00","9,00","3,00","2,00","2,00","2,00","2,00","9,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","2,00","2,00","14,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","12,00","22,00",,,,"12,00","1,00",,,"4,00","3,00","2,00","2,00","2,00","2,00","3,00","2,00","4,00","4,00","4,00","2,00","1,00","4,00","1,00","1,00","1,00","0,19"
4696,H9C,"8,00","5,00","1,00","1,00","1,00","2,00","3,00","3,00","1,00","2,00","3,00","3,00","9,00","9,00","9,00","3,00","4,00","4,00","2,00","3,00","4,00","4,00","9,00","4,00","1,00","1,00","2,00","2,00","1,00","2,00","1,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","9,00","2,00","3,00","3,00","1,00","3,00","1,00","1,00","2,00","2,00","2,00","2,00","3,00","2,00","1,00","2,00","7,00","13,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"1,00","1,00","4,00","3,00","2,00","2,00","0,11"
4702,H9C,"8,00","6,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","1,00","1,00","2,00","1,00","2,00","1,00","3,00","1,00","1,00","2,00","2,00","1,00","1,00","1,00","2,00","1,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","21,00","2,00","3,00","3,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","19,00","3,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","1,00","22,00",,,,"22,00","1,00",,,"3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","1,00","1,00","4,00","3,00","1,00","1,00","0,63"
4710,H2W,"8,00","6,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","2,00","1,00","9,00","9,00","9,00","2,00","2,00","2,00","9,00","1,00","1,00","9,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","9,00","2,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","98,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","2,00","1,00","1,00","1,00","9,00","2,00","1,00","1,00","23,00","99,00","1,00","1,00","1,00","1,00","1,00","1,00","3,00","2,00",,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","3,00","3,00","1,00","2,00","0,14"
4715,H2M,"6,00","5,00","1,00","2,00","2,00","3,00","3,00","2,00","3,00","3,00","3,00","3,00","3,00","3,00","3,00","2,00","3,00","3,00","2,00","2,00","3,00","3,00","3,00","3,00","2,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","3,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","98,00","3,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","5,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","2,00","41,00",,,,"41,00","1,00",,,"2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","4,00","1,00","4,00","3,00","1,00","2,00","0,73"
4717,H2J,"1,00","5,00","1,00","1,00","1,00","1,00","2,00","1,00","3,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","1,00","2,00","1,00","2,00","3,00","3,00","2,00","2,00","1,00","2,00","3,00","2,00","3,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","3,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","2,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","8,00","19,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","41,00",,,,,"41,00","1,00",,,"1,00","2,00","1,00","2,00","1,00","1,00","2,00","1,00","1,00","2,00","1,00","3,00","1,00","4,00","7,00","1,00","1,00","1,37"
4722,H9C,"6,00","5,00","1,00","2,00","3,00","1,00","2,00","3,00","4,00","4,00","4,00","3,00","4,00","4,00","4,00","2,00","4,00","4,00","4,00","3,00","3,00","3,00","2,00","3,00","1,00","9,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","1,00","9,00","9,00","2,00","1,00","2,00","2,00","2,00","2,00","9,00","2,00","2,00","27,00","4,00","2,00","3,00","2,00","1,00","2,00","9,00","1,00","3,00","2,00","2,00","3,00","3,00","2,00","2,00","5,00","22,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","10,00",,,,,"10,00","1,00",,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","3,00","1,00","3,00","1,00","1,00","1,00","1,08"
4723,H8S,"8,00","5,00","1,00","2,00","4,00","3,00","2,00","2,00","4,00","2,00","2,00","4,00","3,00","3,00","3,00","2,00","4,00","4,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","3,00","2,00","99,00","2,00","2,00","2,00","1,00","9,00","2,00","2,00","2,00","2,00","3,00","1,00","4,00","3,00","3,00","3,00","23,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","1,00","2,00","5,00","1,00","2,00","0,11"
4729,H1R,"4,00","4,00","1,00","4,00","3,00","1,00","1,00","1,00","1,00","3,00","3,00","3,00","2,00","3,00","3,00","1,00","3,00","3,00","2,00","2,00","2,00","9,00","3,00","9,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","1,00","35,00","2,00","1,00","2,00","9,00","3,00","2,00","2,00","1,00","1,00","1,00","1,00","3,00","2,00","2,00","2,00","99,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","2,00","1,00","1,00","1,00","0,47"
4734,H4N,"16,00","6,00","1,00","3,00","3,00","2,00","9,00","3,00","2,00","2,00","3,00","3,00","2,00","3,00","3,00","1,00","4,00","1,00","2,00","2,00","1,00","3,00","2,00","2,00","1,00","3,00","4,00","4,00","2,00","2,00","2,00","9,00","3,00","3,00","1,00","3,00","2,00","9,00","1,00","1,00","3,00","2,00","9,00","3,00","4,00","3,00","4,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","3,00","3,00","3,00","3,00","4,00","3,00","2,00","3,00","9,00","20,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","26,00",,,,,"26,00","1,00",,,"4,00","4,00","9,00","4,00","4,00","9,00","4,00","4,00","4,00","4,00","4,00","1,00","1,00","3,00","3,00","7,00","2,00","0,43"
4735,H2M,"15,00","4,00","1,00","1,00","1,00","1,00","1,00","1,00","4,00","2,00","4,00","4,00","4,00","1,00","4,00","1,00","1,00","4,00","1,00","2,00","2,00","4,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","2,00","3,00","2,00","2,00","4,00","2,00","2,00","2,00","1,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","4,00","2,00","2,00","1,00","2,00","2,00","9,00","1,00","1,00","2,00","2,00","2,00","4,00","2,00","3,00","2,00","23,00","53,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","2,00","4,00","1,00","9,00","1,00","1,15"
4736,H2L,"1,00","5,00","1,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","4,00","4,00","3,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","12,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","99,00","6,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","2,00","1,00","1,00","2,00","1,07"
4738,H1H,"18,00","3,00","1,00","2,00","2,00","2,00","9,00","1,00","3,00","2,00","2,00","9,00","2,00","2,00","3,00","9,00","3,00","4,00","3,00","2,00","2,00","4,00","3,00","9,00","1,00","1,00","1,00","2,00","2,00","3,00","2,00","9,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","9,00","9,00","2,00","2,00","3,00","2,00","98,00","2,00","3,00","2,00","9,00","2,00","9,00","2,00","2,00","9,00","3,00","9,00","3,00","3,00","3,00","3,00","3,00","7,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","20,00","97,00",,,,"20,00","1,00",,,"4,00","4,00","2,00","2,00","4,00","2,00","4,00","2,00","2,00","4,00","4,00","1,00","2,00","4,00","2,00","1,00","1,00","3,55"
4744,H4S,"10,00","5,00","1,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","3,00","3,00","3,00","3,00","4,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","1,00","1,00","3,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","1,00","1,00","2,00","2,00","2,00","2,00","2,00","9,00","9,00","1,00","1,00","2,00","13,00","3,00","2,00","9,00","2,00","2,00","9,00","1,00","1,00","2,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","4,00","5,00",,,,"4,00","1,00",,,"2,00","2,00","2,00","9,00","2,00","2,00","2,00","9,00","2,00","3,00","2,00","1,00","1,00","4,00","1,00","1,00","2,00","0,64"
4746,H2X,"15,00","4,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","2,00","1,00","1,00","2,00","1,00","4,00","2,00","2,00","2,00","4,00","4,00","2,00","4,00","2,00","1,00","2,00","4,00","1,00","2,00","2,00","2,00","2,00","2,00","1,00","2,00","2,00","2,00","2,00","1,00","2,00","1,00","2,00","1,00","2,00","2,00","13,00","2,00","3,00","4,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","3,00","3,00","2,00","2,00","2,00","5,00","6,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","1,00","2,00",,,,"2,00","1,00",,,"4,00","4,00","1,00","2,00","2,00","1,00","2,00","2,00","2,00","4,00","4,00","1,00","1,00","4,00","1,00","2,00","1,00","1,15"
4747,H3K,"6,00","5,00","1,00","2,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","2,00","2,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","48,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","1,00","1,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","4,00","3,00","1,00","2,00","0,73"
4749,A9A,"7,00","6,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","1,00","3,00","1,00","1,00","3,00","1,00","3,00","3,00","2,00","1,00","2,00","1,00","1,00","9,00","1,00","1,00","1,00","2,00","2,00","1,00","2,00","2,00","1,00","1,00","1,00","9,00","9,00","2,00","1,00","1,00","1,00","1,00","1,00","1,00","9,00","1,00","21,00","2,00","2,00","1,00","2,00","1,00","9,00","9,00","2,00","2,00","9,00","2,00","9,00","2,00","2,00","2,00","99,00","2,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"4,00","2,00","2,00","3,00","1,00","1,00","0,83"
4750,H4E,"7,00","5,00","1,00","1,00","2,00","1,00","9,00","1,00","1,00","4,00","4,00","4,00","4,00","3,00","4,00","2,00","4,00","1,00","4,00","1,00","1,00","2,00","1,00","1,00","4,00","1,00","4,00","2,00","1,00","1,00","1,00","9,00","1,00","2,00","1,00","1,00","9,00","9,00","1,00","1,00","1,00","2,00","1,00","2,00","9,00","2,00","4,00","3,00","2,00","2,00","1,00","1,00","2,00","1,00","1,00","1,00","2,00","2,00","4,00","1,00","2,00","2,00","23,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","1,00","4,00","1,00","97,00","2,00","0,62"
4759,H3S,"7,00","4,00","1,00","2,00","3,00","1,00","1,00","3,00","4,00","2,00","3,00","2,00","3,00","3,00","2,00","3,00","2,00","2,00","3,00","4,00","4,00","3,00","2,00","3,00","4,00","2,00","4,00","9,00","1,00","9,00","4,00","2,00","2,00","2,00","1,00","2,00","9,00","3,00","2,00","1,00","1,00","1,00","2,00","2,00","2,00","2,00","3,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","2,00","3,00","2,00","9,00","3,00","3,00","2,00","17,00","11,00","2,00",,,,,,,,,,,,,,,,,,,"1,00","1,00",,,,,"1,00","1,00",,,"1,00","2,00","1,00","2,00","2,00","1,00","1,00","2,00","1,00","2,00","1,00","4,00","2,00","3,00","1,00","2,00","2,00","0,62"
4777,H4R,"3,00","4,00","1,00","2,00","4,00","1,00","4,00","1,00","4,00","2,00","2,00","3,00","2,00","2,00","3,00","1,00","4,00","4,00","4,00","4,00","3,00","4,00","2,00","2,00","1,00","1,00","4,00","4,00","9,00","1,00","9,00","1,00","2,00","9,00","4,00","1,00","3,00","9,00","4,00","2,00","3,00","2,00","2,00","2,00","9,00","2,00","16,00","2,00","4,00","2,00","2,00","2,00","9,00","2,00","2,00","2,00","2,00","3,00","4,00","3,00","9,00","2,00","14,00","99,00","2,00",,,,,,,,,,,,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,,,,"2,00","1,00","4,00","1,00","97,00","1,00","2,32"
