annee,arrondissement,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1996,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",521,174897.64,28303224
1996,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",250,31914.8,9154498
1996,"LaSalle","CA",1023,282707,1004692
1996,"LaSalle","CO",172,46781,27771222
1996,"LaSalle","TR",122,14007,9611450
1996,"Le Plateau-Mont-Royal","CO",28,31995.03,7297000
1996,"Le Plateau-Mont-Royal","DE",61,3300,
1996,"Le Plateau-Mont-Royal","TR",724,173039.48,31027449
1996,"Le Sud-Ouest","CO",13,34465,12921500
1996,"Le Sud-Ouest","DE",42,3641,
1996,"Le Sud-Ouest","TR",315,93476.55,15808944
1996,"Mercier - Hochelaga-Maisonneuve","CO",37,25815.5,6103080
1996,"Mercier - Hochelaga-Maisonneuve","DE",49,2600,
1996,"Mercier - Hochelaga-Maisonneuve","TR",672,203343.31,36704466
1996,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",187,85266.08,22595975
1996,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",20,4200,
1996,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",472,76816.26,13209462
1996,"Rosemont - La Petite-Patrie","CO",25,21342.56,5497249
1996,"Rosemont - La Petite-Patrie","DE",79,2700,
1996,"Rosemont - La Petite-Patrie","TR",640,173156.14,31579290
1996,"Saint-Laurent","CA",853,69417,32601453
1996,"Saint-Laurent","CO",67,31687,14731000
1996,"Saint-Laurent","DE",19,6882,
1996,"Saint-Laurent","TR",65,22945,20278899
1996,"Verdun","CO",470,35047,13778497
1996,"Verdun","DE",101,2624,
1996,"Ville-Marie","CO",30,59393.01,10006695
1996,"Ville-Marie","DE",31,6500,
1996,"Ville-Marie","TR",969,1296976.58,214187631
1996,"Villeray - Saint-Michel - Parc-Extension","CO",24,175073,32205206
1996,"Villeray - Saint-Michel - Parc-Extension","DE",43,3300,
1996,"Villeray - Saint-Michel - Parc-Extension","TR",507,94561.4,16750866
1997,"Ahuntsic - Cartierville","CO",50,32994.9,8839465
1997,"Ahuntsic - Cartierville","DE",17,3035,
1997,"Ahuntsic - Cartierville","TR",376,170193.17,15870405
1997,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",42,96989,26282000
1997,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",17,3035,
1997,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",462,319930.08,50050111
1997,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",253,38602,11552229
1997,"LaSalle","CA",1121,234802,1933465
1997,"LaSalle","CO",211,58920,28087848
