ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice_PCI,Etat_PCI,Indice_IRI,Etat_IRI
1120021,"Casgrain, avenue","Molière, rue","Jules-Verne, rue",79.67,Villeray-Saint-Michel-Parc-Extension,2022-07-27,15,Très mauvais,7.75,Mauvais
1120020,"Casgrain, avenue","De Castelnau Est, rue","Molière, rue",81.44,Villeray-Saint-Michel-Parc-Extension,2022-07-27,16,Très mauvais,8.81,Très mauvais
1120019,"Casgrain, avenue","Jean-Talon Est, rue","De Castelnau Est, rue",181.3,Villeray-Saint-Michel-Parc-Extension,2022-07-27,14,Très mauvais,5.71,Moyen
1120229,"Saint-Dominique, rue","Faillon Est, rue","Villeray, rue",240.61,Villeray-Saint-Michel-Parc-Extension,2022-07-27,59,Moyen,4.43,Moyen
1120230,"Saint-Dominique, rue","Villeray, rue","Gounod, rue",260.09,Villeray-Saint-Michel-Parc-Extension,2022-07-27,53,Moyen,2.38,Excellent
1120231,"Saint-Dominique, rue","Gounod, rue","Jarry Est, rue",259.99,Villeray-Saint-Michel-Parc-Extension,2022-07-27,31,Mauvais,4.59,Moyen
1110497,"Saint-Dominique, rue","Jarry Est, rue","Guizot Est, rue",265.94,Villeray-Saint-Michel-Parc-Extension,2022-07-27,19,Très mauvais,4.53,Moyen
1110498,"Saint-Dominique, rue","Guizot Est, rue","de Liège Est, rue",258.72,Villeray-Saint-Michel-Parc-Extension,2022-07-27,20,Très mauvais,6.2,Mauvais
1110499,"Saint-Dominique, rue","de Liège Est, rue","Crémazie Est, boulevard",307.87,Villeray-Saint-Michel-Parc-Extension,2022-07-27,27,Mauvais,4.75,Moyen
1040391,"Millen, avenue","Émile-Journault, avenue","Legendre Est, rue",261.09,Ahuntsic-Cartierville,2022-07-27,42,Moyen,6.24,Mauvais
1040392,"Millen, avenue","Legendre Est, rue","Chabanel Est, rue",260.06,Ahuntsic-Cartierville,2022-07-27,60,Moyen,3.15,Bon
1040393,"Millen, avenue","Chabanel Est, rue","de Louvain Est, rue",260.29,Ahuntsic-Cartierville,2022-07-27,58,Moyen,3.14,Bon
1040394,"Millen, avenue","de Louvain Est, rue","Frémont, rue",124.4,Ahuntsic-Cartierville,2022-07-27,92,Excellent,3.31,Bon
1040553,"Frémont, rue","Millen, avenue","De Chateaubriand, avenue",66.34,Ahuntsic-Cartierville,2022-07-27,100,Excellent,2.62,Bon
1040091,"De Chateaubriand, avenue","de Louvain Est, rue","Frémont, rue",123.91,Ahuntsic-Cartierville,2022-07-27,43,Moyen,3.9,Bon
1040090,"De Chateaubriand, avenue","Chabanel Est, rue","de Louvain Est, rue",260.44,Ahuntsic-Cartierville,2022-07-27,61,Bon,3.48,Bon
