caseid,mode,q1a,q1b,q2,age5,q3a,q3b,classc,q4,q4t,q4a,q5,qquot_m1,qquot_m2,qquot_m3,q6,q7,q7t_m1,q7t_m2,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,nbq10,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,nbq11,q12,q13,q14a,q14b,q14c,q14d,q14e,q14f,q14g,q14h,q14i,nbq14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,nbq15,q16,q17,q18,q19,q20,q21,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q22h,q22i,q22j,q22k,q22k_o,nbq22,q23a,q23b,q23c,q25a,q25b,q25c,q25d,q25e,q25f,q26a,q26b,q26c,q26d,q26e,q26f,q26g,q27a,q27b,q27c,q27d,q27e,q27f,nbq27,q28a,q28b,q28c,q28d,q28e,q28f,nbq28,q29,q30,q31,q32,q3132_m1,q3132_m2,q3132_m3,q33,q34,q35,poids
88268,1,1,17,5,4,2,3,3,1,2,,4,2,6,,2,1,2,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,2,4,5,4,4,4,2,2,2,2,2,2,2,2,1,2,1,99,1,4,4,4,1,1,5,3,2,3,1,1,2,1,9,2,2,2,2,2,2,2,2,0,,,,,,,0,1,4,20,1,1,3,,2,1,4,"0,663286328315735"
88269,1,1,2,6,5,2,3,3,1,2,,4,2,6,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,1,3,2,2,2,2,2,2,1,2,2,2,9,,1,5,4,4,4,5,3,5,5,3,3,3,2,3,3,3,2,1,1,9,9,9,2,2,2,2,,,,,0,1,2,,1,1,3,,2,2,7,"1,65609395503998"
88270,2,1,18,6,5,2,3,3,1,2,,4,2,6,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,8,1,1,2,2,2,2,9,9,2,2,1,1,1,2,1,1,1,2,1,1,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,5,4,4,3,5,4,5,4,2,2,2,2,3,3,2,2,1,1,1,1,2,4,,2,1,1,2,,2,1,4,12,2,4,,,2,2,1,"0,38288539648056"
88271,2,1,10,2,1,2,3,3,3,4,4,1,2,7,8,4,2,3,10,2,2,2,2,2,2,2,2,0,2,9,2,2,2,2,2,2,2,0,7,2,,,,,,,,,,,,,,,,,,,,,4,1,2,99,1,2,9,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,4,4,4,4,4,3,3,1,3,3,3,9,1,9,1,1,9,2,3,2,,2,1,,,1,2,4,23,2,4,,,9,2,4,"0,360260814428329"
88272,1,1,19,5,4,2,3,3,1,2,,4,2,6,,3,2,3,10,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,5,4,5,5,4,5,5,3,1,1,1,3,3,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,3,99,1,1,3,,2,2,99,"0,625288069248199"
88273,2,1,5,2,1,2,2,3,3,4,5,1,2,7,10,3,4,5,10,2,1,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,0,4,1,2,4,2,2,2,2,2,2,2,2,2,2,1,1,2,,2,3,3,3,5,4,3,3,5,3,3,3,3,3,3,3,3,2,2,2,1,2,2,1,,,,1,,,1,2,4,23,2,4,,,1,2,2,"0,662838399410248"
88275,1,1,16,6,5,2,3,3,1,2,,4,2,6,,2,5,6,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,5,3,4,5,4,5,4,3,2,3,1,3,3,3,2,1,1,2,1,2,2,3,2,2,,2,,,0,1,4,5,2,4,,,2,1,3,"0,431196570396423"
88276,2,1,14,2,1,2,3,3,2,3,,3,2,3,5,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,1,1,1,1,1,2,5,1,1,2,2,2,2,1,1,1,2,1,4,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,1,1,9,,3,3,4,3,3,4,5,4,3,4,2,2,1,2,3,3,2,2,2,2,1,2,2,1,,,,1,,,1,1,4,3,1,1,3,,2,2,5,"0,75830614566803"
88277,2,1,18,2,1,2,3,3,1,2,,3,2,3,5,2,5,6,11,2,2,2,2,2,2,2,2,0,2,2,2,2,1,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,4,4,4,4,5,4,1,3,2,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,2,3,4,2,4,,,2,2,5,"0,55384224653244"
88282,1,1,19,4,3,2,3,3,1,2,,4,2,6,,1,,1,11,2,2,2,2,2,2,9,2,0,2,2,2,2,1,1,2,2,2,2,1,1,2,2,9,9,2,2,2,2,2,0,1,1,1,1,9,2,9,2,1,2,2,4,3,2,3,2,9,1,2,2,2,2,2,2,9,2,2,,1,3,3,2,3,4,3,4,4,4,3,3,3,2,3,3,3,2,2,2,1,1,9,2,,,,2,2,,0,2,4,1,1,1,2,3,1,98,3,"0,943036675453186"
88283,2,1,19,5,4,2,3,3,1,2,,4,2,6,,1,,1,11,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,3,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,3,9,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,,,,,,,0,1,2,,1,1,3,,2,2,3,"7,02741050720215"
88284,2,1,6,3,2,2,3,3,1,2,,2,2,6,,3,2,3,10,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,3,3,4,3,5,5,3,4,3,3,1,2,3,3,2,1,1,1,2,1,1,5,2,2,2,,2,2,0,1,4,1,1,1,2,3,2,2,7,"0,461600989103317"
88285,2,1,14,2,1,1,1,1,,1,,,1,,,3,1,2,11,3,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,2,1,2,2,1,3,2,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,4,5,3,5,4,5,4,1,1,2,2,2,1,2,1,1,1,1,1,2,5,2,1,2,1,1,,3,1,4,,,,,,1,1,4,"2,33576226234436"
88286,1,1,16,6,5,2,3,3,1,2,,4,2,6,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,3,4,4,3,4,5,3,2,2,2,2,1,3,1,2,1,2,2,1,1,3,,2,,,2,2,0,1,4,1,1,1,2,3,2,2,3,"0,431196570396423"
88287,2,1,14,3,2,2,3,3,1,2,,4,2,6,,1,,1,11,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,99,2,2,2,2,2,2,2,2,2,2,2,,0,3,4,9,5,5,5,5,5,4,3,3,1,3,3,3,2,1,1,2,2,2,2,2,2,2,,,,,0,2,4,16,2,4,,,2,2,99,"0,454683870077133"
88288,1,1,14,4,3,2,3,3,1,2,,4,2,6,,1,,1,11,1,2,1,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,0,3,1,2,2,2,2,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,0,3,4,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,,1,1,3,3,5,5,5,5,5,5,2,3,3,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,2,,1,1,3,,1,2,2,"4,22542428970337"
88290,2,1,13,6,5,2,3,3,1,2,,4,2,6,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,3,1,2,1,2,,2,2,4,"0,398747354745865"
88292,1,1,16,3,2,2,3,3,1,2,,4,2,6,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,9,2,1,1,1,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,99,2,1,2,2,9,2,2,2,2,9,9,,1,3,3,9,3,4,4,5,3,4,1,2,2,3,3,3,3,1,1,1,1,2,2,4,2,2,2,2,,,0,2,4,2,1,1,3,,1,2,3,"0,811112642288208"
88293,2,1,14,7,5,2,3,3,1,2,,4,2,6,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,1,9,2,2,2,2,1,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,9,,1,5,5,2,5,5,5,5,9,5,3,2,2,2,1,3,3,2,2,2,2,2,2,0,,,,,,,0,1,3,4,1,1,3,,2,2,4,"0,238524243235588"
88294,2,1,14,3,2,2,3,3,3,4,4,1,2,7,8,2,1,2,11,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,3,2,1,1,1,2,2,1,2,2,1,2,4,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,,2,5,5,5,4,5,5,4,5,5,2,2,1,3,3,3,3,1,1,1,1,2,1,5,2,2,1,1,,2,2,2,4,10,2,4,,,1,2,3,"0,454683870077133"
88295,2,1,5,6,5,2,3,3,1,2,,4,2,6,,2,1,2,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,3,3,2,2,1,2,2,2,2,2,2,1,2,2,,2,4,4,3,4,4,4,3,3,4,1,3,2,2,3,3,2,1,2,2,1,2,2,2,2,,,2,,,0,1,3,4,1,1,3,,2,2,7,"0,664444506168366"
88296,2,1,9,2,1,2,3,3,1,2,,4,2,6,,3,2,3,10,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,3,3,4,4,3,5,5,4,3,3,2,3,2,3,3,1,1,1,1,2,1,5,2,2,2,2,,2,0,2,4,1,1,1,2,3,1,2,5,"0,293821156024933"
88297,2,1,6,6,5,2,3,3,1,2,,4,2,6,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,9,3,4,2,2,3,2,2,1,1,1,2,2,2,2,1,2,2,,4,4,4,4,4,4,4,4,5,4,1,2,1,2,1,3,1,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,2,,1,1,3,,1,2,2,"1,54184412956238"
88298,2,1,14,3,2,2,3,3,2,3,,3,2,3,5,2,1,2,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,5,3,5,4,5,4,2,3,2,2,3,3,2,1,1,1,1,1,2,5,2,2,2,2,2,,0,1,4,4,2,4,,,1,1,6,"0,628076255321503"
88299,2,1,11,2,1,2,3,3,1,2,,4,2,6,,3,2,3,10,2,1,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,3,3,99,99,99,1,2,2,2,2,9,2,2,2,2,2,2,,0,5,5,5,9,4,4,5,5,9,3,9,3,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,4,99,1,1,3,,2,2,99,"0,437703430652618"
88300,1,1,15,7,5,2,3,3,1,2,,4,2,6,,1,,1,11,3,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,3,9,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,1,,,2,,,,0,1,4,23,1,1,3,,1,2,2,"0,47519451379776"
88301,1,1,14,2,1,2,3,3,1,2,,3,2,3,5,1,,1,11,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,4,6,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,9,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,,6,4,4,4,4,5,2,5,5,3,2,3,1,3,2,3,3,2,2,1,1,2,2,2,,,2,2,,,0,2,4,1,1,1,2,3,2,1,1,"0,354314535856247"
88303,1,1,13,5,4,2,3,3,1,2,,4,2,6,,2,1,2,11,1,1,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,2,4,2,1,3,2,2,1,2,2,2,2,2,2,1,1,2,,3,3,3,3,3,5,4,5,3,3,2,3,2,3,2,3,3,2,2,2,2,2,2,0,,,,,,,0,1,4,4,2,4,,,2,2,3,"0,762101352214813"
88304,2,1,18,1,1,2,3,3,2,3,,3,2,3,5,1,,1,11,0,2,2,2,2,1,1,1,3,1,2,2,1,1,1,1,2,2,5,1,1,1,2,1,1,1,1,1,2,1,7,2,2,2,2,2,2,2,2,2,9,1,2,3,2,3,3,2,1,1,2,2,2,1,2,1,1,2,,5,1,3,1,4,5,5,5,5,3,3,3,2,3,3,3,3,2,1,1,1,1,2,4,,2,1,2,2,,1,2,4,1,1,1,2,3,1,1,2,"0,561248600482941"
88305,1,1,14,6,5,2,3,3,1,2,,4,2,6,,1,,1,11,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,3,4,3,2,2,2,2,2,1,2,9,2,2,2,2,2,9,,1,4,4,3,9,9,4,4,4,5,3,2,3,2,3,3,3,2,2,2,2,2,2,0,,,,,,,0,2,2,,1,1,3,,1,1,2,"1,40887928009033"
88306,1,1,18,5,4,2,3,3,1,2,,2,2,6,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,9,,0,5,4,3,5,5,5,5,5,4,2,2,3,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,3,1,1,1,2,3,2,1,7,"0,712596595287323"
88307,2,1,14,3,2,2,3,3,1,2,,3,2,3,5,3,2,3,10,2,2,1,1,2,2,1,2,3,2,2,1,9,1,1,1,9,2,4,1,1,2,1,1,2,1,1,1,2,1,6,1,2,1,2,9,1,2,1,2,4,2,2,2,2,3,3,2,2,2,1,2,2,2,2,9,1,1,99,2,2,4,2,5,4,4,4,4,4,2,3,1,3,3,3,2,2,2,1,2,2,2,1,,,2,,,,0,2,3,4,1,1,3,,2,1,6,"0,301321059465408"
88308,2,1,9,3,2,2,3,3,2,3,,1,2,3,4,2,1,2,11,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,0,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,,0,5,4,9,1,4,1,4,5,3,2,2,1,2,3,3,2,2,2,2,2,2,2,0,,,,,,,0,2,3,4,2,4,,,2,2,7,"0,554034173488617"
88309,1,1,3,4,3,2,3,3,1,2,,4,2,6,,3,2,3,10,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,7,1,2,2,2,2,2,2,2,1,2,1,9,9,9,9,9,9,9,9,9,0,4,4,4,3,3,3,2,1,2,1,1,2,2,2,1,1,2,,5,4,3,2,5,5,5,5,5,4,2,1,1,3,3,3,3,2,1,1,1,2,2,3,,2,2,2,,,0,2,4,99,1,1,3,,2,2,1,"0,631904900074005"
88310,1,1,5,2,1,2,3,3,1,2,,4,2,6,,4,4,5,10,2,2,1,2,2,1,9,1,3,2,2,2,2,1,9,1,2,2,2,1,9,,,,,,,,,,,,,,,,,,,,,4,4,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,,4,4,9,4,4,3,4,3,3,4,2,3,2,3,2,3,3,2,2,2,2,2,2,0,,,,,,,0,1,4,1,1,1,2,3,1,2,7,"1,4186075925827"
88311,1,1,5,2,1,2,1,3,1,2,,4,2,6,,3,2,3,10,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,1,4,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,,0,3,4,3,3,4,4,4,3,4,2,3,2,2,3,3,2,2,2,2,1,2,2,1,,,,1,,,1,2,4,99,1,1,3,,1,2,4,"0,662838399410248"
88312,2,1,2,2,1,2,3,3,2,3,,3,2,3,5,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,1,2,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,4,4,4,4,3,2,2,2,2,3,2,3,1,1,1,1,1,1,6,1,1,2,1,1,2,4,1,4,1,1,1,2,3,1,2,2,"0,836627840995789"
88313,2,1,10,5,4,2,3,3,3,4,3,1,2,7,9,1,,1,11,0,2,1,2,9,1,2,2,2,2,2,2,1,1,2,2,2,2,2,6,1,2,2,1,2,1,2,1,2,1,4,2,2,1,1,1,2,2,2,2,6,2,1,3,1,4,3,2,1,2,2,2,2,2,2,2,2,2,,1,5,5,5,5,2,5,1,3,3,9,3,3,3,3,3,3,2,9,2,2,2,2,0,,,,,,,0,1,4,21,2,4,,,2,2,1,"0,69021075963974"
88314,1,1,11,1,1,2,1,3,1,2,,4,2,6,,3,4,5,10,2,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,9,9,1,1,1,1,0,3,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,9,4,4,3,3,4,3,3,4,3,3,3,2,3,3,3,1,1,1,1,9,1,5,1,9,1,9,,1,3,2,3,1,1,1,2,3,1,2,99,"0,201816067099571"
88315,1,1,11,3,2,2,3,3,1,2,,2,2,6,,5,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,6,2,2,2,2,3,3,1,1,2,2,2,2,2,2,1,1,2,,4,4,1,3,4,4,5,5,4,4,2,3,1,3,2,3,3,2,2,2,2,2,2,0,,,,,,,0,1,4,4,1,1,3,,2,2,7,"0,362532615661621"
88316,2,1,7,4,3,2,3,3,1,2,,2,2,6,,3,2,3,10,2,2,9,2,2,2,2,1,1,2,1,2,9,2,2,1,2,2,2,7,2,,,,,,,,,,,,,,,,,,,,,4,2,3,2,4,3,2,2,2,2,2,2,2,2,1,9,2,,1,9,9,9,5,5,5,4,5,4,2,3,1,3,3,3,3,2,2,1,2,2,2,1,,,1,,,,1,2,4,11,2,4,,,2,2,5,"0,40513151884079"
88317,2,1,17,3,2,2,3,3,1,2,,3,2,3,5,2,1,2,11,4,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,3,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,3,4,3,5,5,3,4,2,2,1,2,3,3,3,2,1,1,2,2,2,2,,2,2,,,,0,1,4,19,2,4,,,2,2,7,"0,913825750350952"
88318,1,1,14,4,3,1,1,1,,1,,,1,,,2,1,2,11,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,0,2,1,1,1,9,1,1,1,2,2,3,4,3,2,2,99,2,2,2,2,2,2,2,2,2,2,2,,0,3,3,2,4,2,1,3,5,4,3,2,1,3,3,3,3,1,1,1,1,1,2,5,2,2,2,2,2,,0,2,4,,,,,,2,2,7,"0,697533965110779"
88319,2,1,17,3,2,2,3,3,1,2,,4,2,6,,2,1,2,11,2,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,9,2,2,2,6,3,4,1,2,4,2,2,1,2,2,2,2,2,2,1,2,2,,2,4,4,4,5,4,4,4,5,4,3,3,1,3,3,3,2,2,1,1,1,2,2,3,,2,2,1,,,1,1,4,4,1,1,3,,2,1,3,"0,913825750350952"
88320,1,1,2,6,5,2,3,3,1,2,,4,2,6,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,2,4,3,3,2,2,2,1,1,2,2,2,2,2,2,2,2,,2,3,3,3,3,4,3,4,4,2,2,2,3,2,2,3,2,2,2,2,2,2,2,0,,,,,,,0,1,4,1,1,1,2,3,1,2,5,"0,266680896282196"
88323,1,1,13,3,2,2,2,3,1,2,,4,2,6,,3,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,2,2,2,1,1,5,2,2,2,2,2,1,1,1,1,5,3,4,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,,6,2,4,3,4,4,4,3,3,4,2,3,1,2,3,3,2,2,1,1,1,2,2,3,,2,2,1,,,1,2,3,23,1,1,3,,2,2,3,"0,503726303577423"
88324,2,1,6,1,1,2,3,3,2,3,,3,2,3,5,1,,1,11,1,2,1,2,2,2,1,1,3,2,2,2,2,1,1,1,1,2,4,1,1,2,2,2,1,1,1,1,1,2,5,1,1,1,2,2,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,3,9,5,5,1,5,5,1,2,3,2,2,3,2,2,2,2,2,2,2,2,0,,,,,,,0,2,3,1,1,1,2,3,2,2,2,"0,382633119821548"
88326,1,1,15,3,2,2,3,3,1,2,,4,2,6,,3,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,9,2,0,1,1,1,1,1,1,1,1,1,0,3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,3,4,3,3,1,3,5,1,3,2,2,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,2,4,1,1,1,2,3,2,2,7,"0,600299835205078"
88327,1,1,17,3,2,2,3,3,1,2,,3,2,3,5,2,1,2,11,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,6,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,9,9,1,9,0,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,3,4,5,4,4,1,2,2,3,3,3,3,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,1,1,1,2,3,2,99,99,"0,661549210548401"
88328,2,1,12,6,5,2,3,3,1,2,,4,2,6,,2,1,2,11,2,2,2,2,2,2,2,2,0,2,2,2,1,1,1,1,2,2,4,1,1,2,1,1,2,2,2,1,2,2,3,1,1,1,2,2,1,2,2,2,5,3,4,1,3,2,2,2,2,2,1,2,2,1,2,1,2,2,,3,2,2,2,2,5,5,1,2,2,1,2,2,2,2,3,3,1,1,1,1,2,2,4,1,1,2,1,,,3,1,4,1,1,1,2,3,1,2,3,"0,392505198717117"
88329,1,1,18,7,5,2,3,3,2,3,,4,2,6,,1,,1,11,1,2,2,2,2,2,2,2,0,2,1,2,2,2,1,1,2,2,3,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,1,9,9,5,3,5,5,5,4,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,,,,,0,2,4,1,2,1,2,,1,2,3,"0,359375894069672"
88330,2,1,10,4,3,2,3,3,1,2,,4,2,6,,4,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,2,4,3,1,3,2,2,2,2,2,1,2,2,2,2,2,2,,1,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,2,1,1,1,5,2,2,,2,2,2,0,1,4,2,1,1,3,,1,2,4,"0,69183611869812"
88331,2,1,10,2,1,2,3,3,3,4,1,1,2,7,10,5,2,3,10,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,5,7,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0,3,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,,1,5,5,5,4,5,5,4,5,5,1,3,1,3,3,3,3,1,1,2,1,2,1,4,1,1,,1,,2,3,2,4,18,1,1,3,,2,2,1,"0,360260814428329"
88333,1,1,3,7,5,2,3,3,1,2,,4,2,6,,4,2,3,10,4,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,2,1,2,99,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,4,4,5,3,4,4,2,3,3,2,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,9,,1,1,3,,2,2,99,"2,34342670440674"
88334,1,1,1,7,5,2,3,3,1,2,,4,2,6,,2,97,8,,2,1,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,4,4,3,2,4,99,2,1,2,2,2,2,1,2,1,2,2,,3,5,4,5,5,5,5,5,5,5,2,2,2,2,3,3,2,1,1,1,1,2,1,5,2,2,2,2,,2,0,2,3,1,1,1,2,3,2,2,3,"0,49577134847641"
88336,2,1,11,2,1,2,3,3,3,4,3,2,2,7,9,3,2,3,10,2,2,1,1,2,9,2,2,2,2,2,2,2,1,1,2,2,2,2,6,1,2,9,2,2,2,2,2,2,2,0,1,9,1,1,1,9,2,9,2,2,4,1,1,99,99,99,2,2,2,2,2,2,2,2,2,2,2,,0,3,9,9,1,5,3,5,3,1,3,3,3,3,3,3,3,1,2,2,2,2,2,1,2,,,,,,0,2,4,1,1,1,2,3,2,2,2,"0,204515725374222"
88337,1,1,6,2,1,2,3,3,1,2,,4,2,6,,2,5,6,11,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,1,4,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,,1,2,2,3,2,4,2,5,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,2,4,1,2,1,2,,1,2,5,"0,387753188610077"
88338,2,1,15,3,2,2,3,3,1,2,,2,2,6,,2,1,2,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,9,3,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,4,4,5,4,4,4,2,1,1,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,1,4,99,1,1,3,,1,1,99,"1,23474454879761"
88340,1,1,6,3,2,2,3,3,1,2,,3,2,3,5,1,,1,11,1,1,,,,,,,,,,,,,,,,,,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,6,3,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,4,3,4,4,5,5,4,3,3,3,2,3,3,3,3,2,2,1,1,2,2,2,,,2,2,,,0,1,4,4,2,4,,,1,1,4,"0,687345206737518"
