Numero_Fournisseur,Cat_Description 
,Quincaillerie \ Accessoire de charpente et de clôture
,"Quincaillerie \ Corde, chaîne et câble"
116834,Informatique et télécommunication \ Concepteur et développeur de systèmes informatiques
116842,Immobilier \ Conseiller en aménagement d'intérieur
116856,Horticulture \ Fourniture horticole
116857,Formation \ Service - Formation en santé et sécurité
,Santé et sécurité \ Conseiller en santé et sécurité
116866,Équipement technique \ Appareil scientifique
116871,Outil \ Location - Outil électrique
,Entrepreneurs spécialisés \ 9.0 - Entrepreneur en travaux de finition
,Entrepreneurs spécialisés \ 2.7 - Entrepreneur en travaux d'emplacement
,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Entrepreneurs spécialisés \ 6.2 - Entrepreneur en travaux de bois et plastique
,Entrepreneurs spécialisés \ 12.0 - Entrepreneur en armoires et comptoirs usinés
,Outil \ Outil électrique
,Entrepreneurs spécialisés \ 11.2 - Entrepreneur en équipements et produits spéciaux
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,Outil \ Réparation/Entretien - Outil électrique
,Entrepreneurs spécialisés \ 3.2 - Entrepreneur en petits ouvrages de béton
,"Entrepreneurs spécialisés \ 4.2 - Entrepreneur en travaux de maçonnerie non structurale, marbre et céramique"
,Entrepreneurs spécialisés \ 13.5 - Entrepreneur en installations spéciales ou préfabriquées
,Ingénierie \ Ingénieur électrique
,Machinerie et équipement industriel \ Génératrice
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Machinerie et équipement industriel \ Réparation/Entretien - Génératrice
,Électricité \ Pièce électrique
,"Entrepreneurs spécialisés \ 17.2 - Entrepreneur en intercommunication, téléphonie et surveillance"
,Entrepreneurs généraux \ 1.5 - Entrepreneur en structures d'ouvrages de génie civil
,Entrepreneurs spécialisés \ 8.0 - Entrepreneur en portes et fenêtres
,Entrepreneurs spécialisés \ 2.5 - Entrepreneur en excavation et terrassement
,Machinerie et équipement industriel \ Location - Génératrice
116887,"Horticulture \ Bassin d'eau, jardin aquatique et fontaine"
,Horticulture \ Fourniture horticole
116888,Machinerie et équipement industriel \ Pompe et compresseur
,Outil \ Outil électrique
,Outil \ Outil manuel
,Outil \ Location - Outil électrique
,Machinerie et équipement industriel \ Réparation/Entretien - Appareil de soudure
,Machinerie et équipement industriel \ Machine et équipement d'aménagement paysager et déneigement
,Machinerie et équipement industriel \ Location - Pompe et compresseur
,Outil \ Réparation/Entretien - Outil à batterie
,Machinerie et équipement industriel \ Accessoire et pièce de remplacement pour machinerie et équipement industriel
,Outil \ Accessoire et pièce de remplacement pour outil
,Machinerie et équipement industriel \ Location - Machine et équipement d'aménagement paysager et déneigement
,Outil \ Location - Outil manuel
,Machinerie et équipement industriel \ Appareil spécialisé pour la mécanique
,Outil \ Location - Outil pneumatique
,Machinerie et équipement industriel \ Location - Machine et équipement de construction
,Outil \ Outil pneumatique
,"Installation temporaire \ Location - Clôture, barricade"
,"Outil \ Location - Échelle, escabeau et échafaudage"
,Machinerie et équipement industriel \ Location - Appareil de soudure
,Machinerie et équipement industriel \ Location - Génératrice
,Machinerie et équipement industriel \ Réparation/Entretien - Génératrice
,Machinerie et équipement industriel \ Location - Appareil spécialisé pour la mécanique
,Machinerie et équipement industriel \ Génératrice
,Équipement et produit d'entretien \ Location - Équipement d'entretien manuel
,"Chauffage, climatisation et ventilation \ Location - Appareil et système de chauffage"
,Machinerie et équipement industriel \ Machine et équipement de construction
,Outil \ Réparation/Entretien - Outil pneumatique
,Outil \ Location - Outil à batterie
,Outil \ Outil à batterie
,Machinerie et équipement industriel \ Réparation/Entretien - Machine et équipement d'aménagement paysager et déneigement
,Machinerie et équipement industriel \ Réparation/Entretien - Appareil spécialisé pour la mécanique
,Outil \ Réparation/Entretien - Outil électrique
,Machinerie et équipement industriel \ Réparation/Entretien - Pompe et compresseur
,Machinerie et équipement industriel \ Réparation/Entretien - Machine et équipement de construction
,Machinerie et équipement industriel \ Appareil de soudure
,"Outil \ Échelle, escabeau et échafaudage"
116889,"Horticulture \ Terre, terreau, compost et engrais"
,Horticulture \ Réparation/Entretien - Système d'irrigation et d'arrosage
,"Horticulture \ Graine, semence, bulbe et bouture"
,Sciences de l'environnement \ Agronome
,Horticulture \ Couvre-sol
,Horticulture \ Système d'irrigation et d'arrosage
,Horticulture \ Gazon
,Horticulture \ Fourniture horticole
116890,Entrepreneurs spécialisés \ 13.2 - Entrepreneur en systèmes d'alarme incendie
,Entrepreneurs généraux \ 1.4 - Entrepreneur en routes et canalisation
,Science et génie \ Service - Inspection
,"Équipement technique \ Réparation/Entretien - Équipement de détection, inspection"
,"Entrepreneurs spécialisés \ 17.2 - Entrepreneur en intercommunication, téléphonie et surveillance"
,Entrepreneurs spécialisés \ 13.3 - Entrepreneur en systèmes d'extinction d'incendie
,"Équipement technique \ Équipement de détection, inspection"
,Entrepreneurs spécialisés \ 13.4 - Entrepreneur en systèmes localisés d'extinction incendie
,Entrepreneurs généraux \ 1.2 - Entrepreneur en petits bâtiments
,Ingénierie \ Ingénieur mécanique - Matériaux
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,"Entrepreneurs spécialisés \ 17.1 - Entrepreneur en instrumentation, contrôle et régulation"
,Ingénierie \ Ingénieur électrique
116901,Papeterie et imprimerie \ Service - Impression
,"Papeterie et imprimerie \ Guide, brochure et affiche"
,Marketing \ Service - Distribution
,"Papeterie et imprimerie \ Papier, article de papeterie"
,Multimédia \ Service - Diffusion
,Papeterie et imprimerie \ Service - Reliure
,"Transport de biens et entreposage \ Service - Postal, messagerie"
,Multimédia \ Service - Production multimédia
,Communication graphique \ Matériel pour communication graphique
,"Matériel promotionnel \ Drapeau, bannière, fanion et décoration temporaire"
,Papeterie et imprimerie \ Formulaire
116902,Sécurité \ Produit de cadenassage
,Sport et loisir \ Équipement et fourniture pour terrain de jeux
,Formation \ Service - Formation en santé et sécurité
,"Sport et loisir \ Matériel pour loisir, jeu"
,Santé \ Fournitures et matériel médical
,Sport et loisir \ Équipement pour piscine et jeu d'eau
,Sécurité \ Équipement contre les incendies
116914,"Horticulture \ Graine, semence, bulbe et bouture"
,"Horticulture \ Terre, terreau, compost et engrais"
,Horticulture \ Végétaux
,Horticulture \ Fourniture horticole
116931,"Matériel de bureau \ Reliure, porte-document"
,Matériel de bureau \ Fourniture de classement et de rangement
,"Matériel de bureau \ Article, accessoire et équipement de bureau"
,Matériel de bureau \ Fourniture d'expédition et étiquette
,"Mobilier de bureau \ Classeur, étagère et armoire de rangement"
,Matériel de bureau \ Instrument d'écriture
116934,Machinerie et équipement industriel \ Réparation/Entretien - Machine et équipement d'aménagement paysager et déneigement
,"Véhicule et appareil automobile \ Réparation/Entretien - Véhicule lourd, machinerie lourde et camion équipement spécialisé"
,Transport de biens et entreposage \ Équipement de manutention
,Machinerie et équipement industriel \ Machine et équipement d'aménagement paysager et déneigement
,"Véhicule et appareil automobile \ Véhicule lourd, machinerie lourde et camion avec équipement spécialisé"
116950,Ingénierie \ Ingénieur mécanique - Énergie
,Énergie \ Gaz comprimé
,"Énergie \ Carburant (essence, diesel, kérosène)"
,Énergie \ Panneau solaire
,Énergie \ Eau refroidie (climatisation)
,Énergie \ Gaz naturel
,Énergie \ Vapeur (chauffage)
,"Énergie \ Pile, batterie"
,Énergie \ Électricité
,"Produit chimique \ Huile, graisse et lubrifiant"
,Produit chimique \ Absorbant
,Énergie \ Huile à chauffage et mazout
116951,Faune \ Entomologiste
,"Contrôle de la faune \ Service - Extermination, fumigation"
,Animal et insecte \ Insecte
,Sciences de l'environnement \ Biologiste
,Contrôle de la faune \ Produit d'extermination et de fumigation
116965,Équipement de protection individuelle et fourniture spécialisée \ Équipement de protection individuelle et fourniture spécialisée - Policier
,Vêtement et uniforme \ Uniforme - Brigadier
,Équipement de protection individuelle et fourniture spécialisée \ Fourniture spécialisée - Agent de stationnement/Bureau du taxi
,Équipement de protection individuelle et fourniture spécialisée \ Équipement de protection
,Équipement de protection individuelle et fourniture spécialisée \ Produit ergonomique
,Vêtement et uniforme \ Vêtement de travail
,Vêtement et uniforme \ Gant
,Équipement de protection individuelle et fourniture spécialisée \ Équipement contre les chutes
,Vêtement et uniforme \ Accessoire vestimentaire
,Équipement de protection individuelle et fourniture spécialisée \ Fourniture spécialisée - Agent de sécurité
,Vêtement et uniforme \ Location - Vêtement de travail
,Vêtement et uniforme \ Uniforme - Agent de sécurité
,Vêtement et uniforme \ Uniforme - Agent de stationnement/Bureau du taxi
,Équipement de protection individuelle et fourniture spécialisée \ Équipement de protection individuelle et fourniture spécialisée - Pompier
,Vêtement et uniforme \ Uniforme - Pompier
,"Vêtement et uniforme \ Service - Couture, cordonnerie"
,Équipement de protection individuelle et fourniture spécialisée \ Fourniture spécialisée - Brigadier
,Équipement de protection individuelle et fourniture spécialisée \ Arme - Policier
,Vêtement et uniforme \ Uniforme - Policier
116970,Ressources humaines \ Conseiller en recrutement et évaluation des compétences
,Ressources humaines \ Conseiller en relations industrielles
,"Ressources humaines \ Conseiller, programme d'aide aux employés"
,Ressources humaines \ Conseiller en rémunération et avantages sociaux
,Formation \ Service - Formation en développement organisationnel et technique
,Formation \ Service - Formation en développement interpersonnel/relationnel
,"Finance, économie et contrôle des coûts \ Conseiller en amélioration continue"
,Ressources humaines \ Conseiller en ressources humaines
,"Administration et gestion \ Conseiller en gestion, management"
,Communication écrite et orale \ Service - Conférence
,Ressources humaines \ Service - Placement de personnel
,Ressources humaines \ Conseiller en orientation professionnelle
,Ressources humaines \ Concepteur de programme de formation
,Ressources humaines \ Conseiller en relation de travail
,Administration et gestion \ Conseiller en développement organisationnel
116986,"Matériel promotionnel \ Drapeau, bannière, fanion et décoration temporaire"
,Matériel promotionnel \ Objet souvenir
,Matériel promotionnel \ Article promotionnel
