No_UADM,Description,Type,Service_arrondissement 
340518000000,DIVISION DU PATRIMOINE,DIV,Service
340518020000,SECTION AUTORISATION PATRIMOINE,SEC,Service
340518030000,SECTION INVENTAIRES,SEC,Service
340600000000,DIRECTION DES PROJETS D AMÉNAGEMENT URBAIN,DIR,Service
340600020000,GESTION DE PORTEFEUILLES,SEC,Service
340604000000,DIVISION GRANDS PROJETS DE MOBILITÉ,DIV,Service
340604020000,SECTION PROJETS DE MOBILITÉ URBAINE PORTEFEUILLE 1,SEC,Service
340604030000,AMÉNAGEMENT DE RUES,SEC,Service
340604050000,SECTION PROJETS DE MOBILITÉ URBAINE PORTEFEUILLE 2,SEC,Service
340605000000,DIVISION INNOVATION ET GESTION DE DEPLACEMENTS,DIV,Service
340605020000,SECTION INGÉNIERIE DES SYSTÈMES - FEUX,SEC,Service
340605030000,SECTION INGÉNIERIE DE LA CIRCULATION,SEC,Service
340605040000,SECTION INGÉNIERIE DES SYSTÈMES - MOBILITÉ CONNECTÉE,SEC,Service
340606000000,DIVISION DU BUREAU DES PROJETS CENTRE-VILLE,DIV,Service
340607000000,DIVISON AMÉNAGEMENTS DES RUES,DIV,Service
340607020000,SECTION AMÉNAGEMENT,SEC,Service
340607030000,SEC VÉLO,SEC,Service
340608000000,DIVISION PLANIFICATION ET DÉVELOPPEMENT DE LA MOBILITÉ,DIV,Service
340608020000,SECTION PLANIFICATION,SEC,Service
340608030000,SECTION VÉLO,SEC,Service
340610000000,DIVISION PROJETS URBAINS,DIV,Service
340612000000,SÉCURITÉ ET AMÉNAGEMENT DURABLE,DIV,Service
340612030000,BUREAU AMÉNAGEMENT DES VOIES CYCLABLES,SEC,Service
340902000000,DIV. DU LOGEMENT SOCIAL ET DE L INCLUSION DE LOGEMENT ABORDA,DIV,Service
360000000000,SERVICE DES RESSOURCES HUMAINES,SER,Service
360000000001,MESS,BUR,Service
360000000002,RESSOURCES HUMAINES - BUREAU,BUR,Service
360010000000,SERVICE DES RESS. HUM. ET DU DÉV. ORGANISATIONNEL,DIV,Service
360010010000,SECTION PLANIFICATION ET GESTION DES EFFECTIFS,SEC,Service
360010020000,SECTION SÉLECTION ET RECRUTEMENT,SEC,Service
360010030000,SECTION DÉVELOPPEMENT DES RESSOURCES HUMAINES,SEC,Service
360010040000,SECTION DU PROGRAMME D AIDE AUX POLICIERS ET POLICIÈRES,SEC,Service
360100000000,"DIRECTION SANTÉ, SÉCURITÉ ET MIEUX-ÊTRE",DIR,Service
360100000002,EQUIPE ENQUETE COVID,BUR,Service
360102000000,DIVISION DE LA GESTION DE L INVALIDITÉ,DIV,Service
360103000000,DIVISION PRÉVENTION,DIV,Service
360103020000,SECTION PROGRAMME D AIDE AUX POLICIERS ET POLICIERES,SEC,Service
360200000000,DIRECTION DES RELATIONS DE TRAVAIL,DIR,Service
360200020000,SECTION PLANIFICATION DES EFFECTIFS SPVM,SEC,Service
360206000000,RECOURS ET ARBITRAGES,DIV,Service
360207000000,DIV.SOUTIEN-CONSEIL À LA GESTION - DIRECTION GÉNÉRALE,DIV,Service
360208000000,"DIV CADRES, PROFESSIONNELS ET COORDINATION DES PROJETS SPÉC.",DIV,Service
360209000000,DIVISION RT - SÉCURITÉ PUBLIQUE,DIV,Service
360210000000,DIVISION SOUTIEN - CONSEIL À LA GESTION - DGA QUALITÉ DE VIE,DIV,Service
360211000000,DIVISON SOUTIEN - CONSEIL À LA GESTION - DGA DÉVELOPPEMENT,DIV,Service
360211020000,SECTION RESSOURCES HUMAINES EST,SEC,Service
360211030000,SECTION RESSOURCES HUMAINES OUEST,SEC,Service
360214000000,DIVISION COLS BLEUS ET COLS BLANCS,DIV,Service
360300000000,DIRECTION RÉMUNÉRATION GLOBALE ET SYST. D INFORMATION R.H.,DIR,Service
360300000001,SOUTIEN AUX SYSTÈMES D INFORMATION RH,BUR,Service
360300020000,SECTION SIRH ET GESTION DU TEMPS,SEC,Service
360302000000,DIVISION RÉMUNÉRATION,DIV,Service
360302020000,SECTION RÉMUNÉRATION,SEC,Service
360303000000,DIVISION DES AVANTAGES SOCIAUX,DIV,Service
360304000000,DIVISION DE LA PAIE,DIV,Service
360304020000,SECTION CONTRÔLE INTERNE ET SAC,SEC,Service
360304030000,SECTION TRAITEMENT DE L ASSIDUITÉ,SEC,Service
360304040000,SECTION PAIE À LA SEMAINE ET INTERRUPTIONS,SEC,Service
360304050000,SECTION ÉVÈNEMENTS DE VIE ET PAIE AUX 2 SEMAINES,SEC,Service
360304060000,SECTION PAIE POMPIERS,SEC,Service
360304070000,SECTION PAIE ORACLE,SEC,Service
360305000000,DIVISION TRANSFO RH,DIV,Service
360305020000,SECTION CENTRE DE GOUVERNANCE ET ÉVOLUTION DES PRATIQUES RH,SEC,Service
360400000000,DIRECTION ATTRACTION ET ACQUISITION DE TALENTS,DIR,Service
360400000001,MESURES ET ÉVALUATION,BUR,Service
360400000002,DIVERSITÉ,BUR,Service
360400000003,GESTION DU CHANGEMENT ORGANISATIONNEL,BUR,Service
360400020000,CENTRE TRAITEMENT ADMINISTRATIF,SEC,Service
360400030000,SECTION DOTATION (POMPIERS ET ÉTAT-MAJOR),SEC,Service
360402000000,DIV DOT PREVISIONNELLE ET CTA,DIV,Service
360402020000,CENTRE TRAITEMENT ADMINISTRATIF,SEC,Service
360402030000,SEC DOTATION SÉCURITÉ PUBLIQUE,SEC,Service
360402040000,SECTION SUPPORT ADMINISTRATIF,SEC,Service
360403000000,DIVISION EMPLOIS TECHNIQUES PROFESSIONNELS ET MÉTIERS,DIV,Service
360403020000,SECTION EMPLOIS TECHNIQUES PROFESSIONNELS ET MÉTIERS,SEC,Service
360404000000,DIVISION DU DÉVELOPPEMENT ORGANISATIONNEL,DIV,Service
360404020000,SECTION PROGRAMME D AIDE AUX POLICIERS ET POLICIÈRES,SEC,Service
360406000000,DIVISION RECH.DE TALENTS ET DOTATION - CADRES,DIV,Service
360407000000,DIV DOTATION SÉCURITÉ PUBLIQUE,DIV,Service
360407020000,SEC DOTATION SÉCURITÉ PUBLIQUE,SEC,Service
360408000000,DIV TALENTS APPRENTISSAGE ET GESTION DU CHANGEMENT,DIV,Service
360408020000,SEC APPRENTISSAGE,SEC,Service
360500000000,"STRATÉGIE, DÉVELOPPEMENT ET ÉQUITÉ, DIVERSITÉ ET INCLUSION",DIR,Service
360502000000,DIVISION STRATÉGIE ET DÉVELOPPEMENT ORGANISATIONNEL,DIV,Service
360503000000,DIVISION DÉVELOPPEMENT DES COMPÉTENCES,DIV,Service
360503020000,SECTION SOLUTIONS ET EXPÉRIENCES D APPRENTISSAGE,SEC,Service
360503030000,PROJET CONTREMAÎTRE,SEC,Service
360504000000,"DIV ÉQUITÉ, DIVERSITÉ, INCLUSION ET RESPECT DE LA PERSONNE",DIV,Service
360504020000,SECTION PLAINTES ET CLIMAT DE TRAVAIL,SEC,Service
360504030000,SECTION PRÉVENTION ET ACCOMPAGNEMENT,SEC,Service
360505000000,DIVISION GESTION DU CHANGEMENT ET ACCOMPAGNEMENT AUX TRANSFO,DIV,Service
360600000000,DIRECTION PARTENAIRES D AFFAIRES RH,DIR,Service
360602000000,DIV-PARH SERVICES CORPO A,DIV,Service
360603000000,DIV-PARH SERVICES CORPO B,DIV,Service
360604000000,DIV-PARH SERVICES CORPO C,DIV,Service
360605000000,DIV PARH SERVICES CORPO A,DIV,Service
360606000000,DIV-PARH SERVICES CORPO D ET ARRONDISSEMENT LACHINE,DIV,Service
360606020000,DIVISION SOUTIEN CONSEIL - DGA DÉVELOPPEMENT,DIV,Service
360606030000,RESSOURCES HUMAINES OUEST,DIV,Service
360607000000,PARTENAIRES D AFFAIRES RH - PERSONNEL CIVIL,DIV,Service
360608000000,DIVISION PARTENAIRES D AFFAIRES RH - SIM,DIV,Service
360609000000,DIVISION PARTENAIRES D AFFAIRES RH - PERSONNEL POLICIER,DIV,Service
360609020000,SECTION CENTRE OPÉRATIONNEL,SEC,Service
360610000000,DIV PARH SERVICES CORPO E,DIV,Service
360611000000,DIV PARH SERVICES CORPO B,DIV,Service
360612000000,CENTRE DE SERVICES AUX EMPLOYÉS,DIV,Service
360613000000,DIVISION CENTRE OPÉRATIONNEL,DIV,Service
360700000000,DIRECTION COMMUNICATIONS CORPORATIVES,DIR,Service
360703000000,DIV PARTENAIRES D AFFAIRES EN COMMUNICATION-QUALITÉ DE VIE,DIV,Service
360704000000,"DIV PARTENAIRES DAFFAIRES EN COMM - DIR. GÉN, COMM INT, SERV",DIV,Service
360705000000,DIVSION CREATION ET PRODUCTION,DIV,Service
360706000000,DIV PARTENAIRES D AFFAIRES EN COMM.-MOBILITÉ ET ATTRACTIVITE,DIV,Service
360707000000,DIVISION IMAGE DE MARQUE ET STRATÉGIES MARKETING,DIV,Service
370000000000,SERVICE DE POLICE DE LA VILLE DE MONTREAL,SER,Service
370000000001,CABINET DU DIRECTEUR ET RELATIONS AVEC LES ÉLUS,SEP,Service
370000010000,DIVISION DES COMMUNICATIONS,SEC,Service
370000010300,SECTION DES COMMUNICATIONS STRATÉGIQUES,SEC,Service
370000010301,MODULE DES RELATIONS MÉDIAS,INS,Service
370000010302,MODULE DES COMMUNICATIONS ORGANISATIONNELLES,INS,Service
370000010400,SECTION DES SERVICES SPÉCIALISÉS EN COMMUNICATIONSECTION DES,SEC,Service
370000010401,MODULE DES COMMUNICATIONS OPÉRATIONNELLES,INS,Service
370000010402,MODULE DE LA CRÉATION ET DE L IMAGE DE MARQUE,INS,Service
370000020000,BUREAU DE LA VÉRIFCATION ET DE L ÉVALUATION,SEC,Service
370001000000,CABINET DU DIRECTEUR,DIV,Service
370001000001,"ÉQUITÉ, DIVERSITÉ ET INCLUSION",BUR,Service
370001000100,RECHERCHE ET DÉVELOPPEMENT STRATÉGIQUE,BUR,Service
370001000101,OPTIMISATION DES PROCESSUS,BUR,Service
370001010000,DIVISION DES COMMUNICATIONS,SEC,Service
370001010100,ENQUÊTES INTERNES ET ENQUÊTES SPÉCIALES,SEC,Service
370001010101,ENQUÊTES SPÉCIALES,BUR,Service
370001010102,ENQUÊTES INTERNES,BUR,Service
370002000000,SERVICE DES COMMUNICATIONS,DIV,Service
370002010200,SECTION ENQUETES INTERNES ET NORMES PROFESSIONNELLES,SEC,Service
370100000000,DIRECTION DES SERVICES DE PROXIMITÉ,DIR,Service
370100010000,DIVISION DE LA PRÉVENTION ET DE LA SÉCURITÉ URBAINE,SEC,Service
370100010001,STRATÉGIE DE PRÉVENTION ET RELATIONS AVEC LES COMMUNAUTÉS,BUR,Service
370100010002,ÉQUIPE DE CONCERTATION COMMUNAUTAIRE ET DE RAPPROCHEMENT,BUR,Service
370100010003,ESUP/EMRII,BUR,Service
370100010004,INCIDENTS ET CRIMES HAINEUX,BUR,Service
370100010005,ÉQUIPE MULTIDISCIPLINAIRE D INTERVENTION DANS LES ÉCOLES,BUR,Service
370100010100,SECTION ÉCLIPSE,SEC,Service
370100010101,MODULE MORALITÉ,BUR,Service
370100020000,PLANIFICATION OPÉRATIONNELLE,DIV,Service
370100020100,SECTION SERVICES D ORDRE GENDARMERIE/ENQUÊTE,SEC,Service
370100020200,ANTITERRORISME ET MESURES D URGENCE,SEC,Service
370100030000,OPÉRATIONS SPÉCIALISÉES,DIV,Service
370100030100,SURVEILLANCE,SEC,Service
370100040000,CRIME ORGANISÉ,DIV,Service
370100040001,ACCÈS,BUR,Service
370100040002,ACCEF,BUR,Service
370100050100,CRIMES ÉCONOMIQUES,DIV,Service
370100050103,INCENDIES CRIMINELS,BUR,Service
370100050200,CRIMES MAJEURS,DIV,Service
370100060000,OUEST,SEC,Service
370100060101,ANALYSE ET RENSEIGNEMENT TACTIQUE - OUEST,BUR,Service
370100060102,MODULE ENQUÊTES - OUEST,BUR,Service
370100060103,MODULE CRIMES DE VIOLENCE (CDV) - OUEST,BUR,Service
370100060105,MODULE SOUTIEN OPÉRATIONNEL - OUEST,BUR,Service
370100060200,MODULE ENQUÊTES - OUEST,BUR,Service
370100060300,SOUTIEN OPÉRATIONNEL OUEST,SEC,Service
370100060400,INTERVENTION ET CIRCULATION - OUEST,SEC,Service
370100060401,CIRCULATION OUEST,SEC,Service
370100060500,POSTE DE QUARTIER 1,SEC,Service
370100060600,POSTE DE QUARTIER 3,SEC,Service
370100060700,POSTE DE QUARTIER 4,SEC,Service
370100060800,POSTE DE QUARTIER 5,SEC,Service
370100060900,POSTE DE QUARTIER 7,SEC,Service
370100061000,POSTE DE QUARTIER 8,SEC,Service
370100061100,POSTE DE QUARTIER 9,SEC,Service
370100061200,POSTE DE QUARTIER 11,SEC,Service
370100061300,POSTE DE QUARTIER 13,SEC,Service
370100061400,POSTE DE QUARTIER 26,SEC,Service
370100070000,SUD,SEC,Service
370100070100,SERVICES PARTAGÉS ENQUÊTES - SUD,SEC,Service
370100070101,ANALYSE ET RENSEIGNEMENT TACTIQUE - SUD,BUR,Service
370100070102,MOBULE ENQUÊTES - SUD,BUR,Service
370100070103,MODULE CRIMES DE VIOLENCE - SUD,BUR,Service
370100070105,MODULE SOUTIEN OPRATIONNEL - SUD,BUR,Service
370100070300,SOUTIEN OPÉRATIONNEL SUD,SEC,Service
370100070400,INTERVENTION ET CIRCULATION - SUD,SEC,Service
370100070401,CIRCULATION SUD,BUR,Service
370100070500,POSTE DE QUARTIER 12,SEC,Service
370100070600,POSTE DE QUARTIER 15,SEC,Service
370100070700,POSTE DE QUARTIER 16,SEC,Service
370100070800,POSTE DE QUARTIER 20,SEC,Service
370100070900,POSTE DE QUARTIER 21,SEC,Service
370100071000,POSTE DE QUARTIER 22,SEC,Service
370100080000,NORD,SEC,Service
370100080101,ANALYSE ET RENSEIGNEMENT TACTIQUE - NORD,SEC,Service
370100080102,MODULE ENQUÊTES - NORD,BUR,Service
370100080103,MODULE CRIMES DE VIOLENCE - NORD,BUR,Service
370100080105,MODULE SOUTIEN OPÉRATIONNEL - NORD,BUR,Service
370100080106,MODULE BROCANTEUR,BUR,Service
370100080400,INTERVENTION ET CIRCULATION NORD,SEC,Service
370100080500,POSTE DE QUARTIER 10,SEC,Service
370100080600,POSTE DE QUARTIER 24,SEC,Service
370100080700,POSTE DE QUARTIER 27,SEC,Service
370100080800,POSTE DE QUARTIER 30,SEC,Service
370100080900,POSTE DE QUARTIER 31,SEC,Service
370100081000,POSTE DE QUARTIER 33,SEC,Service
370100081100,POSTE DE QUARTIER 35,SEC,Service
370100081200,POSTE DE QUARTIER 38,SEC,Service
370100081300,POSTE DE QUARTIER 44,SEC,Service
370100090000,EST,SEC,Service
370100090101,ANALYSE ET RENSEIGNEMENT TACTIQUE - EST,SEC,Service
370100090102,MODULE ENQUÊTES - EST,BUR,Service
370100090103,MODULE CRIMES DE VIOLENCE - EST,BUR,Service
370100090105,MODULE SOUTIEN OPÉRATIONNEL - EST,BUR,Service
370100090106,MODULE PATROUILLE NOCTURNE,BUR,Service
370100090300,SOUTIEN OPÉRATIONNEL - EST,SEC,Service
370100090400,INTERVENTION ET CIRCULATION EST,SEC,Service
370100090401,CIRCULATION EST,BUR,Service
370100090500,POSTE DE QUARTIER 23,SEC,Service
370100090600,POSTE DE QUARTIER 39,SEC,Service
370100090700,POSTE DE QUARTIER 42,SEC,Service
370100090800,POSTE DE QUARTIER 45,SEC,Service
370100090900,POSTE DE QUARTIER 46,SEC,Service
370100091000,POSTE DE QUARTIER 48,SEC,Service
370100091100,POSTE DE QUARTIER 49,SEC,Service
370100100000,SOUTIEN AUX OPÉRATION ET PATROUILLES SPÉCIALISÉES,SEC,Service
370100100100,SOUTIEN AUX OPÉRATIONS DE SÉCURITÉ ROUTIÈRE,SEC,Service
370100100101,COORDINATION,BUR,Service
370100100102,ENQUÊTES COLLISIONS,BUR,Service
370100100201,MOTARD,BUR,Service
370100100202,CONSEIL,BUR,Service
370100100300,MÉTRO,SEC,Service
370100100301,ESCOUADE CANINE,BUR,Service
370100100400,SECTION APPLICATION DES RÈGLEMENTS DU STATIONNEMENT,SEC,Service
370100100401,EX-BANLIEUES,BUR,Service
370100100402,SARS - BALAIS,BUR,Service
370100100403,SARS - PRÉPOSÉ AU REMORQUAGE,BUR,Service
370100100500,SUPPORT TACTIQUE ET SPÉCIALISÉ,SEC,Service
370100100501,CAVALERIE,BUR,Service
370100100502,NAUTIQUE,BUR,Service
370100100600,UNITÉ AÉROPORTUAIRE,SEC,Service
370101000101,CIRCULATION OUEST,SEP,Service
370101000102,CIRCULATION SUD,BUR,Service
370101001300,PDQ 11 - NOTRE-DAME-DE-GRÂCE,SEC,Service
370101001400,PDQ 13 - LASALLE,SEC,Service
370101001500,PDQ 26 - CÔTE-DES-NEIGES-S/E,SEC,Service
370101001600,UNITÉ AÉROPORTUAIRE,SEC,Service
370101010800,PDQ 11 (NOTRE-DAME-DE-GRÂCE),INS,Service
370102000000,GENDARMERIE NORD-EST,DIV,Service
370102000102,CIRCULATION EST,BUR,Service
370102000900,PDQ 20 - VILLE-MARIE-S/O,SEC,Service
370102001000,PDQ 21 - VILLE-MARIE S/E,SEC,Service
370102001100,PDQ 22 - CENTRE-SUD,SEC,Service
370102010500,PDQ 33 (PARC-EXTENSION),INS,Service
370102020101,ENQUÊTES PAR PROJET OUEST,SEC,Service
370103000000,SERVICE DE LA RÉGION NORD,DIV,Service
370103001100,PDQ 35 - PETITE PATRIE,SEC,Service
370103001300,"PDQ 38 - PLATEAU MT-ROYAL S/E,VILLE-MARIE NORD",SEC,Service
370103001400,PDQ 44 - ROSEMONT S/O,SEC,Service
370103010000,DIVISION DE LA GENDARMERIE NORD,SEC,Service
370103010100,PDQ 10,INS,Service
370103010200,PDQ 27,INS,Service
370103010300,PDQ 30,INS,Service
370103010400,PDQ 31,INS,Service
370103010500,PDQ 35,INS,Service
370103010600,PDQ 38,INS,Service
370103010700,PDQ 44,INS,Service
370103020000,DIVISION DES ENQUÊTES CRIMINELLES NORD,SEC,Service
370103020100,ENQUÊTES PAR PROJET NORD,INS,Service
370103020101,STUPÉFIANTS NORD,BUR,Service
370103020102,ÉQUIPE MULTISECTORIELLE DÉDIÉE AUX ARMES À FEU NORD (EMAF),BUR,Service
370103020103,GROUPE PROJET NORD,BUR,Service
370103020104,SURVEILLANCE RÉGIONALE NORD,BUR,Service
370103020200,ENQUÊTES RÉGIONALES NORD,BUR,Service
370103020300,ENQUÊTES ET SOUTIEN ORGANISATIONNEL NORD,BUR,Service
370103020301,DÉTENTION NORD,BUR,Service
370103020302,BROCANTEUR,INS,Service
370103020303,"ÉQUIPE DISPARITIONS,AUX RECHERCHES DE FAMILLE ET ENLÈVEMENTS",BUR,Service
370104000000,SERVICE DE LA RÉGION EST,DIV,Service
370104000900,PDQ 45 - RIVIERE-DES-PRAIRIES,SEC,Service
370104001000,PDQ 46 - ANJOU,SEC,Service
370104001100,PDQ 48 - MERCIER-E,SEC,Service
370104001200,"PDQ 49 - POINTE-AUX-TREMBLES, MONTREAL-EST",SEC,Service
370104010000,DIVISION DE LA GENDARMERIE EST,SEC,Service
370104010100,PDQ 23,INS,Service
370104010200,PDQ 39,INS,Service
370104010300,PDQ 42,INS,Service
370104010400,PDQ 45,INS,Service
370104010500,PDQ 46,INS,Service
370104010600,PDQ 48,INS,Service
370104010700,PDQ 49,INS,Service
370104020000,DIVISION DES ENQUÊTES CRIMINELLES EST,SEC,Service
370104020100,ENQUÊTES PAR PROJET EST,BUR,Service
370104020101,STUPÉFIANTS EST,BUR,Service
370104020102,ÉQUIPE MULTISECTORIELLE DÉDIÉE AUX ARMES À FEU EST (EMAF),BUR,Service
370104020103,GROUPE PROJET EST,BUR,Service
370104020104,SURVEILLANCE RÉGIONALE EST,BUR,Service
370104020200,ENQUÊTES RÉGIONALES EST,BUR,Service
370104020300,ENQUÊTES ET SOUTIEN ORGANISATIONNEL EST,BUR,Service
370104020301,DÉTENTION EST,INS,Service
370104020302,ENQUÊTES DE NUIT,BUR,Service
370105000405,PHOTO RADAR (TS SEULEMENT),INS,Service
370105000702,INTERVENTION SUD,INS,Service
370105010000,RENSEIGNEMENT,DIV,Service
370105010100,GROUPE TACTIQUE D INTERVENTION,BUR,Service
370105020001,PROJET ACCÈS,BUR,Service
370105020003,UPC-MRQ,BUR,Service
370105030000,CRIMES MAJEURS ET ÉCONOMIQUES,DIV,Service
370105030100,CRIMES ÉCONOMIQUES,DIV,Service
370105030103,INCENDIES CRIMINELS,SEC,Service
370105030200,CRIMES MAJEURS,DIV,Service
370105040000,OPERATIONS SPECIALISEES,DIV,Service
370105040100,SUPPORT TACTIQUE ET SPÉCIALISÉ,SEC,Service
370105040200,SURVEILLANCE,SEC,Service
370105050000,SOUTIEN AUX ENQUÊTES,DIV,Service
370105050001,GESTION DE LA PREUVE,SEP,Service
370105050100,SECTION IDENTIFICATION JUDICIAIRE ET CRIMES TECHNOLOGIQUES,SEC,Service
370105050200,SERVICES AUX COURS,DIV,Service
370105050201,"LIAISON,COUR DU QUÉBEC,CHAMBRE CRIMINELLE ET PÉNALE",SEC,Service
370105050202,"LIAISON, COUR MUNICIPALE DE MONTRÉAL",SEC,Service
370105050203,"LIAISON, COUR DU QUÉBEC, CHAMBRE DE LA JEUNESSE",SEC,Service
370105050204,MANDATS,SEC,Service
370106000000,SERVICE DE LA RÉGION OUEST,DIV,Service
370106000200,SECTION ÉCLIPSE,SEC,Service
370106010000,DIVISION DE LA GENDARMERIE OUEST,SEC,Service
370106010100,PDQ 1,INS,Service
370106010101,MODULE CAVALERIE,BUR,Service
370106010102,CONSEIL,BUR,Service
370106010200,PDQ 3,INS,Service
370106010201,SARS - BALAIS,SEP,Service
370106010300,PDQ 4,INS,Service
370106010400,PDQ 5,INS,Service
370106010401,UNITÉ AÉROPORTUAIRE,INS,Service
370106010500,PDQ 7,INS,Service
370106010600,PDQ 8,INS,Service
370106010700,PDQ 9,INS,Service
370106010800,PDQ 13,INS,Service
370106010900,PDQ 26,BUR,Service
370106020000,DIVISION DES ENQUÊTES CRIMINELLES OUEST,SEC,Service
370106020001,DÉTENTION OUEST,INS,Service
370106020100,ENQUÊTES PAR PROJET OUEST,BUR,Service
370106020101,STUPÉFIANTS OUEST,INS,Service
370106020102,ÉQUIPE MULTISECTORIELLE DÉDIÉE AUX ARMES À FEU OUEST (EMAF),INS,Service
370106020103,GROUPE PROJET OUEST,INS,Service
370106020104,SURVEILLANCE RÉGIONALE OUEST,INS,Service
370106020200,ENQUÊTES RÉGIONALES OUEST,BUR,Service
370106020300,SECTION SUPPORT TECHNOLOGIQUE ET SERVICE A LA CLIENTELE,SEC,Service
370106020301,MODULE VERIFICATION D ANTECEDENTS,SEP,Service
370106020302,MODULE CENTRE DE REDACTION DE RAPPORTS,SEP,Service
370106020400,SECTION FORMATION ET INFORMATION POLICIERE,SEC,Service
370106020401,MODULE CENTRALE D INFORMATION POLICIERE,SEP,Service
370106020402,MODULE ASSURANCE QUALITE,SEP,Service
370106020403,MODULE ÉVOLUTION TECHNOLOGIQUE,BUR,Service
370107000000,SERVICE DE LA RÉGION SUD,DIV,Service
370107010000,DIVISION DE LA GENDARMERIE SUD,SEC,Service
370107010001,ÉQUIPE DE COHABITATION URBAINE,BUR,Service
370107010100,PDQ 12,INS,Service
370107010200,PDQ 15,INS,Service
370107010300,PDQ 16,INS,Service
370107010400,PDQ 20,INS,Service
370107010500,PDQ 21,INS,Service
370107010600,PDQ 22,INS,Service
370107010700,MÉTRO,INS,Service
370107020000,DIVISION DES ENQUÊTES CRIMINELLES SUD,SEC,Service
370107020100,ENQUÊTES PAR PROJET SUD,BUR,Service
370107020101,STUPÉFIANTS SUD,BUR,Service
370107020102,ÉQUIPE MULTISECTORIELLE DÉDIÉE AUX ARMES À FEU SUD (EMAF),BUR,Service
370107020103,GROUPE PROJET SUD,BUR,Service
370107020104,SURVEILLANCE RÉGIONALE SUD,INS,Service
370107020200,ENQUÊTES RÉGIONALES SUD,BUR,Service
370107020300,ENQUÊTES ET SOUTIEN ORGANISATIONNEL SUD,BUR,Service
370107020301,DÉTENTION SUD,INS,Service
370107020302,ENQUÊTES COLLISIONS,INS,Service
370200000000,DIRECTION DES SERVICES ORGANISATIONNELS,DIR,Service
370200000001,EMPLOYÉS MISE EN DISPONIBILITÉ (MED),SEP,Service
370200000002,PRÊT DE SERVICE (CIVILS),SEP,Service
370200000003,EMPLOYÉS EN DISPONIBILITÉS,BUR,Service
370200000004,PRÊTS DE SERVICE CIVILS,BUR,Service
370200000100,SECTION COMMUNICATIONS ET RELATIONS MÉDIAS,SEC,Service
370200020000,DIVISION RESSOURCES INFORMATIONNELLES,DIV,Service
370200020001,MODULE TECHNOLOGIE,SEP,Service
370200020100,SECTION DEVELOPPEMENT DES TECHNOLOGIES,SEC,Service
370200020200,SECTION ARCHIVES,SEC,Service
370200020300,SECTION SECURITE INFORMATIQUE,SEC,Service
370200030000,DIVISION FORMATION,DIV,Service
370200030100,SECTION SYSTÈMES APPLIQUÉS SUPPORT AUX OPÉRATIONS,SEC,Service
370200030200,SECTION EMPLOI DE LA FORCE,SEC,Service
370200030300,SEC.STRATÉGIE D APPRENTISSAGE CAMPUS ET RECH.DÉVELOPPEMENT,SEC,Service
370200040100,SÉCURITÉ ET PRATIQUES PROFESSIONNELLES,SEC,Service
370200050002,PRÉVENTION EN SANTÉ ET SÉCURITÉ AU TRAVAIL,BUR,Service
370200050100,IDENTIFICATION JUDICIAIRE,SEC,Service
370200050101,CRIMES TECHNOLOGIQUES,INS,Service
370200050200,SERVICES AUX COURS,SEC,Service
370200050201,"LIAISON,COUR DU QUÉBEC, CHAMBRE CIMINELLE ET PÉNALE",INS,Service
370200050202,"LIAISON, COUR MUNICIPALE DE MONTRÉAL",INS,Service
370200050203,"LIAISON, COUR DU QUÉBEC, CHAMBRE DE LA JEUNESSE",INS,Service
370200050204,MANDATS,INS,Service
370200060000,COMMUNICATIONS OPÉRATIONNELLES ET INFORMATION POLICIÈRE,DIV,Service
370200060100,SECTION CENTRE DE COMMUNICATIONS OPÉRATIONNELLES,SEC,Service
370200060200,SECTION SERVICE À LA CLIENTÈLE CRRÉ ET ANTÉCÉDENTS,SEC,Service
370200060201,MODULE VÉRIFICATION D ANTÉCÉDENTS,INS,Service
370200060202,MODULE CENTRE DE RÉDACTION DE RAPPORTS,INS,Service
370200060300,ÉVOLUTION DE LA QUALITÉ DE L INFORMATION POLICIÈRE,SEC,Service
370200060301,MODULE CENTRALE D INFORMATION POLICIÈRE,INS,Service
370200060302,MODULE ASSUANCE QUALITÉ,INS,Service
370200060400,SECT. SUPP. ET TECHN. DES COMMUNICATIONS OPÉRATIONNELLES,SEC,Service
370201000001,MODULE EMPLOYES EN DISPONIBILITÉ (MED),SEP,Service
370201000002,MODULE PRETS DE SERVICE (CIVILS),SEP,Service
370201000500,APPLICATIONS DES RÈGLEMENTS DU STATIONNEMENT,INS,Service
370201000501,SARS - BALAIS,SEP,Service
370201000502,SARS - PRÉPOSÉS AUX REMORQUAGES,SEP,Service
370202000100,PRÉVENTION ET SÉCURITÉ URBAINE,INS,Service
370202020201,ÉVOLUTION DES SYSTÈMES INFORMATIQUE,SEP,Service
370203000000,"ERVICE DES RESSOURCES MATÉRIELLES, TECHNOLOGIQUES ET INFORMA",DIV,Service
370203010000,DIVISION DES RESSOURCES ET DE L INNOVATION TECHNOLOGIQUES,SEC,Service
370203010200,PROJETS TECHNOLOGIQUES,INS,Service
370203010202,PROJETS INFORMATIQUES,BUR,Service
370203010300,EVOLUTION M-IRIS,BUR,Service
370203010400,EXPLOITATION DES EQUIPEMENTS TECHNOLOGIQUES,BUR,Service
370203020000,DIVISION DES RESSOURCES MATÉRIELLES,DIV,Service
370203020100,RESSOURCES MATÉRIELLES,BUR,Service
370203020300,LOGISTIQUE,BUR,Service
