District;Bureau;Candidat1;Vote1;Candidat2;Vote2;Candidat3;Vote3;Candidat4;Vote4;Candidat5;Vote5;Rejetes
3;79;Clément BÉLANGER;18;Rémi BERGERON;5;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;67;Denis TASSÉ;21;2
3;80;Clément BÉLANGER;5;Rémi BERGERON;3;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;57;Denis TASSÉ;23;1
4;81;Clément BÉLANGER;10;Rémi BERGERON;1;Sylvie GONEAU;7;Maxime PEDNEAUD-JOBIN;44;Denis TASSÉ;17;2
4;82;Clément BÉLANGER;8;Rémi BERGERON;2;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;71;Denis TASSÉ;34;0
4;83;Clément BÉLANGER;10;Rémi BERGERON;2;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;78;Denis TASSÉ;25;3
4;84;Clément BÉLANGER;15;Rémi BERGERON;1;Sylvie GONEAU;23;Maxime PEDNEAUD-JOBIN;76;Denis TASSÉ;32;1
4;85;Clément BÉLANGER;5;Rémi BERGERON;2;Sylvie GONEAU;23;Maxime PEDNEAUD-JOBIN;102;Denis TASSÉ;34;2
4;86;Clément BÉLANGER;10;Rémi BERGERON;0;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;72;Denis TASSÉ;25;2
4;87;Clément BÉLANGER;5;Rémi BERGERON;0;Sylvie GONEAU;11;Maxime PEDNEAUD-JOBIN;57;Denis TASSÉ;30;1
4;88;Clément BÉLANGER;2;Rémi BERGERON;0;Sylvie GONEAU;7;Maxime PEDNEAUD-JOBIN;42;Denis TASSÉ;26;6
4;89;Clément BÉLANGER;10;Rémi BERGERON;1;Sylvie GONEAU;6;Maxime PEDNEAUD-JOBIN;51;Denis TASSÉ;29;1
4;90;Clément BÉLANGER;6;Rémi BERGERON;0;Sylvie GONEAU;15;Maxime PEDNEAUD-JOBIN;61;Denis TASSÉ;25;2
4;91;Clément BÉLANGER;1;Rémi BERGERON;1;Sylvie GONEAU;10;Maxime PEDNEAUD-JOBIN;31;Denis TASSÉ;14;1
4;92;Clément BÉLANGER;9;Rémi BERGERON;2;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;22;Denis TASSÉ;21;3
4;93;Clément BÉLANGER;11;Rémi BERGERON;3;Sylvie GONEAU;15;Maxime PEDNEAUD-JOBIN;41;Denis TASSÉ;35;0
4;94;Clément BÉLANGER;6;Rémi BERGERON;0;Sylvie GONEAU;10;Maxime PEDNEAUD-JOBIN;46;Denis TASSÉ;21;2
4;95;Clément BÉLANGER;4;Rémi BERGERON;0;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;31;Denis TASSÉ;30;0
4;96;Clément BÉLANGER;3;Rémi BERGERON;3;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;38;Denis TASSÉ;17;5
4;97;Clément BÉLANGER;10;Rémi BERGERON;5;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;20;Denis TASSÉ;13;2
4;98;Clément BÉLANGER;6;Rémi BERGERON;0;Sylvie GONEAU;19;Maxime PEDNEAUD-JOBIN;48;Denis TASSÉ;26;3
4;BVA-04-1;Clément BÉLANGER;11;Rémi BERGERON;5;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;90;Denis TASSÉ;29;3
4;BVA-04-2;Clément BÉLANGER;5;Rémi BERGERON;0;Sylvie GONEAU;13;Maxime PEDNEAUD-JOBIN;56;Denis TASSÉ;38;5
4;BVA-04-3;Clément BÉLANGER;3;Rémi BERGERON;0;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;52;Denis TASSÉ;32;3
4;99;Clément BÉLANGER;2;Rémi BERGERON;2;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;68;Denis TASSÉ;38;4
4;100;Clément BÉLANGER;4;Rémi BERGERON;1;Sylvie GONEAU;13;Maxime PEDNEAUD-JOBIN;42;Denis TASSÉ;43;1
4;101;Clément BÉLANGER;7;Rémi BERGERON;4;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;46;Denis TASSÉ;29;0
4;102;Clément BÉLANGER;9;Rémi BERGERON;2;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;56;Denis TASSÉ;26;0
4;103;Clément BÉLANGER;3;Rémi BERGERON;1;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;82;Denis TASSÉ;34;2
4;104;Clément BÉLANGER;8;Rémi BERGERON;5;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;78;Denis TASSÉ;55;0
4;105;Clément BÉLANGER;9;Rémi BERGERON;6;Sylvie GONEAU;30;Maxime PEDNEAUD-JOBIN;81;Denis TASSÉ;44;5
4;106;Clément BÉLANGER;15;Rémi BERGERON;3;Sylvie GONEAU;26;Maxime PEDNEAUD-JOBIN;95;Denis TASSÉ;34;1
4;107;Clément BÉLANGER;9;Rémi BERGERON;2;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;102;Denis TASSÉ;47;2
4;108;Clément BÉLANGER;9;Rémi BERGERON;4;Sylvie GONEAU;27;Maxime PEDNEAUD-JOBIN;79;Denis TASSÉ;29;7
4;109;Clément BÉLANGER;6;Rémi BERGERON;4;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;31;Denis TASSÉ;13;3
4;BVA-04-4;Clément BÉLANGER;4;Rémi BERGERON;0;Sylvie GONEAU;8;Maxime PEDNEAUD-JOBIN;21;Denis TASSÉ;27;1
4;BVA-04-5;Clément BÉLANGER;12;Rémi BERGERON;5;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;94;Denis TASSÉ;47;2
4;BVA-04-6;Clément BÉLANGER;5;Rémi BERGERON;0;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;125;Denis TASSÉ;29;4
5;110;Clément BÉLANGER;7;Rémi BERGERON;0;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;110;Denis TASSÉ;34;4
5;111;Clément BÉLANGER;10;Rémi BERGERON;1;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;108;Denis TASSÉ;33;1
5;112;Clément BÉLANGER;4;Rémi BERGERON;1;Sylvie GONEAU;14;Maxime PEDNEAUD-JOBIN;101;Denis TASSÉ;20;5
5;113;Clément BÉLANGER;10;Rémi BERGERON;21;Sylvie GONEAU;91;Maxime PEDNEAUD-JOBIN;27;Denis TASSÉ;2;3
5;114;Clément BÉLANGER;10;Rémi BERGERON;5;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;103;Denis TASSÉ;25;2
5;115;Clément BÉLANGER;8;Rémi BERGERON;0;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;134;Denis TASSÉ;57;0
5;116;Clément BÉLANGER;2;Rémi BERGERON;0;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;80;Denis TASSÉ;24;0
5;117;Clément BÉLANGER;6;Rémi BERGERON;3;Sylvie GONEAU;36;Maxime PEDNEAUD-JOBIN;101;Denis TASSÉ;34;4
5;118;Clément BÉLANGER;5;Rémi BERGERON;4;Sylvie GONEAU;23;Maxime PEDNEAUD-JOBIN;95;Denis TASSÉ;20;1
5;119;Clément BÉLANGER;2;Rémi BERGERON;4;Sylvie GONEAU;14;Maxime PEDNEAUD-JOBIN;58;Denis TASSÉ;19;1
5;120;Clément BÉLANGER;4;Rémi BERGERON;3;Sylvie GONEAU;19;Maxime PEDNEAUD-JOBIN;96;Denis TASSÉ;15;5
5;121;Clément BÉLANGER;6;Rémi BERGERON;2;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;152;Denis TASSÉ;41;5
5;122;Clément BÉLANGER;8;Rémi BERGERON;1;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;87;Denis TASSÉ;35;1
5;123;Clément BÉLANGER;11;Rémi BERGERON;7;Sylvie GONEAU;17;Maxime PEDNEAUD-JOBIN;106;Denis TASSÉ;19;6
5;124;Clément BÉLANGER;5;Rémi BERGERON;3;Sylvie GONEAU;14;Maxime PEDNEAUD-JOBIN;135;Denis TASSÉ;24;2
5;125;Clément BÉLANGER;4;Rémi BERGERON;3;Sylvie GONEAU;19;Maxime PEDNEAUD-JOBIN;79;Denis TASSÉ;24;6
5;BVA-05-1;Clément BÉLANGER;5;Rémi BERGERON;4;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;200;Denis TASSÉ;46;4
5;BVA-05-2;Clément BÉLANGER;3;Rémi BERGERON;2;Sylvie GONEAU;11;Maxime PEDNEAUD-JOBIN;77;Denis TASSÉ;31;1
5;BVA-05-3;Clément BÉLANGER;6;Rémi BERGERON;3;Sylvie GONEAU;13;Maxime PEDNEAUD-JOBIN;96;Denis TASSÉ;34;0
5;126;Clément BÉLANGER;6;Rémi BERGERON;5;Sylvie GONEAU;34;Maxime PEDNEAUD-JOBIN;48;Denis TASSÉ;33;2
5;127;Clément BÉLANGER;6;Rémi BERGERON;2;Sylvie GONEAU;27;Maxime PEDNEAUD-JOBIN;49;Denis TASSÉ;50;2
5;128;Clément BÉLANGER;4;Rémi BERGERON;5;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;42;Denis TASSÉ;49;3
5;129;Clément BÉLANGER;9;Rémi BERGERON;2;Sylvie GONEAU;25;Maxime PEDNEAUD-JOBIN;52;Denis TASSÉ;51;0
5;130;Clément BÉLANGER;3;Rémi BERGERON;1;Sylvie GONEAU;15;Maxime PEDNEAUD-JOBIN;38;Denis TASSÉ;21;5
5;BVA-05-4;Clément BÉLANGER;7;Rémi BERGERON;1;Sylvie GONEAU;8;Maxime PEDNEAUD-JOBIN;57;Denis TASSÉ;31;0
5;BVA-05-5;Clément BÉLANGER;8;Rémi BERGERON;3;Sylvie GONEAU;15;Maxime PEDNEAUD-JOBIN;31;Denis TASSÉ;44;1
5;BVA-05-6;Clément BÉLANGER;4;Rémi BERGERON;2;Sylvie GONEAU;10;Maxime PEDNEAUD-JOBIN;41;Denis TASSÉ;43;6
6;131;Clément BÉLANGER;9;Rémi BERGERON;5;Sylvie GONEAU;23;Maxime PEDNEAUD-JOBIN;77;Denis TASSÉ;27;2
6;132;Clément BÉLANGER;11;Rémi BERGERON;2;Sylvie GONEAU;12;Maxime PEDNEAUD-JOBIN;38;Denis TASSÉ;30;1
6;133;Clément BÉLANGER;8;Rémi BERGERON;0;Sylvie GONEAU;14;Maxime PEDNEAUD-JOBIN;64;Denis TASSÉ;40;1
6;134;Clément BÉLANGER;9;Rémi BERGERON;2;Sylvie GONEAU;19;Maxime PEDNEAUD-JOBIN;105;Denis TASSÉ;37;3
6;135;Clément BÉLANGER;12;Rémi BERGERON;5;Sylvie GONEAU;19;Maxime PEDNEAUD-JOBIN;98;Denis TASSÉ;38;3
6;136;Clément BÉLANGER;5;Rémi BERGERON;2;Sylvie GONEAU;24;Maxime PEDNEAUD-JOBIN;73;Denis TASSÉ;47;6
6;137;Clément BÉLANGER;9;Rémi BERGERON;3;Sylvie GONEAU;17;Maxime PEDNEAUD-JOBIN;99;Denis TASSÉ;51;3
6;138;Clément BÉLANGER;12;Rémi BERGERON;6;Sylvie GONEAU;22;Maxime PEDNEAUD-JOBIN;40;Denis TASSÉ;52;0
6;BVA-06-1;Clément BÉLANGER;4;Rémi BERGERON;4;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;141;Denis TASSÉ;48;5
6;BVA-06-2;Clément BÉLANGER;4;Rémi BERGERON;2;Sylvie GONEAU;12;Maxime PEDNEAUD-JOBIN;84;Denis TASSÉ;53;1
6;BVA-06-3;Clément BÉLANGER;2;Rémi BERGERON;2;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;56;Denis TASSÉ;30;0
