ï»¿objectid,sport,nom,adresse,url,photo,photo_360
107,skate,Parc Frank-Gauthier,"1201, 3e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
108,gymnase,Ãcole secondaire Val-Mauricie,"1700, rue de Val-Mauricie",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
109,skate,Parc Antoine-St-Onge,"2143, boulevard Royal",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,https://flic.kr/p/27wodv5
110,basket,Parc Alphonse-TrÃ©panier,"171, rue des Loisirs",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
111,basket,Parc Belgoville,Rue de Belgoville / Rue Ãmile-Jacob,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
112,jeux d'eau,Parc Florence-Lawless-Lacroix,10e et 11e Avenue / 13e et 14e Rue,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
113,piscine intÃ©rieure,Cegep de Shawinigan,"2263, avenue du CollÃ¨ge",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
114,vÃ©lo de montagne,Parc de l'Ãle-Melville/Parc des Chutes,"1700, Val-Mauricie",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
115,vÃ©lo de montagne,Sentier Thibaudeau-Ricard,Avenue Trudel,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
116,vÃ©lo de montagne,Parc national de la Mauricie,Chemin de Saint-Jean-des-Piles,https://www.pc.gc.ca/fr/pn-np/qc/mauricie/?utm_source=gmb&utm_medium=mauricie,,
120,skate,Parc de la RiviÃ¨re-Grand-MÃ¨re,"1090, 7e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
521,pickleball,Centre Ãmile-BÃ©dard,"540, 207e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
522,pickleball,Ãcole secondaire Val-Mauricie,"1700, rue de Val-Mauricie",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
523,jeux d'eau,Parc Paul-AndrÃ©-Potvin,200e Avenue / 209e Rue,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
524,jeux d'eau,Parc de la Plage-IdÃ©ale,"5790, Avenue du Tour-du-Lac",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
525,soccer,Parc de Sainte-Flore,"3531, rue Riopelle",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
526,volley,Parc de Sainte-Flore,"3531, rue Riopelle",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
121,pickleball extÃ©rieur,Parc de l'Ãle-Melville,Avenue Melville,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
530,soccer,Parc Alphonse-DÃ©saulniers,"219, 201e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
