an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC3120,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC4020,PRC4220
2020,2019,AR590,Marguerite-D'Youville,0.012400,4197.000000,3939.000000,3525.000000,3152.000000,0.782500,0.626600,0.155900,0.014100,0.022200,0.181200,0.280600,0.575900,0.044900,0.016500,5553.000000,5212.000000,0.155100,0.297300,0.836000,2238.000000
2020,2019,AR600,L'Assomption,0.015200,4485.000000,3812.000000,3836.000000,3108.000000,0.813600,0.628800,0.184800,0.022200,0.018900,0.145300,0.150700,0.546000,0.036200,0.022100,6539.000000,5558.000000,0.183400,0.405500,1.140300,2603.000000
2020,2019,AR610,Joliette,0.017900,4660.000000,3605.000000,2949.000000,2237.000000,0.600000,0.459200,0.140800,0.031600,0.033600,0.334800,0.217600,0.601400,0.048300,0.025400,6636.000000,5135.000000,0.187200,0.344100,1.006300,1618.000000
2020,2019,AR620,Matawinie,0.012700,1589.000000,2513.000000,1307.000000,1920.000000,0.802100,0.594800,0.207300,0.019400,0.057800,0.120700,0.182400,0.619500,0.070600,0.016700,2092.000000,3308.000000,0.146500,0.336500,0.949000,1687.000000
2020,2019,AR630,Montcalm,0.012900,2313.000000,2923.000000,2007.000000,2268.000000,0.775700,0.568600,0.207100,0.014800,0.066200,0.143300,0.245600,0.652200,0.072800,0.018700,3335.000000,4215.000000,0.182000,0.340000,0.977800,1705.000000
2020,2019,AR640,Les Moulins,0.017000,5165.000000,4866.000000,4339.000000,3832.000000,0.784500,0.620800,0.163700,0.022000,0.019200,0.174300,0.147000,0.638000,0.037200,0.034100,10360.000000,9760.000000,0.237400,0.446300,1.169800,2920.000000
2020,2019,AR651,Hors MRC - Laval,0.016400,6372.000000,5183.000000,5307.000000,3946.000000,0.690600,0.589400,0.101200,0.019000,0.030100,0.260400,0.182000,0.608100,0.050600,0.012500,4851.000000,3946.000000,0.131900,0.228100,0.995200,2581.000000
2020,2019,AR661,Hors MRC - Montreal,0.022200,13730.000000,6750.000000,8387.000000,4039.000000,0.519200,0.500900,0.018300,0.039100,0.056100,0.385600,0.123100,0.636200,0.093000,0.028200,17432.000000,8569.000000,0.222300,0.455900,0.898800,2218.000000
2020,2019,AR670,Roussillon,0.014600,4558.000000,4208.000000,3893.000000,3370.000000,0.764200,0.607000,0.157200,0.017600,0.023000,0.195200,0.238000,0.638700,0.053000,0.023100,7240.000000,6684.000000,0.175300,0.323900,1.034600,2680.000000
2020,2019,AR680,Les Jardins-de-Napierville,0.010000,3019.000000,3230.000000,2556.000000,2569.000000,0.776600,0.622600,0.154000,0.011800,0.049100,0.162500,0.449900,0.661400,0.038200,0.008200,2488.000000,2661.000000,0.128800,0.229100,0.745000,1606.000000
2020,2019,AR690,Le Haut-Saint-Laurent,0.009300,2140.000000,2632.000000,1643.000000,1928.000000,0.738100,0.558900,0.179200,0.010700,0.153300,0.098000,0.491800,0.709700,0.062200,0.006400,1480.000000,1821.000000,0.142000,0.268400,0.674200,1255.000000
2020,2019,AR700,Beauharnois-Salaberry,0.018600,4613.000000,3942.000000,3698.000000,2911.000000,0.750800,0.533700,0.217100,0.029400,0.027300,0.192500,0.122200,0.612500,0.041200,0.037100,9217.000000,7878.000000,0.216300,0.438900,1.205200,1988.000000
2020,2019,AR710,Vaudreuil-Soulanges,0.012600,4031.000000,4180.000000,3370.000000,3261.000000,0.788500,0.632100,0.156500,0.017100,0.052000,0.142400,0.245400,0.622600,0.049800,0.018600,5945.000000,6164.000000,0.171600,0.312700,0.892300,2531.000000
2020,2019,AR720,Deux-Montagnes,0.015200,4380.000000,3751.000000,3401.000000,2729.000000,0.716900,0.547000,0.169900,0.020000,0.069500,0.193600,0.149200,0.545700,0.054200,0.018100,5215.000000,4466.000000,0.161600,0.290600,0.994400,2237.000000
2020,2019,AR730,Therese-De Blainville,0.015400,5710.000000,4735.000000,4570.000000,3573.000000,0.735400,0.575400,0.159900,0.023800,0.021400,0.219400,0.165400,0.564900,0.032200,0.024400,9010.000000,7471.000000,0.196400,0.397000,0.965300,2623.000000
2020,2019,AR741,Hors MRC - Mirabel,0.011700,3900.000000,3760.000000,2998.000000,2625.000000,0.684600,0.563500,0.121100,0.022800,0.034100,0.258500,0.124400,0.631400,0.043300,0.013400,4445.000000,4286.000000,0.155900,0.211000,0.621700,1537.000000
2020,2019,AR750,La Riviere-du-Nord,0.015100,3409.000000,3203.000000,2889.000000,2525.000000,0.774800,0.623100,0.151700,0.037800,0.037800,0.149500,0.149100,0.586200,0.041200,0.020000,4516.000000,4242.000000,0.217100,0.412500,1.036100,1971.000000
