an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003
2020,2020,06035,Ristigouche-Partie-Sud-Est,CT,164,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,13444000.000000,,13444000.000000,,10812200.000000,,472500.000000,,358400.000000,,1800900.000000,,0.804200,,0.035100,,0.026700,,0.134000,,114031.000000,92678.000000,57948.000000,,43.000000,232.000000,
2020,2020,06040,Saint-Andre-de-Restigouche,M,155,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,11671761.000000,,11671761.000000,,7029630.000000,,1033743.000000,,1739592.000000,,1868796.000000,,0.602300,,0.088600,,0.149000,,0.160100,,63495.000000,58889.000000,40247.000000,,30.000000,290.000000,
2020,2020,06045,Matapedia,M,618,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,51610627.525000,,37609266.800000,,28990778.000000,,3120043.800000,,1763945.000000,,3734500.000000,,0.770800,,0.083000,,0.046900,,0.099300,,93874.000000,77178.000000,104475.000000,,78.000000,494.000000,
2020,2020,06050,Saint-Alexis-de-Matapedia,M,498,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,29180694.480000,,28612326.000000,,21753540.000000,,1151274.000000,,3053472.000000,,2654040.000000,,0.760300,,0.040200,,0.106700,,0.092800,,79884.000000,69377.000000,56117.000000,,42.000000,520.000000,
2020,2020,06055,Saint-Francois-d'Assise,M,631,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,34642781.000000,,33759100.000000,,27087700.000000,,1154700.000000,,835200.000000,,4681500.000000,,0.802400,,0.034200,,0.024700,,0.138700,,78793.000000,69334.000000,54045.000000,,40.000000,641.000000,
2020,2020,06060,L'Ascension-de-Patapedia,M,163,1 @ 1 999,AR060,Avignon,11,Gaspesie--Iles-de-la-Madeleine,,,12276300.000000,,12225500.000000,,5885000.000000,,2351200.000000,,2181000.000000,,1808300.000000,,0.481400,,0.192300,,0.178400,,0.147900,,52127.000000,51195.000000,49501.000000,,37.000000,248.000000,
2020,2020,07005,Sainte-Marguerite-Marie,M,168,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,11835886.500000,,11835100.000000,,5977100.000000,,5807500.000000,,,,50500.000000,,0.505000,,0.490700,,,,0.004300,,62805.000000,56821.000000,49112.000000,,37.000000,241.000000,
2020,2020,07010,Sainte-Florence,M,366,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,22023048.000000,,21996474.000000,,12129383.000000,,8185101.000000,,1462909.000000,,219081.000000,,0.551400,,0.372100,,0.066500,,0.010000,,70208.000000,56986.000000,61517.000000,,46.000000,358.000000,
2020,2020,07018,Causapscal,V,2273,2 000 @ 9 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,136127707.995000,,128035225.900000,,89844994.000000,,28129422.900000,,8512900.000000,,1547909.000000,,0.701700,,0.219700,,0.066500,,0.012100,,99830.000000,80122.000000,100315.000000,,47.000000,1357.000000,
2020,2020,07025,Albertville,M,227,1 @ 1 999,AR070,La Matapedia,01,Bas-Saint-Laurent,,,21678936.620000,,21476766.000000,,8339974.000000,,9981066.000000,,2960686.000000,,195040.000000,,0.388300,,0.464700,,0.137900,,0.009100,,66640.000000,58380.000000,58120.000000,,43.000000,373.000000,
