quest,ville,codep,rta,arron,debut,mess1,q1,q2_m1,q2_m2,q2_m3,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_m1,q14_m2,q14_m3,q15,q16,q17,q18,q19,q20,q20a,q21,q22,q23,q24,q25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,pond
01521,MONTREAL,H4E1J4,H4E,5,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,2,1,4,3,0,1,6,2,1,2,2,2,1,1,1,2,1,2,1,2, ,.98007152863766
01525,MONTREAL-NORD,H1H5V3,H1H,14,1,1,1,2, , ,4,2,2,2,2,2,2,2,1,9,1, , , ,3,6,3,4,4,6,1,1,9,2,1,1,1,3,4,2,3,2,1,2,1,1,3,.76672607558491
01532,MONTREAL,H1B3N2,H1B,17,1,1,1,2, , ,2,1,2,2,2,1,1,2,2,2,2, , , ,2,1,2,2,2,2,2,1,6,2,1,1,1,2,1,1,2,1,1,2,1,1,1,.98007152863766
01533,MONTREAL,H2N1S3,H2N,9,1,1,1,2, , ,2,1,2,2,2,2,3,1,1,1,2, , , ,1,1,4,1,4,2,2,2,4,2,1,2,2,1,1,3,1,2,2,2,1,1,1,2.16279574167529
01535,MONTREAL,H1E1V6,H1E,3,1,1,2, , , , , , , , , , , , , , ,1,13,14,4,4,4,2,4,1, ,1,9,2,1,1,1,4,3,3,2,2,1,2,1,2, ,.71318334403313
01557,MONTREAL,H3M1Z2,H3M,9,1,1,2, , , , , , , , , , , , , , ,5, , ,2,6,3,1,1,3,2,2,9,2,2,2,2,2,4,2,1,1,2,2,2,2, ,.98007152863766
01560,WESTMOUNT,H3Z2E8,H3Z,8,1,1,1,5, , ,3,1,2,2,2,2,2,2,2,1,1, , , ,4,4,4,4,4,99,99,1,5,2,2,2,2,4,3,3,3,2,1,2,2,1,2,.71318334403313
01561,MONTREAL,H1E5W8,H1E,3,1,1,2, , , , , , , , , , , , , , ,5,4, ,2,5,2,1,4,3,2,2,4,2,1,1,1,2,4,1,1,2,2,2,1,2, ,.98007152863766
01565,MONTREAL,H2T3A2,H2T,2,1,1,1,1, , ,3,2,2,2,2,2,1,2,2,1,2, , , ,2,2,3,4,3,2,0,2,1,2,2,2,2,2,1,2,3,1,2,2,2,1,2,.98007152863766
01579,SAINT-LEONARD,H1P1G8,H1P,15,1,1,1,2, , ,4,1,2,2,2,2,1,2,2,1,2, , , ,4,4,4,2,4,2,0,1,6,1,1,1,1,4,3,3,2,2,1,1,1,1,3,.56147799073084
01581,MONTREAL,H2X2T2,H2X,2,1,1,2, , , , , , , , , , , , , , ,97, , ,3,1,4,2,4,2,0,1,5,2,1,2,2,3,1,3,2,2,1,2,1,2, ,.76672607558491
01585,MONTREAL,H1L2W1,H1L,13,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,2,1,4,2,2,1,9,1,1,1,1,2,1,1,1,2,1,1,1,2, ,.91357010076408
01588,MONTREAL,H2E,H2E,6,1,1,2, , , , , , , , , , , , , , ,13, , ,4,6,9,2,4,1, ,1,9,2,1,2,2,4,4, ,2,2,1,2,1,2, ,.71318334403313
01589,MONTREAL,H4C3A4,H4C,5,1,1,1,2, , ,1,1,2,2,2,1,1,2,2,1,1, , , ,1,1,3,1,2,2,0,1,9,2,1,2,2,1,1,2,1,1,1,2,1,1,1,2.16279574167529
01594,KIRKLAND,H9J3V5,H9J,21,1,1,1,2, , ,3,4,2,2,2,2,3,1,2,1,1, , , ,2,5,3,1,4,2,2,1,9,2,2,3,3,2,4,2,1,2,1,2,2,1,2,.98007152863766
01596,MONTREAL,H1E5Y9,H1E,3,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,1,4,1, ,1,4,1,1,1,1,2,1,3,1,2,1,1,1,2, ,.91357010076408
01600,DORVAL,H9S3T7,H9S,20,1,1,1,2, , ,2,4,1,2,2,1,3,1,2,1,1, , , ,3,4,3,2,4,2,0,1,9,1,2,3,3,3,3,2,2,2,1,1,2,1,1,.81856585972332
01601,MONTREAL,H3L2L3,H3L,9,1,1,1,2, , ,3,1,2,2,2,2,2,1,2,1,1, , , ,3,1,4,2,4,2,0,1,6,2,1,2,2,3,1,3,2,2,1,2,1,1,2,.76672607558491
01604,MONTREAL,H1W2T6,H1W,13,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,1,1,4,1, ,2,9,2,1,1,1,4,3,1,1,2,2,2,1,2, ,.71318334403313
01605,MONTREAL,H1Y3C5,H1Y,4,1,1,1,2, , ,2,1,2,2,2,2,1,1,2,1,1, , , ,2,1,3,1,4,3,1,1,6,1,1,2,2,2,1,2,1,2,1,1,1,1,1,.91357010076408
01606,SAINT-LEONARD,H1R1T6,H1R,15,1,1,2, , , , , , , , , , , , , , ,3, , ,4,4,3,4,4,1, ,2,9,1,1,1,1,4,3,2,3,2,2,1,1,2, ,.56147799073084
01607,VERDUN,H4H2E8,H4H,7,1,1,2, , , , , , , , , , , , , , ,3,13, ,4,4,1,2,4,1, ,1,9,2,1,2,2,4,3,1,2,2,1,2,1,2, ,.71318334403313
01614,MONTREAL-NORD,H1H4B2,H1H,14,1,1,2, , , , , , , , , , , , , , ,1, , ,1,1,1,4,2,3,0,2,9,2,1,1,1,1,1,1,3,1,2,2,1,2, ,2.16279574167529
01618,ANJOU,H1K3A1,H1K,10,1,1,1,2, , ,3,2,1,2,2,2,2,1,2,9,1, , , ,4,4,3,4,4,1, ,2,1,2,1,1,1,4,3,2,3,2,2,2,1,1,2,.71318334403313
01632,MONTREAL,H2J3B2,H2J,2,1,1,1,1, , ,3,3,2,2,2,1,1,2,2,1,1, , , ,3,1,4,1,4,2,0,1,3,2,1,2,2,3,1,3,1,2,1,2,1,1,2,.76672607558491
01639,MONTREAL,H1C2E7,H1C,3,1,1,2, , , , , , , , , , , , , , ,1,5,4,4,4,4,2,4,1, ,2,9,2,1,1,1,4,3,3,2,2,2,2,1,2, ,.71318334403313
01642,MONTREAL-NORD,H1H2L9,H1H,14,1,1,2, , , , , , , , , , , , , , ,2,15, ,3,1,2,2,4,2,0,2,9,2,1,1,1,3,1,1,2,2,2,2,1,2, ,.76672607558491
01647,MONTREAL,H1Y2V6,H1Y,4,1,1,1,2,1, ,4,1,2,2,2,1,4,1,2,1,1, , , ,1,1,4,1,4,1, ,2,3,2,1,2,2,1,1,3,1,2,2,2,1,1,3,2.16279574167529
01651,MONTREAL,H1W3A6,H1W,13,1,1,1,2, , ,2,4,2,2,2,2,1,1,2,1,1, , , ,3,6,1,1,4,1, ,2,9,1,1,1,1,3,4,1,1,2,2,1,1,1,1,.81856585972332
01658,OUTREMONT,H2V3W7,H2V,1,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,2,1,4,2,2,2,9,2,1,2,2,2,1,1,1,2,2,2,1,2, ,.98007152863766
01662,MONTREAL,H1L6E3,H1L,13,1,1,1,1, , ,1,3,2,2,2,2,2,1,1,1,2, , , ,1,3,2,1,4,3,0,2,3,2,1,1,1,1,2,1,1,2,2,2,1,1,1,2.16279574167529
01663,WESTMOUNT,H3Z2G5,H3Z,8,1,1,2, , , , , , , , , , , , , , ,97, , ,4,4,4,4,4,1, ,2,9,2,1,2,2,4,3,3,3,2,2,2,1,2, ,.71318334403313
01666,ANJOU,H1K1M8,H1K,10,1,1,1,2, , ,4,1,2,2,2,2,1,1,2,1,1, , , ,3,6,4,1,4,3,1,1,6,1,1,1,1,3,4,3,1,2,1,1,1,1,3,.81856585972332
01668,SAINT-LEONARD,H1T2J5,H1T,4,1,1,2, , , , , , , , , , , , , , ,4, , ,2,2,3,1,4,1, ,2,4,2,1,2,2,2,1,2,1,2,2,2,1,2, ,.98007152863766
01671,VERDUN,H4H2A6,H4H,7,1,1,1,2, , ,2,1,2,2,2,2,2,1,2,1,2, , , ,2,5,4,1,4,2,2,2,6,1,1,2,2,2,4,3,1,2,2,1,1,1,1,.91357010076408
01676,MONT-ROYAL,H3P3G6,H3P,33,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,4,4,2,1, ,2,2,2,1,2,2,4,3,3,3,1,2,2,1,2, ,.71318334403313
01678,MONTREAL,H1E7B2,H1E,3,1,1,1,2, , ,4,2,2,2,2,2,3,2,2,1,1, , , ,2,1,2,1,4,3,1,1,6,1,1,1,1,2,1,1,1,2,1,1,1,1,3,.91357010076408
01681,MONTREAL,H1X2K7,H1X,4,1,1,2, , , , , , , , , , , , , , ,7,1, ,4,4,1,4,4,1, ,2,9,2,1,2,2,4,3,1,3,2,2,2,1,2, ,.71318334403313
01682,MONTREAL,H2A1N1,H2A,6,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,3,4,4,2,0,2,4,2,1,2,2,2,1,2,3,2,2,2,1,2, ,.98007152863766
01686,MONTREAL,H1E6N1,H1E,3,1,1,1,1, , ,2,1,2,2,2,2,1,2,2,1,1, , , ,3,4,4,2,4,2,0,1,9,2,1,1,1,3,3,3,2,2,1,2,1,1,1,.76672607558491
01690,MONTREAL,H2M2M9,H2M,9,1,1,2, , , , , , , , , , , , , , ,99, , ,3,1,4,1,4,1, ,1,4,1,1,2,2,3,1,3,1,2,1,1,1,2, ,.81856585972332
01695,MONTREAL,H1A1L2,H1A,3,1,1,2, , , , , , , , , , , , , , ,15,9, ,3,6,2,1,4,3,0,1,4,2,1,1,1,3,4,1,1,2,1,2,1,2, ,.76672607558491
01696,LASALLE,H8N2G3,H8N,12,1,1,2, , , , , , , , , , , , , , ,99, , ,2,4,1,2,3,1, ,2,1,1,1,3,3,2,3,1,2,1,2,1,1,2, ,.91357010076408
01699,MONTREAL,H1W1M3,H1W,13,1,1,2, , , , , , , , , , , , , , ,3,12, ,3,1,2,1,4,1, ,2,5,2,1,1,1,3,1,1,1,2,2,2,1,2, ,.76672607558491
01700,MONTREAL,H1A5J4,H1A,3,1,1,2, , , , , , , , , , , , , , ,1,4, ,3,1,2,2,4,2,0,1,3,1,1,1,1,3,1,1,2,2,1,1,1,2, ,.81856585972332
01717,MONTREAL,H2B2A1,H2B,9,1,1,1,2, , ,1,1,1,2,2,2,2,2,1,1,1, , , ,2,1,4,4,2,2,2,2,3,1,1,2,2,2,1,3,3,1,2,1,1,1,1,.91357010076408
01721,MONTREAL,H1M1Z4,H1M,13,1,1,2, , , , , , , , , , , , , , ,1, , ,1,3,3,1,4,3,0,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2, ,2.30148156975812
01724,MONTREAL,H4A2N6,H4A,11,1,1,1,2, , ,2,1,2,2,2,2,2,2,2,1,2, , , ,4,4,3,4,4,2,0,1,2,1,2,2,2,4,3,2,3,2,1,1,2,1,1,.56147799073084
01730,DOLLARD-DES-ORMEAUX,H9B2T8,H9B,19,1,1,1,2, , ,3,3,1,2,2,2,2,1,2,1,2, , , ,1,1,4,4,4,6,1,1,6,2,1,3,3,1,1,3,3,2,1,2,1,1,2,2.16279574167529
01739,MONTREAL,H1N3C4,H1N,13,1,1,2, , , , , , , , , , , , , , ,1, , ,4,4,2,2,4,1, ,2,3,1,1,1,1,4,3,1,2,2,2,1,1,2, ,.56147799073084
01742,POINTE-AUX-TREMBLES,H1A5R1,H1A,3,1,1,2, , , , , , , , , , , , , , ,18, , ,2,6,4,1,4,2,4,1,6,2,1,1,1,2,4,3,1,2,1,2,1,2, ,.98007152863766
01745,MONTREAL,H2N1X3,H2N,9,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,2,2,4,2,0,2,2,2,1,2,2,4,3,1,2,2,2,2,1,2, ,.71318334403313
01751,PIERREFONDS,H9J2A6,H9J,21,1,1,1,2,1, ,4,3,1,2,1,1,4,2,1,1,1, , , ,2,1,3,2,4,4,1,1,6,2,1,3,3,2,1,2,2,2,1,2,1,1,3,.98007152863766
01759,MONTREAL,H2L2W2,H2L,16,1,1,2, , , , , , , , , , , , , , ,13, , ,4,4,2,1,4,2,0,1,2,1,1,2,2,4,3,1,1,2,1,1,1,2, ,.56147799073084
01762,MONTREAL,H3M2Z9,H3M,9,1,1,1,1,3, ,4,1,1,2,2,2,4,2,2,9,1, , , ,3,2,4,1,4,2,0,1,3,2,1,2,2,3,1,3,1,2,1,2,1,1,3,.76672607558491
01764,MONTREAL,H4R1T3,H4R,27,1,1,2, , , , , , , , , , , , , , ,1, , ,1,2,4,4,3,4,2,1,6,2,1,3,3,1,1,3,3,1,1,2,1,2, ,2.16279574167529
01769,MONTREAL,H2R2A3,H2R,6,1,1,1,2, , ,4,1,1,2,2,1,2,2,2,1,1, , , ,4,4,1,4,4,2,0,1,9,1,1,2,2,4,3,1,3,2,1,1,1,1,3,.56147799073084
01775,PIERREFONDS,H9H4V4,H9H,26,1,1,1,2, , ,2,1,2,2,2,2,2,1,2,1,2, , , ,1,1,4,1,3,2,2,1,6,2,1,3,3,1,1,3,1,1,1,2,1,1,1,2.16279574167529
01784,SAINT-LAURENT,H4R3L1,H4R,27,1,1,1,3, , ,2,1,2,2,2,1,1,2,2,1,2, , , ,2,1,4,4,2,3,0,1,6,2,2,3,3,2,1,3,3,1,1,2,2,1,1,.98007152863766
01785,MONTREAL,H1V2N8,H1V,13,1,1,1,5, , ,2,3,2,2,2,2,3,1,1,1,1, , , ,2,3,4,1,4,2,0,2,3,1,1,1,1,2,2,3,1,2,2,1,1,1,1,.91357010076408
01791,MONTREAL-NORD,H1H5E3,H1H,14,1,1,2, , , , , , , , , , , , , , ,5, , ,2,2,2,2,2,2,0,2,9,2,1,1,1,2,1,1,2,1,2,2,1,2, ,.98007152863766
01793,L'ILE-BIZARD,H9C1V8,H9C,26,1,1,1,2, , ,2,1,2,2,2,2,1,2,2,1,2, , , ,2,1,4,2,4,2,2,1,6,1,1,3,3,2,1,3,2,2,1,1,1,1,1,.91357010076408
01795,SAINT-LEONARD,H1R2W9,H1R,15,1,1,1,2, , ,2,1,2,2,2,2,1,2,2,1,2, , , ,2,1,4,4,4,3,0,1,6,1,1,1,1,2,1,3,3,2,1,1,1,1,1,.91357010076408
01803,MONTREAL,H4A3G2,H4A,11,1,1,1,2,1, ,4,1,1,2,1,2,1,2,2,1,1, , , ,4,4,4,1,4,1, ,1,9,2,1,2,2,4,3,3,1,2,1,2,1,1,3,.71318334403313
01813,SAINT-LEONARD,H1R1R5,H1R,15,1,1,1,2, , ,3,1,2,2,2,2,1,2,2,9,1, , , ,2,1,2,1,4,3,1,1,6,1,1,1,1,2,1,1,1,2,1,1,1,1,2,.91357010076408
01814,PIERREFONDS,H8Z2X8,H8Z,25,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,3,4,4,2,0,2,9,2,2,3,3,4,3,2,3,2,2,2,2,2, ,.71318334403313
01821,MONTREAL,H2M2C6,H2M,9,1,1,2, , , , , , , , , , , , , , ,13,12, ,4,4,4,2,4,1, ,2,9,2,1,2,2,4,3,3,2,2,2,2,1,2, ,.71318334403313
01827,LACHINE,H8R1M6,H8R,28,1,1,2, , , , , , , , , , , , , , ,4,1,2,3,1,3,1,4,4,0,1,4,1,1,3,3,3,1,2,1,2,1,1,1,2, ,.81856585972332
01828,COTE SAINT-LUC,H4V1G3,H4V,18,1,1,2, , , , , , , , , , , , , , ,99, , ,3,2,4,1,4,1, ,2,9,1,2,3,3,3,1,3,1,2,2,1,2,2, ,.81856585972332
01833,SAINT-LAURENT,H4R3K2,H4R,27,1,1,2, , , , , , , , , , , , , , ,4, , ,2,4,3,1,4,2,3,1,9,2,2,3,3,2,3,2,1,2,1,2,2,2, ,.98007152863766
01834,MONTREAL,H2T2T4,H2T,2,1,1,1,1, , ,3,4,2,2,2,2,1,2,2,2,2, , , ,2,5,4,1,4,1, ,1,1,1,1,2,2,2,4,3,1,2,1,1,1,1,2,.91357010076408
01838,MONTREAL,H4J2N3,H4J,9,1,1,1,5, , ,1,2,2,2,2,2,2,1,2,1,1, , , ,1,3,2,3,4,3,5,2,9,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2.16279574167529
01851,MONTREAL,H1X2E4,H1X,4,1,1,2, , , , , , , , , , , , , , ,1, , ,4,2,4,2,4,1, ,2,3,2,1,2,2,4,1,3,2,2,2,2,1,2, ,.71318334403313
01856,MONTREAL,H3L3H6,H3L,9,1,1,2, , , , , , , , , , , , , , ,1,4,97,3,4,4,2,4,1, ,1,5,2,1,2,2,3,3,3,2,2,1,2,1,2, ,.76672607558491
01863,MONTREAL,H2B2S1,H2B,9,1,1,2, , , , , , , , , , , , , , ,3, , ,3,1,3,1,4,2,0,1,6,1,1,2,2,3,1,2,1,2,1,1,1,2, ,.81856585972332
01864,MONTREAL,H1C1K6,H1C,3,1,1,2, , , , , , , , , , , , , , ,1,3, ,1,3,4,1,4,2,1,2,3,2,1,1,1,1,2,3,1,2,2,2,1,2, ,2.16279574167529
01867,MONTREAL,H1H1J5,H1H,14,1,1,1,2, , ,2,9,2,2,2,2,3,2,2,1,1, , , ,4,4,3,1,4,1, ,2,1,2,1,1,1,4,3,2,1,2,2,2,1,1,1,.71318334403313
01868,VERDUN,H4H2E5,H4H,7,1,1,2, , , , , , , , , , , , , , ,13, , ,4,4,2,1,4,1, ,2,9,2,2,2,2,4,3,1,1,2,2,2,2,2, ,.71318334403313
01869,MONTREAL,H3V1E6,H3V,11,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,3,1,4,2,0,2,2,2,1,2,2,4,3,2,1,2,2,2,1,2, ,.71318334403313
01872,MONTREAL,H2L3G4,H2L,16,1,1,1,2, , ,1,1,2,2,2,2,1,1,2,1,1, , , ,1,1,3,2,2,2,0,2,3,2,1,2,2,1,1,2,2,1,2,2,1,1,1,2.16279574167529
01876,DOLLARD-DES-ORMEAUX,H8Y,H8Y,25,1,1,1,1, , ,4,1,2,2,2,2,1,2,2,1,1, , , ,4,4,4,4,4,2,0,1,9,2,1,3,3,4,3,3,3,2,1,2,1,1,3,.71318334403313
01878,MONTREAL,H2L3T6,H2L,16,1,1,1,1, , ,2,3,2,2,2,1,1,2,1,1,1, , , ,1,2,4,1,3,2,0,2,9,2,1,2,2,1,1,3,1,1,2,2,1,1,1,2.16279574167529
01889,MONTREAL,H1T3G7,H1T,4,1,1,2, , , , , , , , , , , , , , ,4, , ,3,1,2,1,4,1, ,2,2,2,1,2,2,3,1,1,1,2,2,2,1,2, ,.76672607558491
01891,MONTREAL,H1A3X7,H1A,3,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,1,4,2,0,2,5,2,1,1,1,3,1,1,1,2,2,2,1,2, ,.76672607558491
01899,MONTREAL,H1N2R4,H1N,13,1,1,2, , , , , , , , , , , , , , ,11,97, ,4,4,1,2,4,1, ,2,1,1,1,1,1,4,3,1,2,2,2,1,1,2, ,.56147799073084
01914,MONTREAL,H1Y3E9,H1Y,4,1,1,1,1, , ,1,3,2,2,2,1,2,2,2,1,1, , , ,3,4,1,1,4,5,0,2,1,2,1,2,2,3,3,1,1,2,2,2,1,1,1,.76672607558491
01925,BEACONSFIELD,H9W4W1,H9W,30,1,1,2, , , , , , , , , , , , , , ,12,97, ,4,2,4,1,4,1, ,1,4,1,2,3,3,4,1,3,1,2,1,1,2,2, ,.56147799073084
01931,MONTREAL-NORD,H1H3M4,H1H,14,1,1,2, , , , , , , , , , , , , , ,4, , ,1,3,1,1,4,3,1,2,3,1,1,1,1,1,2,1,1,2,2,1,1,2, ,2.30148156975812
01946,MONTREAL,H2C1T1,H2C,9,1,1,2, , , , , , , , , , , , , , ,5,3, ,2,1,3,1,4,1, ,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2, ,.91357010076408
01948,MONTREAL,H8N1Z9,H8N,12,1,1,2, , , , , , , , , , , , , , ,18, , ,1,3,2,4,2,2,2,2,3,2,1,3,3,1,2,1,3,1,2,2,1,2, ,2.16279574167529
01961,MONTREAL,H1L4N2,H1L,13,1,1,1,2, , ,1,3,1,2,2,1,3,1,1,1,1, , , ,2,1,4,3,4,2,2,1,6,2,1,1,1,2,1,3,2,2,1,2,1,1,1,.98007152863766
01970,MONTREAL,H4E2T8,H4E,5,1,1,2, , , , , , , , , , , , , , ,4,97, ,3,1,2,4,4,3,0,1,6,2,1,2,2,3,1,1,3,2,1,2,1,2, ,.76672607558491
01971,VERDUN,H3E1W1,H3E,7,1,1,2, , , , , , , , , , , , , , ,97, , ,1,1,4,2,3,1, ,1,9,2,1,2,2,1,1,3,2,1,1,2,1,2, ,2.16279574167529
01990,LACHINE,H8T3J6,H8T,28,1,1,1,5, , ,4,2,1,2,2,2,1,1,2,1,1, , , ,4,4,4,1,4,1, ,1,2,2,1,3,3,4,3,3,1,2,1,2,1,1,3,.71318334403313
01996,MONTREAL,H2E1A2,H2E,6,1,1,2, , , , , , , , , , , , , , ,11, , ,1,3,2,1,4,4,0,2,5,1,1,2,2,1,2,1,1,2,2,1,1,2, ,2.30148156975812
01997,MONTREAL-NORD,H1G5G2,H1G,14,1,1,1,2, , ,4,2,2,2,1,1,2,1,1,1,1, , , ,3,6,2,4,4,2,0,1,9,2,2,1,1,3,4,1,3,2,1,2,2,1,3,.76672607558491
02001,MONTREAL,H1H4Y7,H1H,14,1,1,1,2, , ,1,1,1,2,1,1,1,2,2,1,1, , , ,2,6,2,4,2,2,1,1,2,2,1,1,1,2,4,1,3,1,1,2,1,1,1,.98007152863766
02008,MONTREAL,H2S3P9,H2S,4,1,1,2, , , , , , , , , , , , , , ,1,3, ,4,4,1,4,4,1, ,2,1,2,1,2,2,4,3,1,3,2,2,2,1,2, ,.71318334403313
02011,OUTREMONT,H2V3S4,H2V,1,1,1,2, , , , , , , , , , , , , , ,5, , ,3,1,4,4,4,4,0,1,6,1,1,2,2,3,1,3,3,2,1,1,1,2, ,.81856585972332
02015,SAINT-LAURENT,H4N1P9,H4N,27,1,1,2, , , , , , , , , , , , , , ,4,5, ,3,1,4,4,3,3,0,2,3,2,1,3,3,3,1,3,3,1,2,2,1,2, ,.76672607558491
02035,VERDUN,H4G1A9,H4G,7,1,1,2, , , , , , , , , , , , , , ,1,4, ,4,4,2,1,4,2,0,1,9,2,1,2,2,4,3,1,1,2,1,2,1,2, ,.71318334403313
02036,POINTE-CLAIRE,H9S4Y3,H9S,20,1,1,1,2, , ,4,4,1,2,2,2,2,2,2,1,1, , , ,4,4,4,4,4,1, ,1,9,2,2,3,3,4,3,3,3,2,1,2,2,1,3,.71318334403313
02040,MONTREAL,H3K1K8,H3K,5,1,1,1,1,5, ,4,2,2,2,2,1,3,1,2,9,2, , , ,1,6,4,1,4,2,2,1,5,2,1,2,2,1,4,3,1,2,1,2,1,1,3,2.16279574167529
02043,MONTREAL,H1Z3G4,H1Z,6,1,1,2, , , , , , , , , , , , , , ,4,5, ,1,1,2,4,4,2,2,2,9,2,1,2,2,1,1,1,3,2,2,2,1,2, ,2.16279574167529
02044,MONTREAL,H1Y3P5,H1Y,4,1,1,2, , , , , , , , , , , , , , ,5,3, ,4,4,2,2,4,1, ,2,2,2,1,2,2,4,3,1,2,2,2,2,1,2, ,.71318334403313
02045,MONTREAL,H4E1Y1,H4E,5,1,1,2, , , , , , , , , , , , , , ,19, , ,2,1,9,2,4,2,0,2,9,2,1,2,2,2,1, ,2,2,2,2,1,2, ,.98007152863766
02052,DORVAL,H9P2E3,H9P,20,1,1,1,2, , ,3,9,1,2,2,1,1,1,1,2,1, , , ,2,1,3,1,4,3,0,1,1,2,2,3,3,2,1,2,1,2,1,2,2,1,2,.98007152863766
02068,MONTREAL,H2X1V4,H2X,2,1,1,2, , , , , , , , , , , , , , ,4,97, ,2,1,4,1,4,1, ,2,9,1,1,2,2,2,1,3,1,2,2,1,1,2, ,.91357010076408
02076,DOLLARD-DES-ORMEAUX,H9B2R6,H9B,19,1,1,1,2, , ,3,2,2,2,2,2,2,2,2,9,2, , , ,2,1,3,4,4,3,2,1,5,2,2,3,3,2,1,2,3,2,1,2,2,1,2,.98007152863766
02092,MONTREAL,H1E7L6,H1E,3,1,1,1,2, , ,3,1,2,2,2,2,1,2,2,1,1, , , ,2,1,2,1,4,2,0,1,9,1,1,1,1,2,1,1,1,2,1,1,1,1,2,.91357010076408
02094,MONTREAL,H4E1W2,H4E,5,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,2,1,4,2,0,2,6,2,1,2,2,3,1,1,1,2,2,2,1,2, ,.76672607558491
02096,MONTREAL,H2H2B3,H2H,2,1,1,1,3, , ,2,1,2,2,2,2,1,2,2,1,2, , , ,4,4,4,4,4,5,0,1,3,1,1,2,2,4,3,3,3,2,1,1,1,1,1,.56147799073084
02100,LASALLE,H8P1J4,H8P,12,1,1,1,2, , ,1,1,2,2,2,2,1,2,2,1,1, , , ,2,1,4,4,4,5,1,1,9,2,2,3,3,2,1,3,3,2,1,2,2,1,1,.98007152863766
02105,SAINT-MICHEL,H2E,H2E,6,1,1,2, , , , , , , , , , , , , , ,5, , ,1,3,2,1,4,2,0,1,9,1,1,2,2,1,2,1,1,2,1,1,1,2, ,2.30148156975812
02119,LASALLE,H8N2M3,H8N,12,1,1,2, , , , , , , , , , , , , , ,4, , ,4,4,2,4,4,1, ,2,1,2,2,3,3,4,3,1,3,2,2,2,2,2, ,.71318334403313
02123,COTE SAINT-LUC,H4V2L5,H4V,18,1,1,2, , , , , , , , , , , , , , ,1, , ,3,1,3,4,4,2,2,1,6,1,2,3,3,3,1,2,3,2,1,1,2,2, ,.81856585972332
02128,MONTREAL,H2B,H2B,9,1,1,1,2, , ,4,2,2,2,2,2,1,2,2,2,2, , , ,4,4,1,4,4,1, ,1,2,1,1,2,2,4,3,1,3,2,1,1,1,1,3,.56147799073084
02133,LASALLE,H8N2G6,H8N,12,1,1,2, , , , , , , , , , , , , , ,1,11,97,3,1,4,1,4,3,0,1,4,1,1,3,3,3,1,3,1,2,1,1,1,2, ,.81856585972332
02142,HAMPSTEAD,H3X3X6,H3X,31,1,1,1,1,97, ,4,1,2,2,2,2,1,2,2,1,2, , , ,3,1,3,1,4,2,0,2,6,2,2,3,3,3,1,2,1,2,2,2,2,1,3,.76672607558491
02148,DOLLARD-DES-ORMEAUX,H9B2P3,H9B,19,1,1,1,2, , ,4,1,2,2,1,1,1,1,1,1,1, , , ,3,1,2,4,4,2,2,1,3,1,2,3,3,3,1,1,3,2,1,1,2,1,3,.81856585972332
02155,MONTREAL,H1W3H9,H1W,13,1,1,1,2,5, ,4,4,2,2,2,1,3,1,2,1,1, , , ,2,5,1,2,3,2,0,2,1,1,1,1,1,2,4,1,2,1,2,1,1,1,3,.91357010076408
02158,SAINT-MICHEL,H2E,H2E,6,1,1,1,2, , ,4,2,1,2,2,1,1,1,1,1,1, , , ,4,4,3,4,4,5,0,1,3,1,1,2,2,4,3,2,3,2,1,1,1,1,3,.56147799073084
02162,MONTREAL,H3V1B5,H3V,11,1,1,2, , , , , , , , , , , , , , ,3, , ,4,4,4,1,4,1, ,1,3,1,1,2,2,4,3,3,1,2,1,1,1,2, ,.56147799073084
02165,MONTREAL,H4V2V1,H4V,18,1,1,1,2, , ,4,2,2,2,2,2,2,2,2,2,1, , , ,4,4,2,4,4,2,0,2,2,1,2,3,3,4,3,1,3,2,2,1,2,1,3,.56147799073084
02170,CARIGNAN,H1N,H1N,13,1,1,2, , , , , , , , , , , , , , ,13, , ,4,4,3,1,4,2,0,1,9,1,1,1,1,4,3,2,1,2,1,1,1,2, ,.56147799073084
02175,SAINT-LEONARD,H1R2B1,H1R,15,1,1,1,2, , ,4,1,1,2,2,2,1,2,1,2,2, , , ,4,4,2,1,4,2,0,1,3,1,1,1,1,4,3,1,1,2,1,1,1,1,3,.56147799073084
02179,L'ILE-BIZARD,H9E1G1,H9E,26,1,1,1,2, , ,3,2,2,2,2,2,3,2,2,1,1, , , ,1,1,4,1,4,4,1,1,6,2,1,3,3,1,1,3,1,2,1,2,1,1,2,2.16279574167529
