"Code de la
municipalité";Nom de la municipalité;"Type de
municipalité";"Code
de la
MRC";Nom de la MRC;"Code de la
région
administrative";"Nom de la région
administrative";"Code de
l'arrondissement";Nom de l'arrondissement;Nom du district électoral;"Identifiant
du poste";"Code
du
type
de
poste";Type de poste;Nom;Prénom;Sexe;Sortant;"Nom du parti ou de
l'équipe";"Nombre
d'électeurs";"Nombre
de votes
reçus
par le
candidat";"Nombre
de
votes
rejetés";"Statut du
candidat"
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Pabos Mills;2;CV;Conseiller;Bouchard;François;M;"Nouveau
candidat"; ;1198;81;1;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Chandler Ouest;3;CV;Conseiller;Collin;Josée;F;"Nouveau
candidat"; ;1198;0;.;"Élu sans
opposition"
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Chandler Est;4;CV;Conseiller;Leblanc;Raynald;M;"Nouveau
candidat"; ;1071;301;2;Élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Chandler Est;4;CV;Conseiller;Lavoie;Marcel;M;"Nouveau
candidat"; ;1071;123;2;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Chandler Est;4;CV;Conseiller;Vallée;Winnita;F;"Nouveau
candidat"; ;1071;95;2;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Chandler Est;4;CV;Conseiller;Kearney;Normand;M;"Nouveau
candidat"; ;1071;39;2;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Pabos;5;CV;Conseiller;Arsenault;Pierre-Luc;M;"Nouveau
candidat"; ;855;294;1;Élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Pabos;5;CV;Conseiller;Broom;Nadine;F;"Nouveau
candidat"; ;855;176;1;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Pabos;5;CV;Conseiller;Vachon;Donald;M;"Sortant
(même
poste)"; ;855;65;1;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Pabos;5;CV;Conseiller;Dupuis;Marc-André;M;"Nouveau
candidat"; ;855;28;1;Non élu
02028;Chandler;Ville;020;Le Rocher-Percé;11;Gaspésie—Îles-de-la-Madeleine;.; ;Saint-François;6;CV;Conseiller;Daraiche;Gaétan;M;"Sortant
(même
poste)"; ;827;366;0;Élu
