District,Bureau,Candidat1,Vote1,Candidat2,Vote2,Candidat3,Vote3,Candidat4,Vote4,Candidat5,Vote5,Rejetes
6,139,Isabelle N. MIRON,27,Marc-André PELLETIER,40,,0,,0,,0,0
6,140,Isabelle N. MIRON,25,Marc-André PELLETIER,33,,0,,0,,0,6
6,141,Isabelle N. MIRON,24,Marc-André PELLETIER,32,,0,,0,,0,0
6,142,Isabelle N. MIRON,60,Marc-André PELLETIER,51,,0,,0,,0,3
6,143,Isabelle N. MIRON,112,Marc-André PELLETIER,81,,0,,0,,0,1
6,144,Isabelle N. MIRON,103,Marc-André PELLETIER,64,,0,,0,,0,0
6,145,Isabelle N. MIRON,97,Marc-André PELLETIER,101,,0,,0,,0,3
6,146,Isabelle N. MIRON,96,Marc-André PELLETIER,110,,0,,0,,0,3
6,147,Isabelle N. MIRON,100,Marc-André PELLETIER,73,,0,,0,,0,4
6,148,Isabelle N. MIRON,69,Marc-André PELLETIER,59,,0,,0,,0,0
6,149,Isabelle N. MIRON,115,Marc-André PELLETIER,105,,0,,0,,0,2
6,150,Isabelle N. MIRON,67,Marc-André PELLETIER,73,,0,,0,,0,0
6,151,Isabelle N. MIRON,111,Marc-André PELLETIER,74,,0,,0,,0,6
6,152,Isabelle N. MIRON,37,Marc-André PELLETIER,31,,0,,0,,0,2
6,153,Isabelle N. MIRON,47,Marc-André PELLETIER,67,,0,,0,,0,8
6,154,Isabelle N. MIRON,64,Marc-André PELLETIER,75,,0,,0,,0,4
6,155,Isabelle N. MIRON,95,Marc-André PELLETIER,89,,0,,0,,0,3
6,BVA-06-4,Isabelle N. MIRON,100,Marc-André PELLETIER,73,,0,,0,,0,1
6,BVA-06-5,Isabelle N. MIRON,109,Marc-André PELLETIER,74,,0,,0,,0,3
6,BVA-06-6,Isabelle N. MIRON,57,Marc-André PELLETIER,48,,0,,0,,0,6
7,156,Louise BOUDRIAS,103,Yolaine RUEL,54,,0,,0,,0,1
7,157,Louise BOUDRIAS,129,Yolaine RUEL,67,,0,,0,,0,2
7,158,Louise BOUDRIAS,98,Yolaine RUEL,37,,0,,0,,0,3
7,159,Louise BOUDRIAS,100,Yolaine RUEL,43,,0,,0,,0,3
7,160,Louise BOUDRIAS,115,Yolaine RUEL,66,,0,,0,,0,5
7,161,Louise BOUDRIAS,144,Yolaine RUEL,71,,0,,0,,0,7
7,BVA-07-1,Louise BOUDRIAS,113,Yolaine RUEL,69,,0,,0,,0,4
7,BVA-07-2,Louise BOUDRIAS,92,Yolaine RUEL,33,,0,,0,,0,2
7,BVA-07-3,Louise BOUDRIAS,100,Yolaine RUEL,72,,0,,0,,0,8
7,162,Louise BOUDRIAS,54,Yolaine RUEL,33,,0,,0,,0,1
7,163,Louise BOUDRIAS,42,Yolaine RUEL,37,,0,,0,,0,2
7,164,Louise BOUDRIAS,89,Yolaine RUEL,55,,0,,0,,0,8
7,165,Louise BOUDRIAS,117,Yolaine RUEL,66,,0,,0,,0,2
7,166,Louise BOUDRIAS,95,Yolaine RUEL,87,,0,,0,,0,4
7,167,Louise BOUDRIAS,37,Yolaine RUEL,28,,0,,0,,0,0
7,168,Louise BOUDRIAS,66,Yolaine RUEL,50,,0,,0,,0,1
7,169,Louise BOUDRIAS,93,Yolaine RUEL,37,,0,,0,,0,6
7,170,Louise BOUDRIAS,84,Yolaine RUEL,41,,0,,0,,0,0
7,171,Louise BOUDRIAS,75,Yolaine RUEL,30,,0,,0,,0,3
7,172,Louise BOUDRIAS,61,Yolaine RUEL,27,,0,,0,,0,1
7,173,Louise BOUDRIAS,102,Yolaine RUEL,30,,0,,0,,0,3
7,174,Louise BOUDRIAS,73,Yolaine RUEL,32,,0,,0,,0,1
7,175,Louise BOUDRIAS,46,Yolaine RUEL,22,,0,,0,,0,0
7,176,Louise BOUDRIAS,49,Yolaine RUEL,36,,0,,0,,0,4
7,177,Louise BOUDRIAS,84,Yolaine RUEL,47,,0,,0,,0,1
7,178,Louise BOUDRIAS,61,Yolaine RUEL,48,,0,,0,,0,1
7,179,Louise BOUDRIAS,58,Yolaine RUEL,35,,0,,0,,0,4
7,BVA-07-4,Louise BOUDRIAS,86,Yolaine RUEL,25,,0,,0,,0,2
7,BVA-07-5,Louise BOUDRIAS,72,Yolaine RUEL,23,,0,,0,,0,1
7,BVA-07-6,Louise BOUDRIAS,89,Yolaine RUEL,39,,0,,0,,0,4
8,180,René COIGNAUD,10,Marcel PÉPIN,9,Pierre SAMSON,17,Cédric TESSIER,33,,0,0
8,181,René COIGNAUD,14,Marcel PÉPIN,19,Pierre SAMSON,26,Cédric TESSIER,25,,0,5
