titre,url_fiche,description,date_debut,date_fin,type_evenement,public_cible,emplacement,inscription,cout,arrondissement,titre_adresse,adresse_principale,adresse_secondaire,code_postal,lat,long,X,Y
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71252","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-01","2024-08-01","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.473919617061,-73.634638433038,294273.1,5037119.2
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71255","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-22","2024-07-22","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.503993,-73.632022,294483.2,5040460.9
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71256","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-05","2024-08-05","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.503993,-73.632022,294483.2,5040460.9
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71259","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-22","2024-07-22","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.494491803106,-73.643825054169,293558.9,5039406.6
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71260","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-08-05","2024-08-05","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.494491803106,-73.643825054169,293558.9,5039406.6
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71263","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-31","2024-07-31","Heure du conte","Enfants","À l'extérieur","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.473994654151,-73.872954326854,275640.1,5037186.3
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71282","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-18","2024-07-18","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.438456119445,-73.673955747358,291190.5,5033184
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71283","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-29","2024-07-29","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.438456119445,-73.673955747358,291190.5,5033184
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71286","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-18","2024-07-18","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.43366736573,-73.68449628135,290364.6,5032653.7
"Livres dans la rue","https://montreal.ca/evenements/livres-dans-la-rue-71287","Livres dans la rue des Bibliothèques de Montréal fait découvrir aux enfants le plaisir de la lecture en allant à leur rencontre dans les parcs.","2024-07-29","2024-07-29","Heure du conte","Enfants","En salle","Entrée libre","Gratuit","Ville de Montréal","nan","nan","nan","nan",45.43366736573,-73.68449628135,290364.6,5032653.7
