id_station,timestamp_local,compte_dir_nord,compte_dir_sud,compte_dir_est,compte_dir_ouest,compte_total
V01,2020-06-20T04:15:00-04,,,0,0,0
V01,2020-06-20T04:30:00-04,,,0,0,0
V01,2020-06-20T04:45:00-04,,,0,0,0
V01,2020-06-20T05:00:00-04,,,0,0,0
V01,2020-06-20T05:15:00-04,,,0,0,0
V01,2020-06-20T05:30:00-04,,,0,0,0
V01,2020-06-20T05:45:00-04,,,0,0,0
V01,2020-06-20T06:00:00-04,,,0,0,0
V01,2020-06-20T06:15:00-04,,,1,0,1
V01,2020-06-20T06:30:00-04,,,0,0,0
V01,2020-06-20T06:45:00-04,,,1,0,1
V01,2020-06-20T07:00:00-04,,,0,1,1
V01,2020-06-20T07:15:00-04,,,2,0,2
V01,2020-06-20T07:30:00-04,,,3,1,4
V01,2020-06-20T07:45:00-04,,,4,0,4
V01,2020-06-20T08:00:00-04,,,4,0,4
V01,2020-06-20T08:15:00-04,,,1,0,1
V01,2020-06-20T08:30:00-04,,,4,3,7
V01,2020-06-20T08:45:00-04,,,4,5,9
V01,2020-06-20T09:00:00-04,,,2,1,3
V01,2020-06-20T09:15:00-04,,,9,0,9
V01,2020-06-20T09:30:00-04,,,2,4,6
V01,2020-06-20T09:45:00-04,,,3,4,7
V01,2020-06-20T10:00:00-04,,,5,2,7
V01,2020-06-20T10:15:00-04,,,6,3,9
V01,2020-06-20T10:30:00-04,,,5,2,7
V01,2020-06-20T10:45:00-04,,,5,1,6
V01,2020-06-20T11:00:00-04,,,6,6,12
V01,2020-06-20T11:15:00-04,,,6,1,7
V01,2020-06-20T11:30:00-04,,,3,2,5
V01,2020-06-20T11:45:00-04,,,5,1,6
V01,2020-06-20T12:00:00-04,,,1,3,4
V01,2020-06-20T12:15:00-04,,,3,1,4
V01,2020-06-20T12:30:00-04,,,3,2,5
V01,2020-06-20T12:45:00-04,,,2,3,5
V01,2020-06-20T13:00:00-04,,,3,1,4
V01,2020-06-20T13:15:00-04,,,0,3,3
V01,2020-06-20T13:30:00-04,,,4,5,9
V01,2020-06-20T13:45:00-04,,,1,2,3
V01,2020-06-20T14:00:00-04,,,1,4,5
V01,2020-06-20T14:15:00-04,,,1,2,3
V01,2020-06-20T14:30:00-04,,,3,9,12
V01,2020-06-20T14:45:00-04,,,3,1,4
V01,2020-06-20T15:00:00-04,,,5,6,11
V01,2020-06-20T15:15:00-04,,,1,2,3
V01,2020-06-20T15:30:00-04,,,2,0,2
V01,2020-06-20T15:45:00-04,,,6,3,9
V01,2020-06-20T16:00:00-04,,,5,4,9
V01,2020-06-20T16:15:00-04,,,2,1,3
V01,2020-06-20T16:30:00-04,,,3,1,4
V01,2020-06-20T16:45:00-04,,,3,4,7
V01,2020-06-20T17:00:00-04,,,3,4,7
V01,2020-06-20T17:15:00-04,,,3,1,4
V01,2020-06-20T17:30:00-04,,,4,4,8
V01,2020-06-20T17:45:00-04,,,1,1,2
V01,2020-06-20T18:00:00-04,,,4,6,10
V01,2020-06-20T18:15:00-04,,,2,3,5
V01,2020-06-20T18:30:00-04,,,3,2,5
V01,2020-06-20T18:45:00-04,,,7,0,7
V01,2020-06-20T19:00:00-04,,,1,3,4
V01,2020-06-20T19:15:00-04,,,9,5,14
V01,2020-06-20T19:30:00-04,,,3,6,9
V01,2020-06-20T19:45:00-04,,,8,2,10
V01,2020-06-20T20:00:00-04,,,3,3,6
V01,2020-06-20T20:15:00-04,,,0,6,6
V01,2020-06-20T20:30:00-04,,,3,6,9
V01,2020-06-20T20:45:00-04,,,4,12,16
V01,2020-06-20T21:00:00-04,,,2,0,2
V01,2020-06-20T21:15:00-04,,,3,5,8
V01,2020-06-20T21:30:00-04,,,9,0,9
V01,2020-06-20T21:45:00-04,,,1,0,1
V01,2020-06-20T22:00:00-04,,,0,2,2
V01,2020-06-20T22:15:00-04,,,0,0,0
V01,2020-06-20T22:30:00-04,,,1,0,1
V01,2020-06-20T22:45:00-04,,,0,0,0
V01,2020-06-20T23:00:00-04,,,0,0,0
V01,2020-06-20T23:15:00-04,,,0,0,0
V01,2020-06-20T23:30:00-04,,,0,0,0
V01,2020-06-20T23:45:00-04,,,0,0,0
V01,2020-06-21T00:00:00-04,,,1,0,1
V01,2020-06-21T00:15:00-04,,,1,0,1
V01,2020-06-21T00:30:00-04,,,0,0,0
V01,2020-06-21T00:45:00-04,,,0,0,0
V01,2020-06-21T01:00:00-04,,,0,0,0
V01,2020-06-21T01:15:00-04,,,0,0,0
V01,2020-06-21T01:30:00-04,,,0,0,0
V01,2020-06-21T01:45:00-04,,,1,0,1
V01,2020-06-21T02:00:00-04,,,0,0,0
V01,2020-06-21T02:15:00-04,,,0,0,0
V01,2020-06-21T02:30:00-04,,,1,0,1
V01,2020-06-21T02:45:00-04,,,0,0,0
V01,2020-06-21T03:00:00-04,,,0,0,0
V01,2020-06-21T03:15:00-04,,,0,0,0
V01,2020-06-21T03:30:00-04,,,0,0,0
V01,2020-06-21T03:45:00-04,,,0,0,0
V01,2020-06-21T04:00:00-04,,,0,1,1
V01,2020-06-21T04:15:00-04,,,0,2,2
V01,2020-06-21T04:30:00-04,,,0,0,0
V01,2020-06-21T04:45:00-04,,,0,0,0
V01,2020-06-21T05:00:00-04,,,0,0,0
V01,2020-06-21T05:15:00-04,,,0,0,0
V01,2020-06-21T05:30:00-04,,,0,0,0
V01,2020-06-21T05:45:00-04,,,1,0,1
V01,2020-06-21T06:00:00-04,,,0,0,0
V01,2020-06-21T06:15:00-04,,,0,1,1
V01,2020-06-21T06:30:00-04,,,0,1,1
V01,2020-06-21T06:45:00-04,,,1,1,2
V01,2020-06-21T07:00:00-04,,,4,0,4
V01,2020-06-21T07:15:00-04,,,0,1,1
V01,2020-06-21T07:30:00-04,,,0,3,3
V01,2020-06-21T07:45:00-04,,,3,0,3
V01,2020-06-21T08:00:00-04,,,2,0,2
V01,2020-06-21T08:15:00-04,,,4,0,4
