"Station","Date","%OD","O2 (mg/L)","COND.","pH","TEMP  (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-30RN",06/09/2017 14:00,"99,2","9,15",142,"7,9","19,24","=",360,-1,"0,1",284,"0,5",20,"0,1",15800,"0,1","0,2","5,6","0,9","1,5",385,1080,4140,"17,1",1,6400,40,"0,9",21,"0,4","6,2","0,5","0,5","1,0","0,2","0,5","7,0"
"EMIS-30RN",13/09/2017 13:41,"101,6","9,38",128,"7,97","19,23","=",180,1,"0,1",231,"0,5",19,"0,1",14400,"0,1","0,1","5,7","1,1","1,6",334,949,3660,"14,5",1,5700,50,"0,8",18,"0,3","3,9","0,5","0,5","1,0","0,2","0,3","7,0"
"EMIS-30RN",25/09/2017 12:49,"101,5","8,8",163,"8,15","22,4","=",1200,1,"0,1",203,"0,6",19,"0,1",18300,"0,1","0,1","5,1","0,8","1,5",292,1160,4740,"12,9",1,7420,40,"0,8",17,"0,2","3,6","0,5","0,5","1,0","0,2","0,4","7,0"
"EMIS-30RN",02/10/2017 14:12,"102,4","9,65",165,"8,18","18,2","=",630,1,"0,1",239,"0,6",21,"0,1",19200,"0,1","0,2","4,8",1,"1,5",325,1230,5070,"15,1",1,7590,30,"0,9",18,"0,3","4,6","0,5","0,5","1,0","0,2","0,5","7,0"
"EMIS-40P",21/06/2017 14:44,"102,6","9,49",249,,"19,13","=",7300,-1,"0,1",277,"0,7",24,"0,1",27000,"0,1","0,2","3,5","0,8","1,6",346,1370,6800,"14,4",1,11700,40,1,20,"0,3","9,3","0,5","0,5","1,0","0,3","0,5","7,0"
"EMIS-40P",14/08/2017 13:34,"102,7","8,81",278,"8,24","22,91","=",12000,-1,"0,1",142,"0,8",22,"0,1",29500,"0,1","0,1","3,3","0,6","1,2",167,1500,7820,"7,5",1,12900,60,"0,8",15,"0,2","4,1","0,5","0,5","1,0","0,3","0,3","7,0"
"EMIS-40P",30/08/2017 14:30,"104,2","9,07",285,"8,37","22,23","=",17000,1,"0,1",131,"0,8",24,"0,1",31700,"0,1","0,1","3,1","0,7","1,3",163,1630,8290,"7,8",1,12800,90,"0,8",17,"0,2","4,4","0,5","0,5","1,0","0,3","0,4","7,0"
"EMIS-40P",06/09/2017 14:32,"97,2","8,87",291,"8,17","19,75","=",27000,-1,"0,1",110,"0,8",24,"0,1",33700,"0,1","0,1","2,7","0,5","1,2",141,1730,9000,"6,8","1,1",13600,70,"0,7",15,"0,2","4,1","0,5","0,5","1,0","0,4","0,5","7,0"
"EMIS-40P",13/09/2017 14:17,"104,4","9,55",288,"8,35","19,65","=",12000,1,"0,1",98,"0,8",23,"0,1",32400,"0,1","0,1","2,9","0,6","1,2",121,1660,8540,"5,9",1,12900,80,"0,7",12,"0,2","2,7","0,5","0,5","1,0","0,4","0,4","7,0"
"EMIS-40P",25/09/2017 13:26,"102,8","8,96",265,"8,19","22,09","=",11000,1,"0,1",93,"0,7",23,"0,1",31400,"0,1","0,1","3,1","0,3","1,1",126,1660,8370,"6,5",1,12500,50,"0,7",11,"0,2","1,9","0,5","0,5","1,0","0,4","0,4","7,0"
