"Num̩ro
d'homologation du produit","
Nom commercial du produit","Nom de l'ingr̩dient actif","Concentration de l'ingr̩dient actif","Quantit̩ de 
produits vendus
(kg)","Quantit̩ d'ingr̩dients actifs contenus dans le produit vendu
(kg)","R̩gion administrative 
du domicile du client ","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","26.52","6.36","Mont̩r̩gie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","28.56","6.85","Mont̩r̩gie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","16.32","3.92","Chaudi̬re-Appalaches","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","226.44","54.35","Centre-du-Qu̩bec","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","102.00","24.48","Centre-du-Qu̩bec","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","10.20","2.45","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","2.04","0.49","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","14.28","3.43","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","2.04","0.49","Mauricie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","16.32","3.92","Mauricie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","26.52","6.36","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","4.08","0.98","Estrie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","16.32","3.92","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","2.04","0.49","Chaudi̬re-Appalaches","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","2.04","0.49","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","18.36","4.41","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","40.80","9.79","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","57.12","13.71","Centre-du-Qu̩bec","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","53.04","12.73","Centre-du-Qu̩bec","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","12.24","2.94","Mauricie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","44.88","10.77","Mauricie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","67.32","16.16","Mauricie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","157.08","37.70","Mauricie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","14.28","3.43","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","12.24","2.94","Mont̩r̩gie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","32.64","7.83","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","18.36","4.41","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","55.08","13.22","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","51.00","12.24","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","48.96","11.75","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","51.00","12.24","Lanaudi̬re","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","587.52","141.00","Capitale-Nationale","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","2.04","0.49","Chaudi̬re-Appalaches","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","2.04","0.49","Estrie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","8.16","1.96","Mont̩r̩gie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","32.64","7.83","Mont̩r̩gie","","","",""
"28407","Insecticide Actara 240SC","Thiam̩thoxame","0.24","2.04","0.49","Chaudi̬re-Appalaches","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","0.85","0.21","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","0.85","0.21","Capitale-Nationale","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","21.25","5.31","Capitale-Nationale","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","2.55","0.64","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","3.40","0.85","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","3.40","0.85","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","1.70","0.42","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","0.85","0.21","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","1.70","0.42","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","6.80","1.70","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","4.25","1.06","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","4.25","1.06","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","4.25","1.06","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","0.85","0.21","Capitale-Nationale","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","11.90","2.98","Estrie","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","3.40","0.85","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","4.25","1.06","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","5.10","1.27","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","3.20","0.80","Mont̩r̩gie","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","1.70","0.42","Chaudi̬re-Appalaches","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","8.50","2.12","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","2.55","0.64","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","3.40","0.85","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","2.55","0.64","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","9.35","2.34","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","11.05","2.76","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","12.75","3.19","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","850.00","212.50","Mont̩r̩gie","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","2.55","0.64","Centre-du-Qu̩bec ","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","0.85","0.21","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","14.45","3.61","Centre-du-Qu̩bec","","","",""
"28408","Actara 25WG","Thiam̩thoxame","0.25","12.75","3.19","Centre-du-Qu̩bec ","","","",""
"28475","Alias 240 SC Insecticide syst̩mique","Imidaclopride","0.24","7.56","1.81","Laurentides","","","",""
"29185","Quali-pro Imidacloprid 0.5 Insecticide granuleux","Imidaclopride","0.01","27.20","0.14","Mont̩r̩gie","","","",""
"29185","Quali-pro Imidacloprid 0.5 Insecticide granuleux","Imidaclopride","0.01","13.60","0.07","Montr̩al","","","",""
"29358","Herbicide agricole Primextra II Magnum","Atrazine","0.32","25.00","8.00","Mont̩r̩gie","","","",""
"29382","Insecticide Clutch 50 WDG","Clothianidine","0.50","2.04","1.02","Mont̩r̩gie","","","",""
"29382","Insecticide Clutch 50 WDG","Clothianidine","0.50","0.68","0.34","Capitale-Nationale","","","",""
"29382","Insecticide Clutch 50 WDG","Clothianidine","0.50","2.04","1.02","Capitale-Nationale","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","Laurentides","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","420.00","201.60","Lanaudi̬re","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mauricie","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","720.00","345.60","Lanaudi̬re","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","260.00","124.80","Lanaudi̬re","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","100.00","48.00","Lanaudi̬re","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","440.00","211.20","Lanaudi̬re","","","",""
"29984","Warhawk 480 EC Insecticide","Chlorpyrifos","0.48","10.00","4.80","Mauricie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","21.28","4.26","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","24.32","4.86","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","6.08","1.22","Saguenay--Lac-Saint-Jean","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Saguenay--Lac-Saint-Jean","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Laval","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","3.04","0.61","Laval","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Laurentides","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","121.60","24.32","Lanaudi̬re ","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","51.68","10.34","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","57.76","11.55","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","9.12","1.82","Lanaudi̬re","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","15.20","3.04","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","103.36","20.67","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","36.48","7.30","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","6.08","1.22","Laurentides","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Bas-Saint-Laurent ","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","54.72","10.94","Capitale-Nationale","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","6.08","1.22","Lanaudi̬re","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","15.20","3.04","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","15.20","3.04","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","18.24","3.65","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","9.12","1.82","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","18.24","3.65","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","21.28","4.26","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","9.12","1.82","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","9.12","1.82","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","15.20","3.04","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","42.56","8.51","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","48.64","9.73","Mont̩r̩gie","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","12.16","2.43","Lanaudi̬re","","","",""
"30900","Minecto Duo 40 WG Insecticide","Thiam̩thoxame","0.20","6.08","1.22","Lanaudi̬re","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","60.00","7.20","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","160.00","19.20","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","40.00","4.80","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","20.00","2.40","Chaudi̬re-Appalaches","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","20.00","2.40","Inconnu","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","140.00","16.80","Inconnu","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","180.00","21.60","Inconnu","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","300.00","36.00","Lanaudi̬re","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","30.00","3.60","Mauricie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","40.00","4.80","Capitale-Nationale","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","10.00","1.20","Centre-du-Qu̩bec","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","40.00","4.80","Capitale-Nationale","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","70.00","8.40","Laurentides ","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","300.00","36.00","Saguenay--Lac-Saint-Jean","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","30.00","3.60","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","51.43","6.17","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","187.00","22.44","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","30.00","3.60","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","70.00","8.40","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","27.00","3.24","Centre-du-Qu̩bec","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","48.00","5.76","Centre-du-Qu̩bec","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","20.00","2.40","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","80.00","9.60","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","90.00","10.80","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","450.00","54.00","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","10.00","1.20","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","40.00","4.80","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","20.00","2.40","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","10.00","1.20","Mont̩r̩gie","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","20.00","2.40","Lanaudi̬re","","","",""
"31846","Herbicide Acuron","Atrazine","0.12","70.00","8.40","Chaudi̬re-Appalaches","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
